,Unnamed: 0,Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time,KD 1,KD 2,Sig. str. 1,Sig. str. 2,Sig. str. % 1,Sig. str. % 2,Total str. 1,Total str. 2,Td % 1,Td % 2,Sub. att 1,Sub. att 2,Rev. 1,Rev. 2,Ctrl 1,Ctrl 2,Ht,Reach,Stance,Career W,Career L,born_year
0,3239,UFC on FOX: Lawler vs Brown,2014-07-26,"San Jose, California, USA",win,,Gilbert Burns,Andreas Stahl,0,0,44,41,0 of 1,2 of 10,0,0,Welterweight,U-DEC,3,5:00,0,0,41 of 111,44 of 140,36%,31%,69 of 143,56 of 153,0%,20%,0,0,0,0,3:01,3:43,70.0,71.0,Orthodox,22,8,1986
1,3146,UFC 179: Aldo vs Mendes 2,2014-10-25,"Rio de Janeiro, Brazil",win,,Gilbert Burns,Christos Giagos,0,0,7,4,1 of 1,0 of 0,2,0,Lightweight,SUB,1,4:57,0,0,7 of 13,4 of 13,53%,30%,18 of 26,6 of 15,100%,---,2,0,0,0,3:36,0:00,70.0,71.0,Orthodox,22,8,1986
2,3356,UFC Fight Night: Maia vs LaFlare,2015-03-21,"Rio de Janeiro, Brazil",win,,Gilbert Burns,Alex Oliveira,0,0,17,29,2 of 5,0 of 0,2,0,Lightweight,SUB,3,4:14,0,0,17 of 44,29 of 76,38%,38%,37 of 69,31 of 80,40%,---,2,0,0,0,4:01,3:21,70.0,71.0,Orthodox,22,8,1986
3,3867,UFC Fight Night: Belfort vs Henderson 3,2015-11-07,"Sao Paulo, Sao Paulo, Brazil",,win,Gilbert Burns,Rashid Magomedov,0,2,28,80,2 of 2,2 of 5,0,0,Lightweight,U-DEC,3,5:00,2,0,80 of 145,28 of 77,55%,36%,94 of 160,29 of 78,100%,40%,0,0,0,0,1:09,2:05,70.0,71.0,Orthodox,22,8,1986
4,3993,UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,"Las Vegas, Nevada, USA",win,,Gilbert Burns,Lukasz Sajewski,0,0,13,14,1 of 5,0 of 1,1,0,Lightweight,SUB,1,4:57,0,0,13 of 30,14 of 30,43%,46%,16 of 34,15 of 31,20%,0%,1,0,0,0,1:21,0:47,70.0,71.0,Orthodox,22,8,1986
5,4236,UFC Fight Night: Cyborg vs. Lansberg,2016-09-24,"Brasilia, Distrito Federal, Brazil",,win,Gilbert Burns,Michel Prazeres,0,0,46,67,5 of 7,1 of 4,0,0,Lightweight,U-DEC,3,5:00,0,0,67 of 169,46 of 122,39%,37%,70 of 176,46 of 122,71%,25%,0,0,0,0,1:09,0:00,70.0,71.0,Orthodox,22,8,1986
6,4487,UFC Fight Night: Rockhold vs. Branch,2017-09-16,"Pittsburgh, Pennsylvania, USA",win,,Gilbert Burns,Jason Saggo,1,0,42,35,1 of 2,2 of 3,0,0,Lightweight,KO/TKO,2,4:55,0,1,35 of 92,42 of 95,38%,44%,39 of 99,50 of 104,50%,66%,0,0,0,0,1:03,1:33,70.0,71.0,Orthodox,22,8,1986
7,4722,UFC Fight Night: Poirier vs. Gaethje,2018-04-14,"Glendale, Arizona, USA",win,,Gilbert Burns,Dan Moret,1,0,31,20,2 of 2,0 of 0,0,0,Lightweight,KO/TKO,2,0:59,1,0,31 of 65,20 of 58,47%,34%,39 of 74,20 of 58,100%,---,0,0,0,0,1:24,0:00,70.0,71.0,Orthodox,22,8,1986
8,4984,UFC 226: Miocic vs. Cormier,2018-07-07,"Las Vegas, Nevada, USA",,win,Gilbert Burns,Dan Hooker,0,2,13,22,0 of 1,0 of 0,0,1,Lightweight,KO/TKO,1,2:28,0,2,13 of 28,22 of 34,46%,64%,13 of 29,22 of 34,0%,---,0,1,0,0,0:00,0:15,70.0,71.0,Orthodox,22,8,1986
9,5215,UFC 231: Holloway vs. Ortega,2018-12-08,"Toronto, Ontario, Canada",win,,Gilbert Burns,Olivier Aubin-Mercier,1,0,76,40,0 of 0,3 of 7,0,0,Lightweight,U-DEC,3,5:00,0,1,40 of 96,76 of 143,41%,53%,42 of 98,120 of 190,---,42%,0,0,0,0,0:51,6:17,70.0,71.0,Orthodox,22,8,1986
10,5519,UFC Fight Night: Jacare vs. Hermansson,2019-04-27,"Sunrise, Florida, USA",win,,Gilbert Burns,Mike Davis,0,0,49,13,3 of 6,0 of 0,1,0,Lightweight,SUB,2,4:15,0,0,49 of 87,13 of 44,56%,29%,81 of 122,17 of 49,50%,---,1,0,0,0,5:27,0:00,70.0,71.0,Orthodox,22,8,1986
11,5364,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,"Montevideo, Uruguay",win,,Gilbert Burns,Aleksei Kunchenko,0,0,42,47,3 of 7,0 of 1,0,0,Welterweight,U-DEC,3,5:00,0,0,42 of 83,47 of 102,50%,46%,63 of 107,115 of 172,42%,0%,0,0,0,0,6:58,0:28,70.0,71.0,Orthodox,22,8,1986
12,5715,UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,"Copenhagen, Denmark",win,,Gilbert Burns,Gunnar Nelson,0,0,30,20,0 of 2,1 of 3,1,0,Welterweight,U-DEC,3,5:00,0,0,20 of 36,30 of 76,55%,39%,26 of 45,46 of 99,0%,33%,0,1,0,0,4:48,1:55,70.0,71.0,Orthodox,22,8,1986
13,5895,UFC Fight Night: Lee vs. Oliveira,2020-03-14,"Brasilia, Distrito Federal, Brazil",win,,Gilbert Burns,Demian Maia,1,0,13,4,2 of 2,0 of 0,0,0,Welterweight,KO/TKO,1,2:34,0,1,4 of 7,13 of 16,57%,81%,4 of 7,14 of 17,100%,---,0,0,0,0,1:23,0:04,70.0,71.0,Orthodox,22,8,1986
14,5854,UFC Fight Night: Woodley vs. Burns,2020-05-30,"Las Vegas, Nevada, USA",win,,Gilbert Burns,Tyron Woodley,0,0,83,28,0 of 2,2 of 8,1,0,Welterweight,U-DEC,5,5:00,0,0,28 of 64,83 of 138,43%,60%,65 of 101,156 of 211,0%,25%,0,1,0,0,2:47,7:58,70.0,71.0,Orthodox,22,8,1986
15,6244,UFC 258: Usman vs. Burns,2021-02-13,"Las Vegas, Nevada, USA",,win,Gilbert Burns,Kamaru Usman,0,2,45,83,0 of 3,0 of 0,0,0,Welterweight,KO/TKO,3,0:34,0,2,45 of 108,83 of 136,41%,61%,55 of 124,93 of 149,0%,---,0,0,0,0,0:00,2:05,70.0,71.0,Orthodox,22,8,1986
16,6455,UFC 264: Poirier vs. McGregor 3,2021-07-10,"Las Vegas, Nevada, USA",win,,Gilbert Burns,Stephen Thompson,0,0,29,19,3 of 6,0 of 0,0,0,Welterweight,U-DEC,3,5:00,0,0,29 of 43,19 of 53,67%,35%,101 of 126,59 of 98,50%,---,0,0,0,0,7:13,0:00,70.0,71.0,Orthodox,22,8,1986
17,6931,UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,"Jacksonville, Florida, USA",,win,Gilbert Burns,Khamzat Chimaev,0,1,119,108,2 of 3,0 of 5,0,0,Welterweight,U-DEC,3,5:00,1,0,108 of 223,119 of 200,48%,59%,124 of 239,141 of 223,66%,0%,0,0,0,0,2:23,0:06,70.0,71.0,Orthodox,22,8,1986
18,7358,UFC 283: Teixeira vs. Hill,2023-01-21,"Rio de Janeiro, Rio de Janeiro, Brazil",win,,Gilbert Burns,Neil Magny,0,0,5,4,1 of 1,0 of 0,1,0,Welterweight,SUB,1,4:15,0,0,5 of 6,4 of 11,83%,36%,10 of 12,4 of 11,100%,---,1,0,0,0,2:35,0:00,70.0,71.0,Orthodox,22,8,1986
19,7217,UFC 287: Pereira vs. Adesanya 2,2023-04-08,"Miami, Florida, USA",win,,Gilbert Burns,Jorge Masvidal,0,0,42,39,4 of 6,0 of 0,0,0,Welterweight,U-DEC,3,5:00,0,0,42 of 99,39 of 91,42%,42%,72 of 135,77 of 130,66%,---,0,0,0,0,5:41,0:05,70.0,71.0,Orthodox,22,8,1986
20,7564,UFC 288: Sterling vs. Cejudo,2023-05-06,"Newark, New Jersey, USA",,win,Gilbert Burns,Belal Muhammad,0,0,81,132,0 of 4,0 of 0,0,0,Welterweight,U-DEC,5,5:00,0,0,81 of 147,132 of 283,55%,46%,81 of 147,132 of 283,0%,---,0,0,0,0,0:00,0:00,70.0,71.0,Orthodox,22,8,1986
