,Event,Date,Location,W/L 1,Fighter 1,Fighter 2,Weight class,Stance,Career W,Career L,born_year,W,L,Num Fights,W Perc,Sig Strikes Avg,Sig Str %,Sig Strikes Opp Avg,Sig Str % Opp,Strikes Avg,Str %,Strikes Opp Avg,Str % Opp,TD Avg,TD %,TD Opp Avg,TD % Opp,KD Avg,KD Opp Avg,DEC Avg,KO Avg,SUB Avg,DEC Opp Avg,KO Opp Avg,SUB Opp Avg,CTRL Avg,CTRL Opp Avg,Time Avg,Streak,Ht Diff,Reach Diff,Age,Career Fights,Career W Perc
0,UFC on FOX: Lawler vs Brown,2014-07-26,"San Jose, California, USA",win,Gilbert Burns,Andreas Stahl,Welterweight,Orthodox,7,-1,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,28.0,6.0,116.66666666666667
1,UFC 179: Aldo vs Mendes 2,2014-10-25,"Rio de Janeiro, Brazil",win,Gilbert Burns,Christos Giagos,Lightweight,Orthodox,8,-1,1986,1.0,0.0,1.0,100.0,41.0,36.93693693693694,44.0,31.428571428571427,56.0,19.112627986348123,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,181.0,223.0,900.0,1.0,0.0,0.0,28.0,7.0,114.28571428571428
2,UFC Fight Night: Maia vs LaFlare,2015-03-21,"Rio de Janeiro, Brazil",win,Gilbert Burns,Alex Oliveira,Lightweight,Orthodox,9,-1,1986,2.0,0.0,2.0,100.0,24.0,17.97752808988764,24.0,15.686274509803921,31.0,19.314641744548286,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,198.5,111.5,598.5,2.0,-1.0,-5.0,29.0,8.0,112.5
3,UFC Fight Night: Belfort vs Henderson 3,2015-11-07,"Sao Paulo, Sao Paulo, Brazil",,Gilbert Burns,Rashid Magomedov,Lightweight,Orthodox,10,-1,1986,3.0,0.0,3.0,100.0,21.666666666666668,19.287833827893174,25.666666666666668,19.395465994962215,31.0,19.49685534591195,0.0,0.0,0.6666666666666666,20.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,212.66666666666666,141.33333333333334,683.6666666666666,3.0,1.0,1.0,29.0,9.0,111.11111111111111
4,UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,"Las Vegas, Nevada, USA",win,Gilbert Burns,Lukasz Sajewski,Lightweight,Orthodox,10,0,1986,3.0,1.0,4.0,75.0,36.25,26.31578947368421,26.25,18.95306859205776,30.5,19.303797468354432,0.0,0.0,1.0,26.666666666666668,0.0,0.0,0.5,0.0,0.25,0.0,0.5,0.25,0.0,0.0,176.75,137.25,737.75,-1.0,2.0,0.0,30.0,10.0,100.0
5,UFC Fight Night: Cyborg vs. Lansberg,2016-09-24,"Brasilia, Distrito Federal, Brazil",,Gilbert Burns,Michel Prazeres,Lightweight,Orthodox,11,0,1986,4.0,1.0,5.0,80.0,31.6,21.3225371120108,23.8,17.97583081570997,27.4,19.76911976911977,0.0,0.0,0.8,25.0,0.0,0.0,0.4,0.0,0.2,0.0,0.6,0.2,0.0,0.0,157.6,119.2,649.6,1.0,4.0,4.0,30.0,11.0,100.0
6,UFC Fight Night: Rockhold vs. Branch,2017-09-16,"Pittsburgh, Pennsylvania, USA",win,Gilbert Burns,Jason Saggo,Lightweight,Orthodox,11,1,1986,4.0,2.0,6.0,66.66666666666666,37.5,23.834745762711865,27.5,20.245398773006134,30.5,19.530416221985057,0.0,0.0,0.8333333333333334,25.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5,0.3333333333333333,0.0,0.0,142.83333333333334,99.33333333333333,691.3333333333334,-1.0,-1.0,0.0,31.0,12.0,91.66666666666666
7,UFC Fight Night: Poirier vs. Gaethje,2018-04-14,"Glendale, Arizona, USA",win,Gilbert Burns,Dan Moret,Lightweight,Orthodox,12,1,1986,5.0,2.0,7.0,71.42857142857143,37.142857142857146,21.45214521452145,29.571428571428573,20.058139534883722,33.285714285714285,20.510563380281692,0.0,0.0,1.0,30.434782608695656,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.0,131.42857142857142,98.42857142857143,677.5714285714286,1.0,-2.0,-2.0,32.0,13.0,92.3076923076923
8,UFC 226: Miocic vs. Cormier,2018-07-07,"Las Vegas, Nevada, USA",,Gilbert Burns,Dan Hooker,Lightweight,Orthodox,13,1,1986,6.0,2.0,8.0,75.0,36.375,21.148255813953487,28.375,19.01172529313233,31.625,20.207667731629392,0.0,0.0,0.875,30.434782608695656,0.0,0.0,0.375,0.125,0.125,0.25,0.375,0.25,0.0,0.0,125.5,86.125,637.75,2.0,-2.0,-4.0,32.0,14.0,92.85714285714286
9,UFC 231: Holloway vs. Ortega,2018-12-08,"Toronto, Ontario, Canada",win,Gilbert Burns,Olivier Aubin-Mercier,Lightweight,Orthodox,13,2,1986,6.0,3.0,9.0,66.66666666666666,33.77777777777778,20.56833558863329,27.666666666666668,19.362363919129084,30.555555555555557,20.833333333333336,0.0,0.0,0.7777777777777778,30.434782608695656,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,111.55555555555556,78.22222222222223,583.3333333333334,-1.0,1.0,1.0,32.0,15.0,86.66666666666667
