,Feature,Coefficient,AbsCoefficient
30,Time Avg Diff,0.5206092511928211,0.5206092511928211
10,Sig Strikes Opp Avg Diff,-0.30234391191843646,0.30234391191843646
34,Career W Perc Diff,0.2311936826038513,0.2311936826038513
32,Age Diff,-0.19968129107801225,0.19968129107801225
29,CTRL Opp Avg Diff,-0.18608244013515693,0.18608244013515693
16,TD Avg Diff,0.18219973786532268,0.18219973786532268
23,KO Avg Diff,0.14237325881201018,0.14237325881201018
18,TD Opp Avg Diff,0.1417332821013387,0.1417332821013387
4,W Diff,0.13759523341142565,0.13759523341142565
28,CTRL Avg Diff,-0.13237425673460324,0.13237425673460324
1,Reach Diff,0.11260913913480777,0.11260913913480777
9,Sig Str % Diff,-0.11182511552157655,0.11182511552157655
17,TD % Diff,-0.09795762617070433,0.09795762617070433
8,Sig Strikes Avg Diff,0.09460549638553012,0.09460549638553012
19,TD % Opp Diff,-0.09365476505335436,0.09365476505335436
31,Streak Diff,0.09303825115442925,0.09303825115442925
3,Career L Diff,-0.0876453457662389,0.0876453457662389
22,DEC Avg Diff,-0.07929155854448412,0.07929155854448412
24,SUB Avg Diff,0.07912865773588257,0.07912865773588257
13,Str % Diff,0.07906548148103451,0.07906548148103451
5,L Diff,-0.06373470535790549,0.06373470535790549
12,Strikes Avg Diff,-0.06017361152395955,0.06017361152395955
6,Num Fights Diff,0.05874044745451346,0.05874044745451346
33,Career Fights Diff,-0.05627095550042285,0.05627095550042285
7,W Perc Diff,0.0553316356843385,0.0553316356843385
21,KD Opp Avg Diff,0.05204761904832429,0.05204761904832429
27,SUB Opp Avg Diff,0.04954649680682108,0.04954649680682108
2,Career W Diff,-0.03381294250136774,0.03381294250136774
14,Strikes Opp Avg Diff,0.024694810301904315,0.024694810301904315
0,Ht Diff,-0.01895011777722228,0.01895011777722228
26,KO Opp Avg Diff,0.016861483816212806,0.016861483816212806
11,Sig Str % Opp Diff,0.01643190840707153,0.01643190840707153
20,KD Avg Diff,-0.0157024104561007,0.0157024104561007
15,Str % Opp Diff,0.013819289657771256,0.013819289657771256
35,Stance Diff,0.012985169611706895,0.012985169611706895
25,DEC Opp Avg Diff,-0.0032156104851325243,0.0032156104851325243
