,Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time,KD 1,KD 2,Sig. str. 1,Sig. str. 2,Sig. str. % 1,Sig. str. % 2,Total str. 1,Total str. 2,Td % 1,Td % 2,Sub. att 1,Sub. att 2,Rev. 1,Rev. 2,Ctrl 1,Ctrl 2,Ht,Reach,Stance,Career W,Career L,born_year
0,UFC Fight Night: Thomas vs Florian,2007-09-19,"Las Vegas, Nevada, USA",win,,Gray Maynard,Joe Veres,1,0,3,0,0 of 0,0 of 0,0,0,Lightweight,KO/TKO,1,0:09,1,0,3 of 4,0 of 0,75%,---,3 of 4,0 of 0,---,---,0,0,0,0,0:02,0:00,69.0,70.0,Orthodox,13,7,1979
1,UFC Fight Night: Swick vs Burkman,2008-01-23,"Las Vegas, Nevada, USA",win,,Gray Maynard,Dennis Siver,1,0,26,16,2 of 2,1 of 2,3,0,Lightweight,U-DEC,3,5:00,1,0,26 of 66,16 of 40,39%,40%,79 of 129,155 of 198,100%,50%,3,0,2,1,10:48,2:35,69.0,70.0,Orthodox,13,7,1979
2,UFC Fight Night: Florian vs Lauzon,2008-04-02,"Broomfield, Colorado, USA",win,,Gray Maynard,Frankie Edgar,0,0,19,26,9 of 10,1 of 5,0,0,Lightweight,U-DEC,3,5:00,0,0,19 of 65,26 of 75,29%,34%,27 of 74,31 of 80,90%,20%,0,0,0,0,6:18,0:31,69.0,70.0,Orthodox,13,7,1979
3,UFC 90: Silva vs Cote,2008-10-25,"Rosemont, Illinois, USA",win,,Gray Maynard,Rich Clementi,0,0,22,7,5 of 7,0 of 0,2,0,Lightweight,U-DEC,3,5:00,0,0,22 of 61,7 of 42,36%,16%,66 of 111,20 of 57,71%,---,2,0,0,1,9:41,0:13,69.0,70.0,Orthodox,13,7,1979
4,UFC 96: Jackson vs Jardine,2009-03-07,"Columbus, Ohio, USA",win,,Gray Maynard,Jim Miller,0,0,37,25,1 of 1,0 of 8,0,1,Lightweight,U-DEC,3,5:00,0,0,37 of 93,25 of 100,39%,25%,59 of 115,28 of 104,100%,0%,0,1,0,0,2:05,1:26,69.0,70.0,Orthodox,13,7,1979
5,UFC Fight Night: Diaz vs Guillard,2009-09-16,"Oklahoma City, Oklahoma, USA",win,,Gray Maynard,Roger Huerta,0,0,23,40,3 of 7,0 of 0,1,0,Lightweight,S-DEC,3,5:00,0,0,23 of 79,40 of 166,29%,24%,43 of 100,62 of 192,42%,---,1,0,0,0,3:14,1:00,69.0,70.0,Orthodox,13,7,1979
6,UFC Fight Night: Maynard vs Diaz,2010-01-11,"Fairfax, Virginia, USA",win,,Gray Maynard,Nate Diaz,0,0,41,70,0 of 0,0 of 3,0,0,Lightweight,S-DEC,3,5:00,0,0,41 of 142,70 of 251,28%,27%,53 of 154,77 of 259,---,0%,0,0,0,0,0:11,0:00,69.0,70.0,Orthodox,13,7,1979
7,UFC 118: Edgar vs Penn 2,2010-08-28,"Boston, Massachusetts, USA",win,,Gray Maynard,Kenny Florian,0,0,15,14,0 of 0,5 of 7,0,0,Lightweight,U-DEC,3,5:00,0,0,14 of 63,15 of 53,22%,28%,33 of 85,47 of 86,---,71%,0,0,0,0,0:00,6:39,69.0,70.0,Orthodox,13,7,1979
8,UFC 125: Resolution,2011-01-01,"Las Vegas, Nevada, USA",draw,draw,Gray Maynard,Frankie Edgar,3,0,71,95,3 of 17,3 of 11,1,2,Lightweight,S-DEC,5,5:00,3,0,71 of 212,95 of 226,33%,42%,93 of 236,97 of 228,17%,27%,1,2,0,0,2:13,1:27,69.0,70.0,Orthodox,13,7,1979
9,UFC 136: Edgar vs Maynard 3,2011-10-08,"Houston, Texas, USA",,win,Gray Maynard,Frankie Edgar,1,1,42,61,0 of 2,0 of 11,0,0,Lightweight,KO/TKO,4,3:54,1,1,42 of 170,61 of 176,24%,34%,52 of 180,64 of 179,0%,0%,0,0,0,0,0:16,0:15,69.0,70.0,Orthodox,13,7,1979
