,Name,Exists
0,Sergey Spivak,False
1,Yan Xiaonan.,False
2,Carlos Huachin,True
3,Claudio Henrique da Silva,False
4,Daniel da Silva,False
5,Victor Henry.,False
6,Luis Henrique,True
7,Raul Rosas Jr,True
8,Stephen Erceg.,False
9,Daniel da Silva Lacerda,False
10,Mayra Bueno Silva,True
11,Phil Hawes.,False
12,Johnny Munoz,True
13,Michelle Waterson-Gomez,True
14,Joselyne Edwards.,False
15,Diego Ferreira,True
16,Stephen Erceg,False
17,Andre Petroski,True
18,Phil Hawes,True
19,Henrique da Silva,True
20,Ramona Pascual,True
21,Kai Kamaka III,False
22,Grant Dawson.,False
23,Zarah Fairn Dos Santos,False
24,Gabriel Santos.,False
25,Polo Reyes,True
26,Askar Askarov,True
27,Mayra Bueno,True
28,Cody Brundage.,False
29,Timur Valiev,True
30,Luis Henrique da Silva,False
31,Khalil Rountree Jr.,True
32,Luiz Henrique,False
33,Jamie Pickett.,False
34,Wellington Turman,True
35,Maheshate,True
36,Kai Kamaka,True
37,Elizeu Zaleski,True
38,Andre Petroski.,False
39,Zarah Fairn,True
40,Timur Valiev.,False
41,Wellington Turman.,False
42,Sergey Spivak.,False
43,Michelle Waterson,True
44,Khalil Rountree,True
45,Kamuela Kirk,True
46,Trey Ogden.,False
47,Joselyne Edwards,True
48,Silvana Gomez Juarez.,False
49,Carlos Huachin Quiroz,False
50,Lucas Alexander,True
51,Marcos Rogerio,True
52,Cody Brundage,True
53,Khalil Rountree Jr,True
54,Daniel Argueta,False
55,Andrei Arlovski.,False
56,Ramona Pascual.,False
57,Yan Xiaonan,True
58,Gabriel Santos,True
59,Lucas Alexander.,False
60,Silvana Gomez Juarez,True
61,Luiz Henrique da Silva,False
62,Kai Kara-France,True
63,Kai Kara-France.,False
64,Marco Polo Reyes,True
65,Kai Kamaka Iii.,False
66,Brogan Walker-Sanchez,False
67,Daniel Argueta.,False
68,Kamuela Kirk.,False
69,Askar Askar,True
70,Grant Dawson,True
71,Andrei Arlovski,True
72,Brogan Walker,True
73,Carlos Diego Ferreira,False
74,Victor Henry,True
75,Trey Ogden,True
76,Raul Rosas Jr.,True
77,Hayisaer Maheshate,False
78,Elizeu Zaleski Dos Santos,True
79,Michelle Waterson Gomez,False
80,William Gomi,True
81,William Gomis,True
82,Marcos Rogerio de Lima,True
83,Johnny Munoz Jr.,False
84,Jamie Pickett,True
