,Event,Date,Fighter 1,Fighter 2,Fighter 1 Odds,Fighter 2 Odds
0,UFC 112: Invincible,Apr 2010,Alexander Gustafsson,Phil Davis,340.0,-465.0
1,UFC 112: Invincible,Apr 2010,Anderson Silva,Demian Maia,-560.0,405.0
2,UFC 112: Invincible,Apr 2010,Brad Blackburn,Damarques Johnson,-170.0,140.0
4,UFC 112: Invincible,Apr 2010,Frankie Edgar,B.J. Penn,525.0,-750.0
5,UFC 112: Invincible,Apr 2010,Jon Madsen,Mostapha Al-Turk,-300.0,240.0
6,UFC 112: Invincible,Apr 2010,Kendall Grove,Mark Munoz,115.0,-145.0
7,UFC 112: Invincible,Apr 2010,Matt Hughes,Renzo Gracie,-580.0,415.0
8,UFC 112: Invincible,Apr 2010,Matt Veach,Paul Kelly,-260.0,200.0
9,UFC 112: Invincible,Apr 2010,Nick Osipczak,Rick Story,135.0,-165.0
12,UFC 112: Invincible,Apr 2010,Rafael Dos Anjos,Terry Etim,145.0,-185.0
15,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Alejandro Perez,Ian Entwistle,-120.0,-120.0
16,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Ben Rothwell,Junior Dos Santos,110.0,-150.0
17,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Bojan Velickovic,Alessio Di Chirico,-170.0,130.0
18,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Curtis Blaydes,Francis Ngannou,-140.0,100.0
19,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Cyril Asker,Jared Cannonier,150.0,-190.0
20,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Damian Stasiak,Filip Pejic,-140.0,100.0
21,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Damir Hadzovic,Mairbek Taisumov,200.0,-280.0
22,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Derrick Lewis,Gabriel Gonzaga,-165.0,125.0
27,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Igor Pokrajac,Jan Blachowicz,265.0,-385.0
30,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Lucas Martins,Robert Whiteford,-150.0,110.0
32,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Marcin Tybura,Timothy Johnson,-190.0,150.0
33,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Maryna Moroz,Cristina Stanciu,-260.0,180.0
34,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 2016,Nicolas Dalby,Zak Cummings,-175.0,135.0
38,UFC on ABC 2: Vettori vs. Holland,Apr 2021,Arnold Allen,Sodiq Yusuff,100.0,-120.0
