,Short Name,Contained In
0,Andre Petroski,Andre Petroski.
1,Andrei Arlovski,Andrei Arlovski.
2,Askar Askar,Askar Askarov
3,Brogan Walker,Brogan Walker-Sanchez
4,Carlos Huachin,Carlos Huachin Quiroz
5,Cody Brundage,Cody Brundage.
6,Daniel Argueta,Daniel Argueta.
7,Daniel da Silva,Daniel da Silva Lacerda
8,Diego Ferreira,Carlos Diego Ferreira
9,Elizeu Zaleski,Elizeu Zaleski Dos Santos
10,Gabriel Santos,Gabriel Santos.
11,Grant Dawson,Grant Dawson.
12,Henrique da Silva,Claudio Henrique da Silva
13,Henrique da Silva,Luis Henrique da Silva
14,Henrique da Silva,Luiz Henrique da Silva
15,Jamie Pickett,Jamie Pickett.
16,Johnny Munoz,Johnny Munoz Jr.
17,Joselyne Edwards,Joselyne Edwards.
18,Kai Kamaka,Kai Kamaka III
19,Kai Kamaka,Kai Kamaka Iii.
20,Kai Kara-France,Kai Kara-France.
21,Kamuela Kirk,Kamuela Kirk.
22,Khalil Rountree,Khalil Rountree Jr
23,Khalil Rountree,Khalil Rountree Jr.
24,Khalil Rountree Jr,Khalil Rountree Jr.
25,Lucas Alexander,Lucas Alexander.
26,Luis Henrique,Luis Henrique da Silva
27,Luiz Henrique,Luiz Henrique da Silva
28,Maheshate,Hayisaer Maheshate
29,Marcos Rogerio,Marcos Rogerio de Lima
30,Mayra Bueno,Mayra Bueno Silva
31,Michelle Waterson,Michelle Waterson Gomez
32,Michelle Waterson,Michelle Waterson-Gomez
33,Phil Hawes,Phil Hawes.
34,Polo Reyes,Marco Polo Reyes
35,Ramona Pascual,Ramona Pascual.
36,Raul Rosas Jr,Raul Rosas Jr.
37,Sergey Spivak,Sergey Spivak.
38,Silvana Gomez Juarez,Silvana Gomez Juarez.
39,Stephen Erceg,Stephen Erceg.
40,Timur Valiev,Timur Valiev.
41,Trey Ogden,Trey Ogden.
42,Victor Henry,Victor Henry.
43,Wellington Turman,Wellington Turman.
44,William Gomi,William Gomis
45,Yan Xiaonan,Yan Xiaonan.
46,Zarah Fairn,Zarah Fairn Dos Santos
