,Winner,Event,Date,Location,Fighter 1,Fighter 2,Weight class,Stance 1,Career W 1,Career L 1,W 1,L 1,Num Fights 1,W Perc 1,Sig Strikes Avg 1,Sig Str % 1,Sig Strikes Opp Avg 1,Sig Str % Opp 1,Strikes Avg 1,Str % 1,Strikes Opp Avg 1,Str % Opp 1,TD Avg 1,TD % 1,TD Opp Avg 1,TD % Opp 1,KD Avg 1,KD Opp Avg 1,DEC Avg 1,KO Avg 1,SUB Avg 1,DEC Opp Avg 1,KO Opp Avg 1,SUB Opp Avg 1,CTRL Avg 1,CTRL Opp Avg 1,Time Avg 1,Streak 1,Ht Diff 1,Reach Diff 1,Age 1,Career Fights 1,Career W Perc 1,W 2,L 2,Num Fights 2,W Perc 2,Sig Strikes Avg 2,Sig Str % 2,Sig Strikes Opp Avg 2,Sig Str % Opp 2,Strikes Avg 2,Str % 2,Strikes Opp Avg 2,Str % Opp 2,TD Avg 2,TD % 2,TD Opp Avg 2,TD % Opp 2,KD Avg 2,KD Opp Avg 2,DEC Avg 2,KO Avg 2,SUB Avg 2,DEC Opp Avg 2,KO Opp Avg 2,SUB Opp Avg 2,CTRL Avg 2,CTRL Opp Avg 2,Time Avg 2,Streak 2,Career W 2,Career L 2,Career Fights 2,Career W Perc 2,Ht Diff 2,Reach Diff 2,Age 2,Stance 2
0,0,The Ultimate Fighter: A Champion Will Be Crowned Finale,Dec 2014,"Las Vegas, Nevada, USA",Seo Hee Ham,Joanne Wood,Women's Strawweight,Southpaw,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-3.0,27.0,21.0,76.19047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,8.0,100.0,4.0,3.0,29.0,Orthodox
1,0,UFC Fight Night: Cejudo vs. Dillashaw,Jan 2019,"Brooklyn, New York, USA",Ariane da Silva,Joanne Wood,Women's Flyweight,Orthodox,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,14.0,78.57142857142857,4.0,3.0,7.0,57.14285714285714,51.857142857142854,22.630922693266832,48.142857142857146,23.682361208713985,66.14285714285714,31.777625257378173,0.0,0.0,0.8571428571428571,46.15384615384615,0.0,0.0,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.0,0.2857142857142857,158.28571428571428,117.71428571428572,589.8571428571429,1.0,12,3,15.0,80.0,0.0,-2.0,34.0,Orthodox
2,1,UFC 238: Cejudo vs. Moraes,Jun 2019,"Chicago, Illinois, USA",Katlyn Cerminara,Joanne Wood,Women's Flyweight,Orthodox,11,2,4.0,2.0,6.0,66.66666666666666,64.0,16.893972723273208,60.333333333333336,18.756476683937823,68.83333333333333,19.326158165652785,0.0,0.0,0.8333333333333334,45.45454545454545,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,68.16666666666667,91.33333333333331,900.0,-1.0,3.0,3.0,31.0,13.0,84.61538461538461,5.0,3.0,8.0,62.5,56.0,24.81994459833795,48.75,24.20856610800745,66.5,29.854096520763186,0.0,0.0,0.875,50.0,0.0,0.0,0.125,0.25,0.375,0.125,0.125,0.125,0.0,0.25,173.0,127.75,628.625,2.0,13,3,16.0,81.25,-3.0,-3.0,34.0,Orthodox
3,0,UFC 279: Diaz vs. Ferguson,Sep 2022,"Las Vegas, Nevada, USA",Chad Anheliger,Alatengheili,Bantamweight,Orthodox,12,5,1.0,0.0,1.0,100.0,67.0,51.53846153846153,64.0,50.79365079365079,73.0,27.969348659003828,0.0,0.0,4.0,57.14285714285714,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,200.0,813.0,1.0,1.0,-2.0,36.0,17.0,70.58823529411765,3.0,1.0,4.0,75.0,34.5,15.825688073394495,66.0,20.15267175572519,78.5,23.751891074130103,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.25,0.0,0.0,93.0,1.5,686.75,1.0,15,8,23.0,65.21739130434783,-1.0,2.0,31.0,Orthodox
4,0,UFC Fight Night: Hall vs. Silva,Oct 2020,"Las Vegas, Nevada, USA",King Green,Thiago Moises,Lightweight,Orthodox,27,10,8.0,5.0,13.0,61.53846153846154,46.0,21.41833810888252,62.07692307692308,22.398001665278937,76.38461538461539,26.895991332611057,0.0,0.0,0.9230769230769232,27.906976744186046,0.0,0.0,0.0769230769230769,0.2307692307692307,0.4615384615384615,0.0769230769230769,0.0769230769230769,0.3076923076923077,0.0769230769230769,0.0,126.92307692307692,116.6923076923077,789.8461538461538,3.0,1.0,1.0,34.0,37.0,72.97297297297297,2.0,2.0,4.0,50.0,34.25,22.948073701842542,38.75,16.70258620689655,73.75,31.25,0.0,0.0,1.5,27.27272727272727,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.5,0.0,0.0,129.0,270.25,756.25,1.0,13,4,17.0,76.47058823529412,-1.0,-1.0,25.0,Orthodox
5,1,UFC Fight Night: Gane vs. Spivac,Sep 2023,"Paris, Ile-de-France, France",Benoit Saint Denis,Thiago Moises,Lightweight,Southpaw,11,0,3.0,1.0,4.0,75.0,33.5,24.45255474452555,47.5,26.425591098748264,69.0,35.521235521235525,0.0,0.0,1.5,31.57894736842105,0.0,0.0,0.75,0.0,0.0,0.25,0.5,0.25,0.0,0.0,80.5,165.25,474.0,3.0,2.0,3.0,28.0,11.0,100.0,6.0,4.0,10.0,60.0,35.4,20.593368237347295,34.7,17.75844421699079,60.6,29.925925925925927,0.0,0.0,1.1,34.375,0.0,0.0,0.0,0.1,0.3,0.0,0.3,0.2,0.1,0.1,127.8,168.5,679.4,2.0,17,6,23.0,73.91304347826086,-2.0,-3.0,28.0,Orthodox
6,1,UFC Fight Night: Dern vs. Hill,May 2023,"Las Vegas, Nevada, USA",Viacheslav Borshchev,Maheshate,Lightweight,Orthodox,6,3,1.0,2.0,3.0,33.33333333333333,28.666666666666668,35.390946502057616,32.666666666666664,37.98449612403101,52.666666666666664,36.57407407407408,0.0,0.0,6.666666666666667,68.96551724137932,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,46.333333333333336,418.0,675.6666666666666,-2.0,-1.0,-2.0,31.0,9.0,66.66666666666666,1.0,1.0,2.0,50.0,16.0,19.875776397515526,28.0,40.57971014492754,44.0,31.88405797101449,0.0,0.0,3.0,54.54545454545454,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,202.5,487.0,-1.0,9,2,11.0,81.81818181818183,1.0,2.0,24.0,Orthodox
7,0,UFC Fight Night: Arlovski vs. Barnett,Sep 2016,"Hamburg, Hamburg, Germany",Veronica Hardy,Ashlee Evans-Smith,Women's Bantamweight,Southpaw,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-3.0,21.0,5.0,100.0,1.0,1.0,2.0,50.0,32.0,33.86243386243386,30.0,24.59016393442623,36.5,15.869565217391305,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,100.0,66.0,599.5,1.0,4,1,5.0,80.0,4.0,3.0,29.0,Orthodox
8,1,UFC Fight Night: Maia vs. Usman,May 2018,"Santiago, Chile",Andrea Lee,Veronica Hardy,Women's Flyweight,Orthodox,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,29.0,10.0,80.0,0.0,1.0,1.0,0.0,23.0,56.09756097560976,73.0,63.47826086956522,114.0,41.15523465703971,0.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,109.0,361.0,766.0,-1.0,5,1,6.0,83.33333333333334,-2.0,-5.0,23.0,Southpaw
9,0,UFC Fight Night: Blachowicz vs. Santos,Feb 2019,"Prague, Czech Republic",Veronica Hardy,Gillian Robertson,Women's Flyweight,Southpaw,5,2,0.0,2.0,2.0,0.0,39.5,42.02127659574468,48.5,27.714285714285715,78.0,34.66666666666667,0.0,0.0,1.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,296.5,232.0,833.0,-2.0,-1.0,1.0,24.0,7.0,71.42857142857143,2.0,1.0,3.0,66.66666666666666,10.0,21.12676056338028,10.0,22.55639097744361,11.666666666666666,21.084337349397593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,161.0,16.333333333333332,284.0,-1.0,5,3,8.0,62.5,1.0,-1.0,24.0,Orthodox
