,Name from DF1,Name from DF2,Similarity Score
0,A.J. Dobson,AJ Dobson,90
1,A.J. Fletcher,AJ Fletcher,92
2,Aj Cunningham,AJ Cunningham,92
3,Aj Fletcher,AJ Fletcher,91
4,Aleksandar Rakir,Aleksandar Rakic,94
5,Alex da Silva,Alex Da Silva,92
6,Alexander Romanov,Alexandr Romanov,97
7,Alexandra Albu,Aleksandra Albu,90
8,Ali Al Qaisi,Ali AlQaisi,96
9,Ali Alqaisi,Ali AlQaisi,91
10,Andre Petroski.,Andre Petroski,97
11,Andrei Arlovski.,Andrei Arlovski,97
12,Antonio Dos Santos Jr.,Antonio Dos Santos,90
13,Antonio Rogerio Nogueira,Antonio Rodrigo Nogueira,92
14,Askar Askar,Askar Askarov,92
15,Asu Almabaev,Asu Almabayev,96
16,Benoit Saint-Denis,Benoit Saint Denis,94
17,Billy Quartantillo,Billy Quarantillo,97
18,Brendan Marotte,Brendon Marotte,93
19,C.B. Dollaway,CB Dollaway,92
20,C.J. Vergara,CJ Vergara,91
21,Calvin Cattar,Calvin Kattar,92
22,Cameron Vancamp,Cameron VanCamp,93
23,Carls John de Tomas,Carls John De Tomas,95
24,Chang Ho Lee,ChangHo Lee,96
25,Chris Caraiso,Chris Cariaso,92
26,Chris de La Rocha,Chris de la Rocha,94
27,Christian Quinonez,Cristian Quinonez,97
28,Claudio Ribiero,Claudio Ribeiro,93
29,Cody Brundage.,Cody Brundage,96
30,Da'mon Blackshear,Da'Mon Blackshear,94
31,Damarques Johnson,DaMarques Johnson,94
32,Damon Blackshear,Da'Mon Blackshear,91
33,Dennis Buzukia,Dennis Buzukja,93
34,Dennis Tiuliulin,Denis Tiuliulin,97
35,Dmitriy Sosnovskiy,Dmitry Sosnovskiy,97
36,Don'tale Mayes,Don'Tale Mayes,93
37,Elizeu Zaleski Dos Santos,Elizeu Zaleski dos Santos,96
38,Elves Brenner,Elves Brener,96
39,Erick Silva,Erik Silva,95
40,Erik Silva,Erick Silva,95
41,Felipe Dos Santos,Felipe dos Santos,94
42,Francisco Drinaldo,Francisco Trinaldo,94
43,Francisco Figueredo,Francisco Figueiredo,97
44,Gabriel Santos.,Gabriel Santos,97
45,Grant Dawson.,Grant Dawson,96
46,Heather Jo Clark,Heather Clark,90
47,Ion Curelaba,Ion Cutelaba,92
48,J.C. Cottrell,JC Cottrell,92
49,J.J. Aldrich,JJ Aldrich,91
50,Jacqueline Amorim,Jaqueline Amorim,97
51,Jailtom Almeida,Jailton Almeida,93
52,Jake Ellenberger,Joe Ellenberger,90
53,Jake O Brien,Jake O'Brien,92
54,Jamie Pickett.,Jamie Pickett,96
55,Jan Brachowicz,Jan Blachowicz,93
56,Jason Macdonald,Jason MacDonald,93
57,Jeongyeong Lee,JeongYeong Lee,93
58,Jim Crute,Jimmy Crute,90
59,Jj Aldrich,JJ Aldrich,90
60,Joe Ellenberger,Jake Ellenberger,90
61,Joe Gigliotti,Joseph Gigliotti,90
62,Johny Hendricks,Josh Hendricks,90
63,Jorge Oliveira,Jorge de Oliveira,90
64,Joselyne Edwards.,Joselyne Edwards,97
65,Josh Burkman,Joshua Burkman,92
