,Name from DF1,Name from DF2,Similarity Score
0,Aleksandar Rakir,Aleksandar Rakic,94
1,Alexander Romanov,Alexandr Romanov,97
2,Alexandra Albu,Aleksandra Albu,90
3,Ali Al Qaisi,Ali AlQaisi,96
4,Antonio Dos Santos Jr,Antonio Dos Santos,92
5,Antonio Rogerio Nogueira,Antonio Rodrigo Nogueira,92
6,Askar Askar,Askar Askarov,92
7,Asu Almabaev,Asu Almabayev,96
8,Billy Quartantillo,Billy Quarantillo,97
9,Brendan Marotte,Brendon Marotte,93
10,Calvin Cattar,Calvin Kattar,92
11,Chang Ho Lee,ChangHo Lee,96
12,Chris Caraiso,Chris Cariaso,92
13,Christian Quinonez,Cristian Quinonez,97
14,Claudio Ribiero,Claudio Ribeiro,93
15,Damon Blackshear,Da'Mon Blackshear,91
16,Dennis Buzukia,Dennis Buzukja,93
17,Dennis Tiuliulin,Denis Tiuliulin,97
18,Dmitriy Sosnovskiy,Dmitry Sosnovskiy,97
19,Elves Brenner,Elves Brener,96
20,Erick Silva,Erik Silva,95
21,Erik Silva,Erick Silva,95
22,Francisco Drinaldo,Francisco Trinaldo,94
23,Francisco Figueredo,Francisco Figueiredo,97
24,Heather Jo Clark,Heather Clark,90
25,Ion Curelaba,Ion Cutelaba,92
26,Jacqueline Amorim,Jaqueline Amorim,97
27,Jailtom Almeida,Jailton Almeida,93
28,Jake Ellenberger,Joe Ellenberger,90
29,Jake O Brien,Jake O'Brien,92
30,Jan Brachowicz,Jan Blachowicz,93
31,Jim Crute,Jimmy Crute,90
32,Joe Ellenberger,Jake Ellenberger,90
33,Joe Gigliotti,Joseph Gigliotti,90
34,Johny Hendricks,Josh Hendricks,90
35,Jorge Oliveira,Jorge de Oliveira,90
36,Josh Burkman,Joshua Burkman,92
37,Josh Hendricks,Johny Hendricks,90
38,Joshua Culibao,Josh Culibao,92
39,Joshua Sampo,Josh Sampo,91
40,Julia Stoliarenko,Julija Stoliarenko,97
41,Jun Yong Park,JunYong Park,96
42,Khalil Rountree,Khalil Rountree Jr,91
43,Kurt Warburton,Curt Warburton,93
44,Kyogi Horiguchi,Kyoji Horiguchi,93
45,Landon Vannata,Lando Vannata,96
46,Luiz Henrique,Luis Henrique,92
47,Marcio Alexandre Jr,Marcio Alexandre Junior,90
48,Mark O Madsen,Mark Madsen,92
49,Mateusz Rrbecki,Mateusz Rebecki,93
50,Mellisa Martinez,Melissa Martinez,94
51,Michar Oleksiejczuk,Michal Oleksiejczuk,95
52,Miles Jury,Myles Jury,90
53,Muhammadjon Naimov,Muhammad Naimov,91
54,Nathan Levy,Natan Levy,95
55,Ode' Osbourne,Ode Osbourne,96
56,Oder Osbourne,Ode Osbourne,96
57,Ovince St Preux,Ovince Saint Preux,91
58,Pete Rodrigue,Pete Rodriguez,96
59,Philip Rowe,Phil Rowe,90
60,Razak Al Hussan,Razak Al Hassan,93
61,Rick Glenn,Ricky Glenn,95
62,Roberto Sanchez,Robert Sanchez,97
63,Ronnys Torres,Ronys Torres,96
64,Rudovit Klein,Ludovit Klein,92
65,Rukasz Brzeski,Lukasz Brzeski,93
66,Saidyokub Kakharamonov,Saidyokub Kakhramonov,98
67,Saparbek Safarov,Saparbeg Safarov,94
68,Sergey Pavlovich,Sergei Pavlovich,94
69,Seung Woo Choi,SeungWoo Choi,96
70,Steven Kennedy,Steve Kennedy,96
71,Tafon Nchuwki,Tafon Nchukwi,92
72,Talia Santos,Taila Santos,92
73,Tom Hayden,Tommy Hayden,91
74,Urijah Hall,Uriah Hall,95
75,Victoria Dudakova,Viktoriia Dudakova,91
76,Vincent Cachero,Vince Cachero,93
77,Walmir Lazaro,Valmir Lazaro,92
78,Walter Harris,Walt Harris,92
79,William Gomi,William Gomis,96
80,Yanal Ashmoz,Yanal Ashmouz,96
81,Yuri Alcantara,Iuri Alcantara,93
