,Name from DF1,Name from DF2,Similarity Score
0,Aleksandar Rakir,Aleksandar Rakic,94
1,Alexander Romanov,Alexandr Romanov,97
2,Alexandra Albu,Aleksandra Albu,90
3,Ali Al Qaisi,Ali AlQaisi,96
4,Antonio Dos Santos Jr,Antonio Dos Santos,92
5,Antonio Rogerio Nogueira,Antonio Rodrigo Nogueira,92
6,Askar Askar,Askar Askarov,92
7,Asu Almabaev,Asu Almabayev,96
8,Benoit Saint-Denis,Benoit Saint Denis,94
9,Billy Quartantillo,Billy Quarantillo,97
10,Brendan Marotte,Brendon Marotte,93
11,Calvin Cattar,Calvin Kattar,92
12,Chang Ho Lee,ChangHo Lee,96
13,Chris Caraiso,Chris Cariaso,92
14,Christian Quinonez,Cristian Quinonez,97
15,Claudio Ribiero,Claudio Ribeiro,93
16,Damon Blackshear,Da'Mon Blackshear,91
17,Dennis Buzukia,Dennis Buzukja,93
18,Dennis Tiuliulin,Denis Tiuliulin,97
19,Dmitriy Sosnovskiy,Dmitry Sosnovskiy,97
20,Elves Brenner,Elves Brener,96
21,Erick Silva,Erik Silva,95
22,Erik Silva,Erick Silva,95
23,Francisco Drinaldo,Francisco Trinaldo,94
24,Francisco Figueredo,Francisco Figueiredo,97
25,Heather Jo Clark,Heather Clark,90
26,Ion Curelaba,Ion Cutelaba,92
27,Jacqueline Amorim,Jaqueline Amorim,97
28,Jailtom Almeida,Jailton Almeida,93
29,Jake Ellenberger,Joe Ellenberger,90
30,Jake O Brien,Jake O'Brien,92
31,Jan Brachowicz,Jan Blachowicz,93
32,Jim Crute,Jimmy Crute,90
33,Joe Ellenberger,Jake Ellenberger,90
34,Joe Gigliotti,Joseph Gigliotti,90
35,Johny Hendricks,Josh Hendricks,90
36,Jorge Oliveira,Jorge de Oliveira,90
37,Josh Burkman,Joshua Burkman,92
38,Josh Hendricks,Johny Hendricks,90
39,Joshua Culibao,Josh Culibao,92
40,Joshua Sampo,Josh Sampo,91
41,Julia Stoliarenko,Julija Stoliarenko,97
42,Jun Yong Park,JunYong Park,96
43,Kai Kara France,Kai Kara-France,93
44,Khalil Rountree,Khalil Rountree Jr,91
45,Kurt Warburton,Curt Warburton,93
46,Kyogi Horiguchi,Kyoji Horiguchi,93
47,Landon Vannata,Lando Vannata,96
48,Luiz Henrique,Luis Henrique,92
49,Marc Andre Barriault,Marc-Andre Barriault,95
50,Marcio Alexandre Jr,Marcio Alexandre Junior,90
51,Mark O Madsen,Mark Madsen,92
52,Mateusz Rrbecki,Mateusz Rebecki,93
53,Mellisa Martinez,Melissa Martinez,94
54,Michar Oleksiejczuk,Michal Oleksiejczuk,95
55,Michelle Waterson Gomez,Michelle Waterson-Gomez,96
56,Miles Jury,Myles Jury,90
57,Muhammadjon Naimov,Muhammad Naimov,91
58,Nathan Levy,Natan Levy,95
59,Ode' Osbourne,Ode Osbourne,96
60,Oder Osbourne,Ode Osbourne,96
61,Ovince St Preux,Ovince Saint Preux,91
62,Pete Rodrigue,Pete Rodriguez,96
63,Philip Rowe,Phil Rowe,90
64,Razak Al-Hussan,Razak Al-Hassan,93
65,Rick Glenn,Ricky Glenn,95
66,Roberto Sanchez,Robert Sanchez,97
67,Ronnys Torres,Ronys Torres,96
68,Rudovit Klein,Ludovit Klein,92
69,Rukasz Brzeski,Lukasz Brzeski,93
70,Saidyokub Kakharamonov,Saidyokub Kakhramonov,98
71,Saparbek Safarov,Saparbeg Safarov,94
72,Sergey Pavlovich,Sergei Pavlovich,94
73,Seung Woo Choi,SeungWoo Choi,96
74,Steven Kennedy,Steve Kennedy,96
75,Tafon Nchuwki,Tafon Nchukwi,92
76,Talia Santos,Taila Santos,92
77,Tom Hayden,Tommy Hayden,91
78,Urijah Hall,Uriah Hall,95
79,Victoria Dudakova,Viktoriia Dudakova,91
80,Vincent Cachero,Vince Cachero,93
81,Walmir Lazaro,Valmir Lazaro,92
82,Walter Harris,Walt Harris,92
83,William Gomi,William Gomis,96
84,Yanal Ashmoz,Yanal Ashmouz,96
85,Yuri Alcantara,Iuri Alcantara,93
