,Winner,Event,Date,Location,Fighter 1,Fighter 2,Weight class,Stance 1,Career W 1,Career L 1,born_year 1,W 1,L 1,Num Fights 1,W Perc 1,Sig Strikes Avg 1,Sig Str % 1,Sig Strikes Opp Avg 1,Sig Str % Opp 1,Strikes Avg 1,Str % 1,Strikes Opp Avg 1,Str % Opp 1,TD Avg 1,TD % 1,TD Opp Avg 1,TD % Opp 1,KD Avg 1,KD Opp Avg 1,DEC Avg 1,KO Avg 1,SUB Avg 1,DEC Opp Avg 1,KO Opp Avg 1,SUB Opp Avg 1,CTRL Avg 1,CTRL Opp Avg 1,Time Avg 1,Streak 1,Ht Diff 1,Reach Diff 1,Age 1,Career Fights 1,Career W Perc 1,W 2,L 2,Num Fights 2,W Perc 2,Sig Strikes Avg 2,Sig Str % 2,Sig Strikes Opp Avg 2,Sig Str % Opp 2,Strikes Avg 2,Str % 2,Strikes Opp Avg 2,Str % Opp 2,TD Avg 2,TD % 2,TD Opp Avg 2,TD % Opp 2,KD Avg 2,KD Opp Avg 2,DEC Avg 2,KO Avg 2,SUB Avg 2,DEC Opp Avg 2,KO Opp Avg 2,SUB Opp Avg 2,CTRL Avg 2,CTRL Opp Avg 2,Time Avg 2,Streak 2,Career W 2,Career L 2,Career Fights 2,Career W Perc 2,Ht Diff 2,Reach Diff 2,Age 2,Stance 2,born_year 2,Fighter 1 Odds,Fighter 2 Odds
0,1,UFC Fight Night: Blaydes vs. Aspinall,2022,"London, England, United Kingdom",Charles Johnson,Muhammad Mokaev,Flyweight,Orthodox,7,0,2000,1,0,1,100,2.0,40.0,1.0,20.0,2.0,20.0,1.0,10.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,58.0,1,-2,0,22,7.0,100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,2,13.0,84.61538461538461,2,0,31,Switch,1991,380.0,-490.0
1,0,UFC Fight Night 215,2022,"Las Vegas, Nevada, USA",Charles Johnson,Zhalgas Zhumagulov,Flyweight,Switch,14,7,1988,1,4,5,20,40.6,24.023668639053252,48.0,24.291497975708506,51.2,25.832492431886983,68.8,28.336079077429986,1.0,18.51851851851852,0.4,50.0,0.0,0.4,0.0,0.0,0.2,0.6,0.2,0.0,80.0,55.6,612.8,-2,-5,-4,34,21.0,66.66666666666666,0,1,1,0,12.0,54.54545454545454,12.0,41.37931034482759,71.0,66.98113207547169,32.0,38.55421686746988,0.0,0.0,12.0,46.15384615384615,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,704.0,900.0,-1,11,3,14.0,78.57142857142857,5,4,31,Switch,1991,-175.0,150.0
2,1,UFC Fight Night 218,2023,"Las Vegas, Nevada, USA",Charles Johnson,Jimmy Flick,Flyweight,Switch,12,3,1991,1,1,2,50,63.5,40.31746031746032,65.5,41.32492113564668,106.0,38.40579710144928,86.5,30.08695652173913,0.0,0.0,6.5,43.333333333333336,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,42.0,383.5,900.0,1,2,2,32,15.0,80.0,1,0,1,100,6.0,42.85714285714285,21.0,65.625,7.0,24.13793103448276,30.0,40.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,198.0,1,16,5,21.0,76.19047619047619,-2,-2,33,Orthodox,1990,-134.0,114.0
3,1,UFC Fight Night 224,2023,"Las Vegas, Nevada, USA",Charles Johnson,Cody Durden,Flyweight,Southpaw,14,4,1991,3,3,6,50,23.666666666666668,20.02820874471086,29.0,26.08695652173913,44.0,32.83582089552239,38.333333333333336,31.550068587105624,2.333333333333333,38.88888888888889,0.3333333333333333,40.0,0.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.0,0.1666666666666666,0.0,0.3333333333333333,256.8333333333333,31.5,504.0,2,-2,-3,32,18.0,77.77777777777779,2,2,4,50,55.25,27.18327183271833,46.5,24.635761589403973,82.5,34.375,57.5,25.21929824561404,0.25,14.285714285714285,4.25,39.53488372093023,0.0,0.0,0.25,0.25,0.0,0.5,0.0,0.0,65.25,241.0,743.25,-1,13,4,17.0,76.47058823529412,2,3,32,Switch,1991,-145.0,125.0
4,1,UFC,2023,"Las Vegas, Nevada, USA",Charles Johnson,Rafael Estevam,Flyweight,Orthodox,11,0,1996,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1,-1,27,11.0,100.0,2,3,5,40,54.6,25.730442978322337,48.4,23.93669634025717,78.0,33.33333333333333,62.0,27.216856892010536,0.2,14.285714285714285,5.6,45.90163934426229,0.0,0.0,0.2,0.2,0.0,0.6,0.0,0.0,53.8,307.4,774.6,-2,13,5,18.0,72.22222222222221,1,1,32,Switch,1991,-130.0,110.0
5,1,UFC Fight Night,2024,"Las Vegas, Nevada, USA",Azat Maksum,Charles Johnson,Flyweight,Switch,13,6,1991,2,4,6,33,48.5,23.99010717230008,52.333333333333336,25.16025641025641,70.83333333333333,32.945736434108525,71.0,30.234208658623132,0.6666666666666666,13.79310344827586,4.666666666666667,45.90163934426229,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.6666666666666666,0.0,0.0,138.66666666666666,263.3333333333333,795.5,-3,2,0,33,19.0,68.42105263157895,1,0,1,100,81.0,38.0281690140845,46.0,24.33862433862434,98.0,21.53846153846154,46.0,12.137203166226913,0.0,0.0,2.0,18.181818181818183,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,22.0,900.0,1,17,0,17.0,100.0,-2,0,29,Southpaw,1995,-148.0,124.0
6,0,UFC,2024,"St. Louis, Missouri, USA",Charles Johnson,Jake Hadley,Flyweight,Southpaw,10,2,1996,2,2,4,50,31.0,22.752293577981657,34.75,25.364963503649637,40.75,25.038402457757297,49.75,29.701492537313435,0.75,37.5,1.0,66.66666666666666,0.25,0.0,0.0,0.25,0.25,0.5,0.0,0.0,198.5,168.75,580.0,-1,-2,0,28,12.0,83.33333333333334,3,4,7,42,47.0,22.64280798348245,55.71428571428572,25.177533892834088,66.42857142857143,28.72143298332304,72.42857142857143,29.858657243816257,0.8571428571428571,16.666666666666664,4.285714285714286,44.776119402985074,0.1428571428571428,0.0,0.2857142857142857,0.1428571428571428,0.0,0.5714285714285714,0.0,0.0,140.14285714285714,232.42857142857144,810.4285714285714,1,14,6,20.0,70.0,2,0,33,Switch,1991,130.0,-155.0
7,0,UFC on ESPN: Tsarukyan vs. Gamrot,2022,"Las Vegas, Nevada, USA",Jinh Yu Frey,Vanessa Demopoulos,Women's Strawweight,Southpaw,11,6,1985,2,2,4,50,42.75,29.84293193717277,56.5,26.872770511296075,51.5,27.14097496706193,68.5,25.32347504621072,0.25,20.0,1.0,17.391304347826086,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,42.0,242.0,861.5,2,1,6,37,17.0,64.70588235294117,1,1,2,50,40.0,21.91780821917808,48.5,31.18971061093248,48.5,25.32637075718016,62.5,38.69969040247678,0.0,0.0,0.5,50.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,92.0,129.5,522.5,1,7,4,11.0,63.63636363636363,-1,-6,34,Orthodox,1988,-300.0,250.0
8,1,UFC Fight Night 215,2022,"Las Vegas, Nevada, USA",Maria Oliveira,Vanessa Demopoulos,Women's Strawweight,Orthodox,8,4,1988,2,1,3,66,48.66666666666666,27.969348659003828,53.0,34.868421052631575,56.0,25.225225225225223,68.66666666666667,33.82594417077176,0.3333333333333333,8.333333333333332,0.3333333333333333,33.33333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,146.0,90.0,648.3333333333334,2,-4,-10,34,12.0,66.66666666666666,1,1,2,50,81.0,23.75366568914956,83.5,32.6171875,94.5,19.18781725888325,109.5,30.543933054393307,1.0,50.0,3.5,50.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,48.0,223.5,900.0,1,13,5,18.0,72.22222222222221,4,10,26,Orthodox,1996,-150.0,130.0
9,0,UFC Fight Night 226,2023,"Las Vegas, Nevada, USA",Karolina Kowalkiewicz,Vanessa Demopoulos,Women's Strawweight,Orthodox,9,4,1988,3,1,4,75,50.25,26.94369973190349,60.5,31.716906946264743,72.25,32.111111111111114,75.25,32.400430570505925,0.75,18.75,0.25,33.33333333333333,0.5,0.0,0.5,0.0,0.25,0.25,0.0,0.0,229.25,67.75,711.25,3,-1,-5,35,13.0,69.23076923076923,7,7,14,50,71.78571428571429,20.40609137055838,67.14285714285714,20.828717039663196,89.14285714285714,24.209505334626577,84.71428571428571,24.811715481171547,1.0,37.83783783783784,0.2142857142857142,10.714285714285714,0.0,0.0714285714285714,0.4285714285714285,0.0,0.0714285714285714,0.2857142857142857,0.0714285714285714,0.1428571428571428,126.35714285714286,98.5,765.2857142857143,2,14,7,21.0,66.66666666666666,1,5,38,Orthodox,1985,-116.0,-104.0
