,Event,Date,Location,W/L 1,Fighter 1,Fighter 2,Weight class,Stance 1,Career W 1,Career L 1,born_year 1,W 1,L 1,Num Fights 1,W Perc 1,Sig Strikes 1,Sig Str % 1,Sig Strikes Opp 1,Sig Str % Opp 1,Strikes 1,Str % 1,Strikes Opp 1,Str % Opp 1,TD 1,TD % 1,TD Opp 1,TD % Opp 1,KD Total 1,KD Total Opp 1,DEC 1,KO 1,SUB 1,DEC Opp 1,KO Opp 1,SUB Opp 1,CTRL Total 1,CTRL Total Opp 1,Time Total 1,Streak 1,Ht Diff 1,Reach Diff 1,Age 1,Career Fights 1,Career W Perc 1,W 2,L 2,Num Fights 2,W Perc 2,Sig Strikes 2,Sig Str % 2,Sig Strikes Opp 2,Sig Str % Opp 2,Strikes 2,Str % 2,Strikes Opp 2,Str % Opp 2,TD 2,TD % 2,TD Opp 2,TD % Opp 2,KD Total 2,KD Total Opp 2,DEC 2,KO 2,SUB 2,DEC Opp 2,KO Opp 2,SUB Opp 2,CTRL Total 2,CTRL Total Opp 2,Time Total 2,Streak 2,Career W 2,Career L 2,Career Fights 2,Career W Perc 2,Ht Diff 2,Reach Diff 2,Age 2,Stance 2,born_year 2
0,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23 00:00:00,"London, England, United Kingdom",,Charles Johnson,Muhammad Mokaev,Flyweight,Switch,11,2,1991,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,13.0,84.61538461538461,1,0,1,100,2,40.0,1,20.0,2,20.0,1,10.0,0,0.0,1,100.0,1,0,0,0,1,0,0,0,11,0,58,1,7,0,7.0,100.0,-2,0,22,Orthodox,2000
1,UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19 00:00:00,"Las Vegas, Nevada, USA",win,Charles Johnson,Zhalgas Zhumagulov,Flyweight,Switch,11,3,1991,0,1,1,0,12,54.54545454545454,12,41.37931034482759,71,66.98113207547169,32,38.55421686746988,0,0.0,12,46.15384615384615,0,0,0,0,0,1,0,0,27,704,900,-1,5,4,31,14.0,78.57142857142857,1,4,5,20,203,24.023668639053255,240,24.291497975708502,256,25.832492431886983,344,28.336079077429982,5,18.51851851851852,2,50.0,0,2,0,0,1,3,1,0,400,278,3064,-2,14,7,21.0,66.66666666666666,-5,-4,34,Switch,1988
2,UFC Fight Night: Strickland vs. Imavov,2023-01-14 00:00:00,"Las Vegas, Nevada, USA",win,Charles Johnson,Jimmy Flick,Flyweight,Switch,12,3,1991,1,1,2,50,127,40.317460317460316,131,41.32492113564668,212,38.405797101449274,173,30.08695652173913,0,0.0,13,43.333333333333336,0,0,1,0,0,1,0,0,84,767,1800,1,2,2,32,15.0,80.0,1,0,1,100,6,42.857142857142854,21,65.625,7,24.137931034482758,30,40.0,0,0.0,2,100.0,0,0,0,0,1,0,0,0,0,81,198,1,16,5,21.0,76.19047619047619,-2,-2,33,Orthodox,1990
3,UFC Fight Night: Muniz vs. Allen,2023-02-25 00:00:00,"Las Vegas, Nevada, USA",,Charles Johnson,Ode Osbourne,Catch Weight,Switch,13,3,1991,2,1,3,66,161,26.436781609195403,138,23.46938775510204,256,37.31778425655977,180,29.950083194675543,0,0.0,14,42.42424242424242,0,0,1,1,0,1,0,0,183,791,2073,2,2,-3,32,16.0,81.25,3,3,6,50,145,26.65441176470588,129,22.279792746113987,184,32.33743409490334,160,25.806451612903224,0,0.0,2,22.22222222222222,3,1,1,2,0,0,2,1,173,146,1619,-1,11,5,16.0,68.75,-2,3,31,Southpaw,1992
4,UFC Fight Night: Song vs. Simon,2023-04-29 00:00:00,"Las Vegas, Nevada, USA",,Charles Johnson,Cody Durden,Flyweight,Switch,13,4,1991,2,2,4,50,221,27.183271832718326,186,24.635761589403973,330,34.375,230,25.219298245614034,1,14.285714285714285,17,39.53488372093023,0,0,1,1,0,2,0,0,261,964,2973,-1,2,3,32,17.0,76.47058823529412,3,3,6,50,142,20.02820874471086,174,26.08695652173913,264,32.83582089552239,230,31.550068587105624,14,38.88888888888889,2,40.0,0,2,2,1,0,1,0,2,1541,189,3024,2,14,4,18.0,77.77777777777779,-2,-3,32,Southpaw,1991
5,UFC Fight Night: Allen vs. Craig,2023-11-18 00:00:00,"Las Vegas, Nevada, USA",,Charles Johnson,Rafael Estevam,Flyweight,Switch,13,5,1991,2,3,5,40,273,25.730442978322337,242,23.93669634025717,390,33.33333333333333,310,27.216856892010536,1,14.285714285714285,28,45.90163934426229,0,0,1,1,0,3,0,0,269,1537,3873,-2,1,1,32,18.0,72.22222222222221,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11.0,100.0,-1,-1,27,Orthodox,1996
6,UFC Fight Night: Dolidze vs. Imavov,2024-02-03 00:00:00,"Las Vegas, Nevada, USA",win,Charles Johnson,Azat Maksum,Flyweight,Switch,13,6,1991,2,4,6,33,291,23.990107172300082,314,25.16025641025641,425,32.945736434108525,426,30.234208658623135,4,13.793103448275861,28,45.90163934426229,0,0,1,1,0,4,0,0,832,1580,4773,-3,2,0,33,19.0,68.42105263157895,1,0,1,100,81,38.028169014084504,46,24.33862433862434,98,21.53846153846154,46,12.137203166226913,0,0.0,2,18.181818181818183,0,0,1,0,0,0,0,0,30,22,900,1,17,0,17.0,100.0,-2,0,29,Southpaw,1995
7,UFC Fight Night: Lewis vs. Nascimento,2024-05-11 00:00:00,"St. Louis, Missouri, USA",win,Charles Johnson,Jake Hadley,Flyweight,Switch,14,6,1991,3,4,7,42,329,22.64280798348245,390,25.177533892834088,465,28.721432983323037,507,29.858657243816257,6,16.666666666666664,30,44.776119402985074,1,0,2,1,0,4,0,0,981,1627,5673,1,2,0,33,20.0,70.0,2,2,4,50,124,22.752293577981654,139,25.364963503649633,163,25.038402457757297,199,29.701492537313435,3,37.5,4,66.66666666666666,1,0,0,1,1,2,0,0,794,675,2320,-1,10,2,12.0,83.33333333333334,-2,0,28,Southpaw,1996
8,UFC Fight Night: Namajunas vs. Cortez,2024-07-13 00:00:00,"Denver, Colorado, USA",win,Charles Johnson,Joshua Van,Flyweight,Switch,15,6,1991,4,4,8,50,399,22.32792389479575,438,23.986856516977,553,28.000000000000004,557,28.476482617586914,6,16.666666666666664,30,38.46153846153847,2,0,3,1,0,4,0,0,1000,1759,6573,2,4,5,33,21.0,71.42857142857143,3,0,3,100,342,25.71428571428571,245,25.33609100310238,423,27.255154639175256,266,24.9063670411985,4,40.0,2,18.181818181818183,1,0,2,1,0,0,0,0,207,144,2371,3,10,1,11.0,90.9090909090909,-4,-5,23,Orthodox,2001
9,UFC Fight Night: Barboza vs. Chikadze,2021-08-28 00:00:00,"Las Vegas, Nevada, USA",,Vanessa Demopoulos,JJ Aldrich,Women's Flyweight,Orthodox,6,3,1988,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-8,33,9.0,66.66666666666666,5,3,8,62,425,18.780380026513477,514,20.276134122287967,655,26.57200811359026,598,22.70311313591496,2,22.22222222222222,10,50.0,0,0,5,0,0,2,1,0,264,1383,6781,1,9,4,13.0,69.23076923076923,3,8,29,Southpaw,1992
