,Feature,Coefficient,AbsCoefficient
35,Time Avg 1,0.36048377216657146,0.36048377216657146
68,Time Avg 2,-0.35561990852553965,0.35561990852553965
61,KO Avg 2,-0.2864101856720328,0.2864101856720328
62,SUB Avg 2,-0.2307566704681559,0.2307566704681559
71,Career L 2,0.21895356508640698,0.21895356508640698
19,Strikes Opp Avg 1,-0.19810319818130956,0.19810319818130956
39,Age 1,-0.19615284100371005,0.19615284100371005
76,Age 2,0.19203221680753849,0.19203221680753849
60,DEC Avg 2,-0.17291983901315247,0.17291983901315247
27,DEC Avg 1,-0.17046809264610635,0.17046809264610635
67,CTRL Opp Avg 2,0.15548487483642764,0.15548487483642764
8,Career L 1,-0.15455927093472885,0.15455927093472885
17,Strikes Avg 1,-0.15296189955417583,0.15296189955417583
12,W Perc 1,0.1515978667947959,0.1515978667947959
56,TD Opp Avg 2,-0.14131461482115573,0.14131461482115573
41,Career W Perc 1,0.125641129837117,0.125641129837117
30,DEC Opp Avg 1,-0.1237905295946116,0.1237905295946116
57,TD % Opp 2,0.12284258580224354,0.12284258580224354
15,Sig Strikes Opp Avg 1,0.12199655761561343,0.12199655761561343
14,Sig Str % 1,-0.12006116144596816,0.12006116144596816
48,Sig Strikes Opp Avg 2,0.11860036868149819,0.11860036868149819
45,W Perc 2,0.11272059391232939,0.11272059391232939
63,DEC Opp Avg 2,-0.11126138210856736,0.11126138210856736
36,Streak 1,0.10451268476290008,0.10451268476290008
10,L 1,0.10333149523729378,0.10333149523729378
13,Sig Strikes Avg 1,0.10100204222822103,0.10100204222822103
21,TD Avg 1,0.09844645108863939,0.09844645108863939
73,Career W Perc 2,-0.09588014550536249,0.09588014550536249
23,TD Opp Avg 1,0.09401982150567609,0.09401982150567609
18,Str % 1,0.09096228420163961,0.09096228420163961
42,W 2,-0.0888842175135842,0.0888842175135842
70,Career W 2,-0.08439272868430966,0.08439272868430966
51,Str % 2,0.08293227833531583,0.08293227833531583
7,Career W 1,0.07851577680356772,0.07851577680356772
46,Sig Strikes Avg 2,0.0775638258196058,0.0775638258196058
20,Str % Opp 1,0.07323727965551659,0.07323727965551659
44,Num Fights 2,-0.06889943457358272,0.06889943457358272
24,TD % Opp 1,-0.06462815251729417,0.06462815251729417
5,Weight class,0.05550033544205181,0.05550033544205181
69,Streak 2,-0.054180849321231815,0.054180849321231815
34,CTRL Opp Avg 1,-0.05366888760346331,0.05366888760346331
54,TD Avg 2,-0.05285613738954951,0.05285613738954951
22,TD % 1,-0.052781241213795106,0.052781241213795106
55,TD % 2,0.04648300758847476,0.04648300758847476
32,SUB Opp Avg 1,0.045220548264259496,0.045220548264259496
11,Num Fights 1,0.04467559955403696,0.04467559955403696
16,Sig Str % Opp 1,-0.04037794766498856,0.04037794766498856
53,Str % Opp 2,-0.03592284358557738,0.03592284358557738
65,SUB Opp Avg 2,-0.03406576416781234,0.03406576416781234
38,Reach Diff 1,0.03110282633514905,0.03110282633514905
75,Reach Diff 2,-0.03110282633514905,0.03110282633514905
2,Location,-0.031036874637667942,0.031036874637667942
1,Date,-0.02964774499221324,0.02964774499221324
25,KD Avg 1,-0.0286986964969178,0.0286986964969178
58,KD Avg 2,0.027862327023233303,0.027862327023233303
31,KO Opp Avg 1,-0.027408061025531377,0.027408061025531377
52,Strikes Opp Avg 2,0.027057381297427494,0.027057381297427494
3,Fighter 1,-0.026253577628504395,0.026253577628504395
49,Sig Str % Opp 2,0.02514591888429662,0.02514591888429662
43,L 2,-0.023153271407835487,0.023153271407835487
4,Fighter 2,0.019854396905344213,0.019854396905344213
74,Ht Diff 2,-0.019754675783929393,0.019754675783929393
37,Ht Diff 1,0.019754675783929393,0.019754675783929393
47,Sig Str % 2,-0.019611348850402856,0.019611348850402856
72,Career Fights 2,0.016377326013324596,0.016377326013324596
77,Stance 2,-0.012350646784011812,0.012350646784011812
28,KO Avg 1,0.011941359099511573,0.011941359099511573
26,KD Opp Avg 1,-0.011117258043665262,0.011117258043665262
59,KD Opp Avg 2,0.009112870641169255,0.009112870641169255
33,CTRL Avg 1,-0.008625098059130748,0.008625098059130748
9,W 1,0.0051663818206675064,0.0051663818206675064
50,Strikes Avg 2,0.004449685406774172,0.004449685406774172
6,Stance 1,-0.0040951797912100645,0.0040951797912100645
0,Event,0.0039017857644830585,0.0039017857644830585
66,CTRL Avg 2,0.003015275741164342,0.003015275741164342
40,Career Fights 1,0.002377375747112326,0.002377375747112326
29,SUB Avg 1,-0.0020782072318058127,0.0020782072318058127
64,KO Opp Avg 2,0.0005625035155894439,0.0005625035155894439
