,Feature,Coefficient,AbsCoefficient
34,Career W Perc Diff,0.32694394773266316,0.32694394773266316
30,Time Avg Diff,0.3167629308893815,0.3167629308893815
29,CTRL Opp Avg Diff,-0.1520846190653467,0.1520846190653467
16,TD Avg Diff,0.14839477185814523,0.14839477185814523
12,Strikes Avg Diff,-0.12758788600097157,0.12758788600097157
13,Str % Diff,0.12117786804301389,0.12117786804301389
3,Career L Diff,-0.11646756625491714,0.11646756625491714
4,W Diff,0.11382061561370174,0.11382061561370174
18,TD Opp Avg Diff,0.11291912860396273,0.11291912860396273
7,W Perc Diff,0.10483447270873195,0.10483447270873195
9,Sig Str % Diff,-0.09847066007002792,0.09847066007002792
23,KO Avg Diff,0.09273615587926404,0.09273615587926404
27,SUB Opp Avg Diff,0.08106790305300324,0.08106790305300324
8,Sig Strikes Avg Diff,0.07818786956069675,0.07818786956069675
0,Ht Diff,0.07627795585823531,0.07627795585823531
22,DEC Avg Diff,-0.06415461862334762,0.06415461862334762
1,Reach Diff,0.06337552237708576,0.06337552237708576
32,Age Diff,-0.06052552724589522,0.06052552724589522
25,DEC Opp Avg Diff,0.060444979830728475,0.060444979830728475
14,Strikes Opp Avg Diff,-0.058287652576712486,0.058287652576712486
6,Num Fights Diff,0.0551151362622757,0.0551151362622757
19,TD % Opp Diff,-0.054896523768985406,0.054896523768985406
31,Streak Diff,0.051329862715221414,0.051329862715221414
24,SUB Avg Diff,0.05061379166077236,0.05061379166077236
10,Sig Strikes Opp Avg Diff,-0.046145204517540145,0.046145204517540145
17,TD % Diff,-0.04177486322468715,0.04177486322468715
5,L Diff,-0.03728725307943594,0.03728725307943594
33,Career Fights Diff,-0.03386757699792778,0.03386757699792778
11,Sig Str % Opp Diff,-0.03141143658901427,0.03141143658901427
35,Stance Diff,0.02944940613401262,0.02944940613401262
28,CTRL Avg Diff,-0.02155829035381697,0.02155829035381697
26,KO Opp Avg Diff,0.018069992960373156,0.018069992960373156
15,Str % Opp Diff,0.012389762112480851,0.012389762112480851
2,Career W Diff,0.008775470192332099,0.008775470192332099
20,KD Avg Diff,-0.00819454229761323,0.00819454229761323
21,KD Opp Avg Diff,-0.00020657515540631018,0.00020657515540631018
