,Winner,Ht Diff,Reach Diff,Career W Diff,Career L Diff,W Diff,L Diff,Num Fights Diff,W Perc Diff,Sig Strikes Avg Diff,Sig Str % Diff,Sig Strikes Opp Avg Diff,Sig Str % Opp Diff,Strikes Avg Diff,Str % Diff,Strikes Opp Avg Diff,Str % Opp Diff,TD Avg Diff,TD % Diff,TD Opp Avg Diff,TD % Opp Diff,KD Avg Diff,KD Opp Avg Diff,DEC Avg Diff,KO Avg Diff,SUB Avg Diff,DEC Opp Avg Diff,KO Opp Avg Diff,SUB Opp Avg Diff,CTRL Avg Diff,CTRL Opp Avg Diff,Time Avg Diff,Streak Diff,Age Diff,Career Fights Diff,Career W Perc Diff,Stance Diff
0,1,-2,0,-4,-2,1,0,1,100,2.0,40.0,1.0,20.0,2.0,20.0,1.0,10.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,58.0,1,-9,-6.0,15.384615384615387,-2
1,0,-5,-4,3,4,1,3,4,20,28.6,-30.521785906401288,36.0,-17.08781236911908,-19.799999999999997,-41.14863964358471,36.8,-10.218137790039897,1.0,18.51851851851852,-11.6,3.8461538461538467,0.0,0.4,0.0,0.0,0.2,-0.4,0.2,0.0,53.0,-648.4,-287.20000000000005,-1,3,7.0,-11.904761904761912,0
2,1,2,2,-4,-2,0,1,1,-50,57.5,-2.5396825396825236,44.5,-24.300078864353317,99.0,14.26786606696652,56.5,-9.913043478260871,0.0,0.0,4.5,-56.666666666666664,0.0,0.0,0.5,0.0,-1.0,0.5,0.0,0.0,42.0,302.5,702.0,0,-1,-6.0,3.80952380952381,2
3,1,-2,-3,1,0,1,1,2,0,-31.583333333333332,-7.15506308800747,-17.5,1.4511949323351558,-38.5,-1.5391791044776113,-19.166666666666664,6.330770341491583,2.083333333333333,24.603174603174608,-3.9166666666666665,0.46511627906976827,0.0,0.3333333333333333,0.08333333333333331,-0.0833333333333334,0.0,-0.33333333333333337,0.0,0.3333333333333333,191.58333333333331,-209.5,-239.25,3,0,1.0,1.3071895424836697,-1
4,1,-1,-1,-2,-5,-2,-3,-5,-40,-54.6,-25.730442978322337,-48.4,-23.93669634025717,-78.0,-33.33333333333333,-62.0,-27.216856892010536,-0.2,-14.285714285714285,-5.6,-45.90163934426229,0.0,0.0,-0.2,-0.2,0.0,-0.6,0.0,0.0,-53.8,-307.4,-774.6,2,-5,-7.0,27.777777777777786,-2
5,1,2,0,-4,6,1,4,5,-67,-32.5,-14.038061841784419,6.333333333333336,0.8216320716320702,-27.16666666666667,11.407274895646985,25.0,18.09700549239622,0.6666666666666666,13.79310344827586,2.666666666666667,27.71982116244411,0.0,0.0,-0.8333333333333334,0.1666666666666666,0.0,0.6666666666666666,0.0,0.0,108.66666666666666,241.33333333333331,-104.5,-4,4,2.0,-31.578947368421055,1
6,0,-2,0,-4,-4,-1,-2,-3,8,-16.0,0.10948559449920836,-20.964285714285722,0.1874296108155491,-25.67857142857143,-3.6830305255657443,-22.67857142857143,-0.15716470650282233,-0.1071428571428571,20.833333333333336,-3.2857142857142856,21.890547263681583,0.1071428571428572,0.0,-0.2857142857142857,0.1071428571428572,0.25,-0.0714285714285714,0.0,0.0,58.35714285714286,-63.678571428571445,-230.42857142857144,-2,-5,-8.0,13.333333333333343,-1
7,0,1,6,4,2,1,1,2,0,2.75,7.9251237179946905,8.0,-4.316940099636405,3.0,1.814604209881768,6.0,-13.376215356266062,0.25,20.0,0.5,-32.608695652173914,-0.5,0.0,0.5,0.0,-0.5,-0.25,0.0,0.25,-50.0,112.5,339.0,1,3,6.0,1.0695187165775408,1
8,1,-4,-10,-5,-1,1,0,1,16,-32.33333333333334,4.215682969854267,-30.5,2.251233552631575,-38.5,6.0374079663419735,-40.83333333333333,3.282011116378456,-0.6666666666666667,-41.66666666666667,-3.1666666666666665,-16.66666666666667,0.3333333333333333,0.0,-0.16666666666666669,0.0,0.3333333333333333,-0.16666666666666669,0.0,0.0,98.0,-133.5,-251.66666666666663,1,8,-6.0,-5.555555555555557,0
9,0,-1,-5,-5,-3,-4,-6,-10,25,-21.535714285714292,6.537608361345111,-6.642857142857139,10.888189906601546,-16.89285714285714,7.901605776484537,-9.464285714285708,7.588715089334379,-0.25,-19.08783783783784,0.03571428571428581,22.619047619047613,0.5,-0.0714285714285714,0.07142857142857151,0.0,0.1785714285714286,-0.0357142857142857,-0.0714285714285714,-0.1428571428571428,102.89285714285714,-30.75,-54.035714285714334,1,-3,-8.0,2.564102564102569,0
10,0,-1,3,3,-3,-2,-1,-3,-10,-21.299999999999997,6.955949195021454,-50.2,-4.104386179857876,-36.400000000000006,-1.454658778468641,-37.3,13.920725149792592,-0.6,-15.0,1.8,6.666666666666671,-0.4,0.0,0.09999999999999998,0.0,-0.2,-0.4,0.5,0.0,-160.4,280.9,1.0,0,-5,0.0,21.428571428571416,0
11,0,0,4,3,3,-2,0,-2,-16,42.0,1.817592656163015,62.58333333333333,0.21303252690746532,19.16666666666667,-8.94104744665687,49.25,-6.3957087854287025,-0.25,-8.035714285714285,-0.75,-46.66666666666666,-0.3333333333333333,0.0,0.0,0.0,-0.1666666666666666,0.16666666666666669,0.0,0.0,-154.33333333333334,-162.0,125.83333333333337,0,-6,6.0,-4.761904761904745,0
12,0,1,-4,3,1,0,2,2,0,38.5,29.72972972972973,101.0,35.815602836879435,40.0,16.096579476861166,170.0,44.50261780104712,0.0,0.0,2.0,30.76923076923077,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,33.0,293.0,732.5,-2,5,4.0,-3.333333333333343,0
13,0,2,7,-3,-2,-1,-2,-3,18,-31.5,0.7694205918091299,-34.64285714285714,2.611138617743194,-21.285714285714292,8.984851228197236,-17.5,13.574885080146174,-2.25,-31.9377990430622,-0.7142857142857143,-38.46153846153847,0.25,0.0,0.1785714285714286,0.0,0.0,-0.2857142857142857,0.0,0.1071428571428572,6.857142857142833,7.607142857142861,-135.1428571428571,1,-3,-5.0,6.666666666666671,0
14,0,0,4,-7,-5,-4,-6,-10,14,-15.0,3.4715295880473143,-9.533333333333331,3.7169970361911027,-25.066666666666677,-0.704258175480291,-7.200000000000003,2.81730502318738,-0.4666666666666669,-37.54385964912281,-0.4666666666666667,8.064516129032256,0.0,0.06666666666666671,0.26666666666666666,-0.0666666666666666,-0.0666666666666666,-0.2,0.2,-0.1333333333333333,40.133333333333326,28.400000000000006,71.73333333333335,2,-8,-12.0,7.509881422924906,0
