Name,Ht,Wt,Reach,Stance,Career W,Career L,DOB,born_year
Luiz Azeredo,"5' 9""",154 lbs.,--,Orthodox,15,10,"Jun 10, 1976",1976
Hunter Azure,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,"Mar 02, 1992",1992
Tom Aaron,--,155 lbs.,--,,5,3,"Jul 13, 1978",1978
Luciano Azevedo,"6' 3""",161 lbs.,--,Orthodox,17,9,"Jun 25, 1981",1981
Marcos Galvao,"5' 7""",135 lbs.,--,Orthodox,18,8,"Jun 23, 1981",1981
James Gabert,--,178 lbs.,--,,6,4,--,--
Darrel Gholar,"5' 8""",194 lbs.,--,Orthodox,5,6,--,--
Jared Cannonier,"5' 11""",185 lbs.,"77.0""",Switch,17,8,"Mar 16, 1984",1984
Scott Carson,"6' 2""",215 lbs.,--,,4,2,--,--
Emily Kagan,"5' 3""",115 lbs.,--,,3,3,"Jul 14, 1981",1981
Jenna Castillo,"5' 2""",125 lbs.,--,,1,0,"May 05, 1982",1982
Koya Kanda,"5' 9""",145 lbs.,"75.0""",Southpaw,12,5,"Dec 20, 1995",1995
Tom Lawlor,"6' 0""",205 lbs.,"74.0""",Southpaw,10,6,"May 15, 1983",1983
Muhammed Lawal,"6' 0""",205 lbs.,"78.0""",Southpaw,21,6,"Jan 11, 1981",1981
Kaan Ofli,"5' 7""",145 lbs.,"66.0""",Orthodox,12,3,"Jun 19, 1993",1993
Takafumi Otsuka,"5' 6""",139 lbs.,--,Orthodox,22,13,--,--
Robbie Lawler,"5' 11""",170 lbs.,"74.0""",Southpaw,30,16,"Mar 20, 1982",1982
Raquel Pa'aluhi,"5' 7""",135 lbs.,--,,6,5,--,--
Fernando Padilla,"6' 1""",145 lbs.,"76.0""",Orthodox,16,5,"Dec 15, 1996",1996
Jeff Molina,"5' 6""",125 lbs.,"69.0""",Orthodox,11,2,"Jul 17, 1997",1997
Karo Parisyan,"5' 10""",170 lbs.,"72.0""",Orthodox,24,11,"Aug 28, 1982",1982
Jesus Pinedo,"5' 10""",155 lbs.,--,Southpaw,16,5,"Jun 22, 1996",1996
Steve Montgomery,"6' 4""",185 lbs.,--,Southpaw,9,5,"Dec 19, 1990",1990
Fiona Muxlow,"5' 4""",145 lbs.,--,,6,3,"May 13, 1977",1977
Ho Bae Myeon,"5' 11""",168 lbs.,--,Orthodox,13,5,--,--
Andre Mussi,"6' 3""",242 lbs.,--,Orthodox,11,5,--,--
Max Mustaki,"6' 0""",155 lbs.,--,Orthodox,6,3,"Nov 07, 1987",1987
Nicholas Musoke,"6' 0""",170 lbs.,"75.0""",Orthodox,13,5,"Apr 05, 1986",1986
Josias Musasa,--,135 lbs.,--,,6,0,"Oct 10, 1999",1999
Elvis Mutapcic,"6' 0""",185 lbs.,"72.0""",Orthodox,15,6,"Jul 19, 1986",1986
Jesse Murray,"6' 3""",205 lbs.,"78.0""",Orthodox,8,4,"Jan 26, 1993",1993
Khalid Murtazaliev,"6' 0""",185 lbs.,"76.0""",Orthodox,14,2,"Jul 15, 1993",1993
Azamat Murzakanov,"5' 10""",205 lbs.,"71.0""",Southpaw,14,0,"Apr 12, 1989",1989
Magomed Mustafaev,"5' 8""",155 lbs.,"71.0""",Orthodox,14,4,"Aug 02, 1988",1988
Lee Murray,"6' 3""",185 lbs.,--,Orthodox,8,2,"Sep 12, 1977",1977
Lerone Murphy,"5' 9""",145 lbs.,"73.0""",Orthodox,14,0,"Jul 22, 1991",1991
Ian Murphy,"6' 1""",185 lbs.,--,Orthodox,1,1,"Jun 14, 1985",1985
Samandar Murodov,"6' 1""",170 lbs.,"75.0""",Orthodox,11,0,"Aug 28, 1999",1999
Patrick Murphy,"6' 0""",170 lbs.,--,,5,3,--,--
