,Winner,Ht Diff,Reach Diff,Career W Diff,Career L Diff,W Diff,L Diff,Num Fights Diff,W Perc Diff,Sig Strikes Avg Diff,Sig Str % Diff,Sig Strikes Opp Avg Diff,Sig Str % Opp Diff,Strikes Avg Diff,Str % Diff,Strikes Opp Avg Diff,Str % Opp Diff,TD Avg Diff,TD % Diff,TD Opp Avg Diff,TD % Opp Diff,KD Avg Diff,KD Opp Avg Diff,DEC Avg Diff,KO Avg Diff,SUB Avg Diff,DEC Opp Avg Diff,KO Opp Avg Diff,SUB Opp Avg Diff,CTRL Avg Diff,CTRL Opp Avg Diff,Time Avg Diff,Streak Diff,Age Diff,Career Fights Diff,Career W Perc Diff,Stance Diff
55,0,2,0,3,5,5,7,12,-54,55.230769230769226,-6.823471762832298,32.30769230769231,-48.870017490564294,80.0,15.682703771554861,48.53846153846153,-9.537817585762792,0.6923076923076923,47.368421052631575,0.23076923076923084,-57.89473684210527,0.3846153846153846,-0.7692307692307693,0.1538461538461538,-0.8461538461538463,0.1538461538461538,0.4615384615384615,0.0,0.0769230769230769,90.76923076923076,112.6153846153846,499.0,-2,1,8.0,-17.532467532467535,1
1277,1,3,1,0,-2,-7,-4,-11,34,22.916666666666664,26.451876449504535,4.166666666666664,30.615346570359918,29.666666666666664,3.9787583665735298,44.166666666666664,15.456184218177587,-1.583333333333333,13.247863247863243,1.9166666666666667,39.86486486486486,0.8333333333333334,-0.5,-0.3333333333333333,0.9166666666666667,-0.25,-0.1666666666666666,-0.1666666666666666,0.0,-91.0,187.66666666666669,122.83333333333337,3,-3,-2.0,6.956521739130437,1
1289,0,2,-1,0,3,2,2,4,50,46.5,23.846153846153847,49.75,26.04712041884817,51.25,26.147959183673468,56.25,27.305825242718445,0.75,23.07692307692308,1.5,33.33333333333333,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.25,45.0,117.5,587.5,-1,9,3.0,-25.0,0
1299,1,1,1,-4,-2,2,-1,1,100,25.5,0.9820709105560042,-34.0,-24.80519480519481,30.5,9.799014146840229,-35.5,-2.795759452106207,0.0,0.0,1.0,15.384615384615383,0.5,0.0,0.0,0.5,0.5,0.0,-1.0,0.0,-44.5,118.0,-250.5,3,-3,-6.0,14.285714285714292,1
1318,0,-3,-4,6,2,3,-1,2,8,22.677018633540364,4.882546890086161,7.97722567287785,0.176687964278063,24.648033126293996,3.9662866215261836,10.902691511387161,-0.46434456703040894,-0.3126293995859212,22.679900744416877,-0.4720496894409938,-20.992647058823525,0.287784679089027,-0.29399585921325044,0.01449275362318836,0.07039337474120089,0.0,-0.1511387163561076,-0.05590062111801239,0.12215320910973079,-31.614906832298118,11.244306418219452,92.17805383022778,2,7,8.0,1.4005602240896309,0
1339,0,-2,-1,5,4,-4,2,-2,-20,16.13392857142857,1.059962585167245,48.11607142857143,5.242637223849279,3.2142857142857224,-8.664512491243126,59.35714285714286,3.820105220630186,-0.5267857142857143,-27.368421052631568,0.2678571428571428,-0.7168458781361977,0.0,0.0714285714285714,0.2232142857142857,-0.125,-0.2946428571428572,0.1071428571428571,0.008928571428571397,0.0803571428571428,-60.29464285714286,36.821428571428584,292.2053571428571,-5,9,9.0,-1.9047619047619122,0
1348,1,1,0,-21,-21,-19,-16,-35,23,17.174999999999997,2.1450918243190458,30.450000000000003,1.4457211140729846,22.275000000000006,0.48903123641505886,46.025000000000006,4.591253590528517,-0.2,-38.095238095238095,-0.2,2.7777777777777786,-0.35,0.05000000000000002,0.3,-0.225,0.15000000000000002,-0.15,0.0,-0.075,-12.900000000000006,105.49999999999999,51.049999999999955,2,-12,-42.0,27.01754385964913,0
1355,1,0,-5,-8,-2,6,0,6,0,30.285714285714285,-20.130151374060684,14.42857142857143,-39.57187962288313,3.5714285714285694,-10.730198019801986,6.857142857142861,-12.60740502505574,-1.8571428571428572,-15.0,0.8571428571428571,46.15384615384615,0.4285714285714285,0.2857142857142857,-0.4285714285714286,0.4285714285714285,0.0,0.0,0.0,0.0,-201.71428571428572,-4.0,-194.57142857142856,6,-10,-10.0,8.333333333333343,-1
1363,0,2,0,26,16,7,6,13,-7,1.6717171717171695,-0.1225577214204776,12.101010101010104,2.8993914888592016,-8.48989898989899,-1.3421669305367914,20.055555555555557,9.087987105450047,-0.8787878787878788,-12.878787878787868,0.398989898989899,-0.49019607843138147,-0.1717171717171717,0.1616161616161616,-0.13131313131313133,-0.1717171717171717,0.2272727272727272,-0.15151515151515152,0.1818181818181818,0.0454545454545454,-69.56565656565655,33.17676767676768,-62.21717171717171,3,0,42.0,-13.333333333333343,0
1368,1,4,1,6,-1,-7,-5,-12,13,-34.0625,5.335894621295282,-14.9375,7.589217170055488,-47.4375,3.131379716745567,-0.125,22.70358464835379,-1.1875,-32.20338983050847,0.375,19.565217391304344,-0.0625,0.3125,-0.3125,0.25,0.1875,-0.125,0.0,0.0,-111.6875,27.0,-453.5625,2,-3,5.0,8.0,0
1379,1,5,6,0,0,2,-1,1,15,-17.355555555555558,-8.998066895331345,-22.211111111111123,-2.5615049586275838,0.2888888888888914,3.1568472725313583,-33.26666666666667,2.80675502351432,1.2444444444444445,15.079365079365068,-0.9333333333333332,-15.18026565464896,0.0,0.3,0.18888888888888888,0.2,-0.2444444444444444,-0.34444444444444444,0.1,0.1,104.94444444444444,-107.15555555555557,-85.15555555555557,2,0,0.0,0.0,0
1383,1,1,1,-4,-4,-2,-5,-7,30,-30.590909090909093,4.781052485648203,-34.022727272727266,13.906451735399095,-45.20454545454545,-7.494271669830145,-29.181818181818187,3.5362102337983607,0.11363636363636365,5.0,-1.1136363636363635,14.285714285714285,0.0681818181818182,-0.0909090909090909,-0.1818181818181818,0.31818181818181823,0.15909090909090912,-0.11363636363636359,-0.0909090909090909,-0.0909090909090909,-81.1818181818182,-67.1818181818182,-114.25,0,-6,-8.0,10.434782608695656,0
1420,1,1,-1,-20,-2,3,0,3,7,-18.525000000000006,-5.7029208902874124,-20.225,-3.045156944576881,-13.424999999999997,1.2134986217759973,-15.25,3.853722035540219,-0.7749999999999999,-1.6666666666666714,0.22499999999999998,-18.75,0.175,-0.15000000000000002,0.25,0.025000000000000022,-0.2,0.0,-0.07500000000000001,0.0,1.9499999999999886,-45.95,-74.75,2,5,-22.0,-4.901960784313715,0
