,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
0,Alex Pereira,-535.0,Khalil Rountree Jr.,400.0,UFC,Oct 6th 2024
1,Alex Pereira,-135.0,Jiri Prochazka,114.0,UFC 303,Jun 30th 2024
2,Alex Pereira,-163.0,Jamahal Hill,130.0,UFC 300,Apr 14th 2024
3,Alex Pereira,105.0,Jiri Prochazka,-138.0,UFC,Nov 12th 2023
4,Alex Pereira,128.0,Jan Brachowicz,-164.0,UFC,Jul 30th 2023
5,Alex Pereira,170.0,Israel Adesanya,-200.0,UFC 281,Nov 12th 2022
6,Alex Pereira,150.0,Sean Strickland,-175.0,UFC 276: Adesanya vs. Cannonier,Jul 2nd 2022
7,Alex Pereira,-170.0,Bruno Silva,145.0,UFC,Mar 12th 2022
8,Alex Pereira,-150.0,Andreas Michailidis,130.0,UFC 268: Usman vs. Covington 2,Nov 6th 2021
9,Carla Esparza,-150.0,Tecia Pennington,110.0,UFC 307,Oct 5th 2024
10,Carla Esparza,185.0,Rose Namajunas,-220.0,UFC 274: Oliveira vs. Gaethje,May 7th 2022
11,Carla Esparza,155.0,Yan Xiaonan,-180.0,UFC Fight Night 188: Font vs. Garbrandt,May 22nd 2021
12,Carla Esparza,120.0,Marina Rodriguez,-140.0,UFC on ESPN 14: Whittaker vs. Till,Jul 25th 2020
13,Carla Esparza,-125.0,Michelle Waterson,105.0,UFC 249: Ferguson vs. Gaethje,May 9th 2020
14,Carla Esparza,-105.0,Alexa Grasso,-135.0,UFC on ESPN+ 17: Rodriguez vs. Stephens,Sep 21st 2019
15,Carla Esparza,-145.0,Virna Jandiroba,125.0,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019
16,Carla Esparza,250.0,Tatiana Suarez,-350.0,UFC 228: Woodley vs. Till,Sep 8th 2018
17,Carla Esparza,280.0,Claudia Gadelha,-400.0,UFC 225: Whittaker vs. Romero 2,Jun 9th 2018
18,Carla Esparza,150.0,Cynthia Calvillo,-190.0,UFC 219: Cyborg vs. Holm,Dec 30th 2017
19,Carla Esparza,-230.0,Maryna Moroz,170.0,UFC Fight Night 112: Chiesa vs. Lee,Jun 25th 2017
20,Carla Esparza,-210.0,Randa Markos,160.0,UFC Fight Night 105: Lewis vs. Browne,Feb 19th 2017
21,Carla Esparza,-305.0,Juliana Lima,225.0,UFC 197: Jones vs. Saint Preux,Apr 23rd 2016
22,Carla Esparza,-185.0,Joanna Jedrzejczyk,145.0,UFC 185: Pettis vs. dos Anjos,Mar 14th 2015
23,Carla Esparza,-130.0,Rose Namajunas,-110.0,UFC: The Ultimate Fighter 20 Finale,Dec 12th 2014
24,Cesar Almeida,-333.0,Ihor Potieria,250.0,UFC 307,Oct 5th 2024
25,Cesar Almeida,120.0,Roman Kopylov,-163.0,UFC,Jun 2nd 2024
26,Cesar Almeida,-143.0,Dylan Budka,116.0,UFC,Apr 6th 2024
27,Court McGee,190.0,Tim Means,-230.0,UFC 307,Oct 5th 2024
28,Court McGee,240.0,Alex Morono,-350.0,UFC,Apr 6th 2024
29,Court McGee,140.0,Matt Brown,-160.0,UFC Fight Night: Smith vs Walker,May 13th 2023
30,Court McGee,150.0,Jeremiah Wells,-175.0,UFC Fight Night: Kattar vs. Emmett,Jun 18th 2022
31,Court McGee,-120.0,Ramiz Brahimaj,100.0,UFC Fight Night 201,Jan 15th 2022
32,Court McGee,130.0,Claudio Silva,-150.0,UFC Fight Night 188: Font vs. Garbrandt,May 22nd 2021
33,Court McGee,120.0,Carlos Condit,-140.0,UFC on ESPN 16: Holm vs. Aldana,Oct 3rd 2020
34,Court McGee,185.0,Sean Brady,-215.0,UFC on ESPN 6: Reyes vs. Weidman,Oct 18th 2019
35,Court McGee,-185.0,Dhiego Lima,145.0,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019
36,Court McGee,135.0,Alex Garcia,-175.0,UFC Fight Night 138: Volkan vs. Smith,Oct 27th 2018
37,Court McGee,160.0,Sean Strickland,-210.0,UFC Fight Night 120: Poirier vs. Pettis,Nov 11th 2017
38,Court McGee,-130.0,Ben Saunders,-110.0,UFC Fight Night 103: Rodriguez vs. Penn,Jan 15th 2017
39,Court McGee,-245.0,Dominique Steele,175.0,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 6th 2016
40,Court McGee,-140.0,Santiago Ponzinibbio,100.0,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
41,Court McGee,-175.0,Marcio Alexandre Jr.,135.0,UFC 194: Aldo vs. McGregor,Dec 12th 2015
42,Court McGee,-160.0,Ryan Laflare,120.0,UFC on FOX 9: Johnson vs. Benavidez,Dec 14th 2013
43,Court McGee,-110.0,Robert Whittaker,-130.0,UFC Fight Night 27: Condit vs. Kampmann II,Aug 28th 2013
