Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
Orion Cosce,-230,Gilbert Urbina,+195,UFC Fight Night 226,May 20th 2023
Orion Cosce,-188,Mike Mathetha,+140,UFC 277: Pena vs. Nunes 2,Jul 30th 2022
Orion Cosce,-150,Blood Diamond,+130,UFC 277: Pena vs. Nunes 2,Jul 30th 2022
Orion Cosce,-185,Phillip Rowe,+160,UFC on ESPN: Hall vs. Strickland,Jul 31st 2021
Louis Cosce,+105,Trevin Giles,-125,UFC 279,Sep 10th 2022
Louis Cosce,+170,Trevin Giles,-200,UFC Fight Night 211,Sep 17th 2022
Louis Cosce,-175,Preston Parsons,+145,UFC Fight Night: Lemos vs. Andrade,Apr 23rd 2022
Louis Cosce,-365,Sasha Palatnikov,+275,UFC 255: Figueiredo vs. Perez,Nov 21st 2020
Tracy Cortez,+163,Rose Namajunas,-200,UFC Fight Night,Jul 14th 2024
Tracy Cortez,-127,Jasmine Jasudavicius,-104,UFC,Sep 17th 2023
Tracy Cortez,-225,Melissa Gatto,+190,UFC 274: Oliveira vs. Gaethje,May 7th 2022
Tracy Cortez,-305,Stephanie Egger,+225,UFC on ESPN+ 37: Moraes vs. Sandhagen,Oct 10th 2020
Tracy Cortez,-185,Vanessa Melo,+145,UFC on ESPN+ 22: Blachowicz vs. Jacare,Nov 16th 2019
Tracy Cortez,-235,Justine Kish,+200,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
Ryan Benoit,-140,Zarrukh Adashev,+120,UFC on ESPN: Hall vs. Strickland,Jul 31st 2021
Ryan Benoit,+165,Tim Elliott,-190,UFC on ESPN 13: Kattar vs. Ige,Jul 15th 2020
Ryan Benoit,-160,Heili Alateng,+130,UFC on ESPN+ 23: Edgar vs. The Korean Zombie,Dec 21st 2019
Ryan Benoit,-230,Ashkan Mokhtarian,+170,UFC Fight Night 121: Werdum vs. Tybura,Nov 18th 2017
Ryan Benoit,+135,Brandon Moreno,-175,UFC: The Ultimate Fighter 24 Finale,Dec 3rd 2016
Ryan Benoit,+100,Fredy Serrano,-140,UFC 201: Lawler vs. Woodley,Jul 30th 2016
Ryan Benoit,-105,Ben Nguyen,-135,UFC 193: Rousey vs. Holm,Nov 14th 2015
Ryan Benoit,+305,Sergio Pettis,-425,UFC 185: Pettis vs. dos Anjos,Mar 14th 2015
Ryan Benoit,-115,Joshua Sampo,-125,UFC: The Ultimate Fighter 18 Finale,Nov 30th 2013
William Macario,-230,Matt Dwyer,+170,UFC Fight Night 61: Bigfoot vs. Mir,Feb 22nd 2015
