,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
0,Alexander Gustafsson,340.0,Phil Davis,-465.0,UFC 112: Invincible,Apr 10th 2010
1,Anderson Silva,-560.0,Demian Maia,405.0,UFC 112: Invincible,Apr 10th 2010
2,Brad Blackburn,-170.0,Damarques Johnson,140.0,UFC 112: Invincible,Apr 10th 2010
3,Demian Maia,405.0,Anderson Silva,-560.0,UFC 112: Invincible,Apr 10th 2010
4,Frankie Edgar,525.0,B.J. Penn,-750.0,UFC 112: Invincible,Apr 10th 2010
5,Jon Madsen,-300.0,Mostapha Al-Turk,240.0,UFC 112: Invincible,Apr 10th 2010
6,Kendall Grove,115.0,Mark Munoz,-145.0,UFC 112: Invincible,Apr 10th 2010
7,Matt Hughes,-580.0,Renzo Gracie,415.0,UFC 112: Invincible,Apr 10th 2010
8,Matt Veach,-260.0,Paul Kelly,200.0,UFC 112: Invincible,Apr 10th 2010
9,Nick Osipczak,135.0,Rick Story,-165.0,UFC 112: Invincible,Apr 10th 2010
10,Paul Kelly,200.0,Matt Veach,-260.0,UFC 112: Invincible,Apr 10th 2010
11,Phil Davis,-465.0,Alexander Gustafsson,340.0,UFC 112: Invincible,Apr 10th 2010
12,Rafael Dos Anjos,145.0,Terry Etim,-185.0,UFC 112: Invincible,Apr 10th 2010
13,Rick Story,-165.0,Nick Osipczak,135.0,UFC 112: Invincible,Apr 10th 2010
14,Terry Etim,-185.0,Rafael Dos Anjos,145.0,UFC 112: Invincible,Apr 10th 2010
15,Alejandro Perez,-120.0,Ian Entwistle,-120.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
16,Ben Rothwell,110.0,Junior Dos Santos,-150.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
17,Bojan Velickovic,-170.0,Alessio Di Chirico,130.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
18,Curtis Blaydes,-140.0,Francis Ngannou,100.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
19,Cyril Asker,150.0,Jared Cannonier,-190.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
20,Damian Stasiak,-140.0,Filip Pejic,100.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
21,Damir Hadzovic,200.0,Mairbek Taisumov,-280.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
22,Derrick Lewis,-165.0,Gabriel Gonzaga,125.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
23,Filip Pejic,100.0,Damian Stasiak,-140.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
24,Francis Ngannou,100.0,Curtis Blaydes,-140.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
25,Gabriel Gonzaga,125.0,Derrick Lewis,-165.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
26,Ian Entwistle,-120.0,Alejandro Perez,-120.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
27,Igor Pokrajac,265.0,Jan Blachowicz,-385.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
28,Jared Cannonier,-190.0,Cyril Asker,150.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
29,Junior Dos Santos,-150.0,Ben Rothwell,110.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
30,Lucas Martins,-150.0,Robert Whiteford,110.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
31,Mairbek Taisumov,-280.0,Damir Hadzovic,200.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
32,Marcin Tybura,-190.0,Timothy Johnson,150.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
33,Maryna Moroz,-260.0,Cristina Stanciu,180.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
34,Nicolas Dalby,-175.0,Zak Cummings,135.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
35,Robert Whiteford,110.0,Lucas Martins,-150.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
36,Timothy Johnson,150.0,Marcin Tybura,-190.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
37,Zak Cummings,135.0,Nicolas Dalby,-175.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
