,Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
0,Alexander Gustafsson,340.0,Phil Davis,-465.0,UFC 112: Invincible,Apr 10th 2010
1,Anderson Silva,-560.0,Demian Maia,405.0,UFC 112: Invincible,Apr 10th 2010
2,Brad Blackburn,-170.0,Damarques Johnson,140.0,UFC 112: Invincible,Apr 10th 2010
4,Frankie Edgar,525.0,B.J. Penn,-750.0,UFC 112: Invincible,Apr 10th 2010
5,Jon Madsen,-300.0,Mostapha Al-Turk,240.0,UFC 112: Invincible,Apr 10th 2010
6,Kendall Grove,115.0,Mark Munoz,-145.0,UFC 112: Invincible,Apr 10th 2010
7,Matt Hughes,-580.0,Renzo Gracie,415.0,UFC 112: Invincible,Apr 10th 2010
8,Matt Veach,-260.0,Paul Kelly,200.0,UFC 112: Invincible,Apr 10th 2010
9,Nick Osipczak,135.0,Rick Story,-165.0,UFC 112: Invincible,Apr 10th 2010
12,Rafael Dos Anjos,145.0,Terry Etim,-185.0,UFC 112: Invincible,Apr 10th 2010
15,Alejandro Perez,-120.0,Ian Entwistle,-120.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
16,Ben Rothwell,110.0,Junior Dos Santos,-150.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
17,Bojan Velickovic,-170.0,Alessio Di Chirico,130.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
18,Curtis Blaydes,-140.0,Francis Ngannou,100.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
19,Cyril Asker,150.0,Jared Cannonier,-190.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
20,Damian Stasiak,-140.0,Filip Pejic,100.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
21,Damir Hadzovic,200.0,Mairbek Taisumov,-280.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
22,Derrick Lewis,-165.0,Gabriel Gonzaga,125.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
27,Igor Pokrajac,265.0,Jan Blachowicz,-385.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
30,Lucas Martins,-150.0,Robert Whiteford,110.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
32,Marcin Tybura,-190.0,Timothy Johnson,150.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
33,Maryna Moroz,-260.0,Cristina Stanciu,180.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
34,Nicolas Dalby,-175.0,Zak Cummings,135.0,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
38,Arnold Allen,100.0,Sodiq Yusuff,-120.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
39,Daniel Rodriguez,-110.0,Mike Perry,-110.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
40,Hunter Azure,130.0,Jack Shore,-150.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
41,Ignacio Bahamondes,-120.0,John Makdessi,100.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
43,Jim Miller,115.0,Joe Solecki,-135.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
45,Jordan Griffin,115.0,Luis Saldana,-135.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
46,Julian Marquez,-125.0,Sam Alvey,105.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
47,Kevin Holland,188.0,Marvin Vettori,-230.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
49,Mackenzie Dern,130.0,Nina Nunes,-150.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
54,Scott Holtzman,165.0,Mateusz Gamrot,-190.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
56,William Knight,-110.0,Da Un Jung,-130.0,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
57,Antonio Rodrigo Nogueira,150.0,Roy Nelson,-190.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
58,Beneil Dariush,-210.0,Ramsey Nijem,160.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
59,Clay Guida,115.0,Tatsuya Kawajiri,-155.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
60,Daniel Omielanczuk,160.0,Jared Rosholt,-210.0,UFC Fight Night 39: Minotauro vs. Nelson,Apr 11th 2014
