Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
Manel Kape,-142,Muhammad Mokaev,+120,UFC,Jul 28th 2024
Manel Kape,-200,Matheus Nicolau,+161,UFC,Jan 13th 2024
Manel Kape,-375,Felipe Dos Santos,+290,UFC 293,Sep 10th 2023
Manel Kape,-225,Alex Perez,+190,UFC Fight Night 222,Mar 25th 2023
Manel Kape,-160,David Dvorak,+140,UFC Fight Night 217,Dec 17th 2022
Manel Kape,-250,Rogerio Bontorin,+200,UFC 275,Jun 11th 2022
Manel Kape,-150,Su Mudaerji,+125,UFC Fight Night: Lemos vs. Andrade,Apr 23rd 2022
Manel Kape,-260,Zhalgas Zhumagulov,+220,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
Manel Kape,-200,Oder Osbourne,+170,UFC 265: Lewis vs. Gane,Aug 7th 2021
Manel Kape,+110,Alexandre Pantoja,-130,UFC Fight Night 184: Overeem vs. Volkov,Feb 6th 2021
Manel Kape,+160,Kai Asakura,-210,Rizin FF 20,Dec 31st 2019
Manel Kape,+140,Ulka Sasaki,-180,Rizin FF 14,Dec 31st 2018
Manel Kape,-190,Kai Asakura,+150,Rizin FF 10,May 6th 2018
Manel Kape,+530,Kyoji Horiguchi,-990,Rizin FF 9: World Grand Prix Final Round,Dec 31st 2017
Manel Kape,+220,Ian McCall,-300,Rizin FF 8: World Grand Prix 2nd Round,Dec 29th 2017
Manel Kape,-115,Matheus Nicolau,-115,UFC Fight Night 187: Edwards vs. Muhammad,Mar 13th 2021
Manel Kape,,Kai Kara-France,,UFC 293,Sep 10th 2023
Manel Kape,,Su Mudaerji,,UFC Fight Night 207,Mar 26th 2022
Manel Kape,,Takeya Mizugaki,,Rizin FF 18,Aug 18th 2019
Manel Kape,,Seiichiro Ito,,Rizin FF 15,Apr 21st 2019
Manel Kape,,Yusaku Nakamura,,Rizin FF 13,Sep 30th 2018
