Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
Alex Pereira,-535,Khalil Rountree Jr.,+400,UFC,Oct 6th 2024
Alex Pereira,-135,Jiri Prochazka,+114,UFC 303,Jun 30th 2024
Alex Pereira,-163,Jamahal Hill,+130,UFC 300,Apr 14th 2024
Alex Pereira,+105,Jiri Prochazka,-138,UFC,Nov 12th 2023
Alex Pereira,+128,Jan Brachowicz,-164,UFC,Jul 30th 2023
Alex Pereira,+170,Israel Adesanya,-200,UFC 281,Nov 12th 2022
Alex Pereira,+150,Sean Strickland,-175,UFC 276: Adesanya vs. Cannonier,Jul 2nd 2022
Alex Pereira,-170,Bruno Silva,+145,UFC,Mar 12th 2022
Alex Pereira,-150,Andreas Michailidis,+130,UFC 268: Usman vs. Covington 2,Nov 6th 2021
Carla Esparza,-150,Tecia Pennington,+110,UFC 307,Oct 5th 2024
Carla Esparza,+185,Rose Namajunas,-220,UFC 274: Oliveira vs. Gaethje,May 7th 2022
Carla Esparza,+155,Yan Xiaonan,-180,UFC Fight Night 188: Font vs. Garbrandt,May 22nd 2021
Carla Esparza,+120,Marina Rodriguez,-140,UFC on ESPN 14: Whittaker vs. Till,Jul 25th 2020
Carla Esparza,-125,Michelle Waterson,+105,UFC 249: Ferguson vs. Gaethje,May 9th 2020
Carla Esparza,-105,Alexa Grasso,-135,UFC on ESPN+ 17: Rodriguez vs. Stephens,Sep 21st 2019
Carla Esparza,-145,Virna Jandiroba,+125,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019
Carla Esparza,+250,Tatiana Suarez,-350,UFC 228: Woodley vs. Till,Sep 8th 2018
Carla Esparza,+280,Claudia Gadelha,-400,UFC 225: Whittaker vs. Romero 2,Jun 9th 2018
Carla Esparza,+150,Cynthia Calvillo,-190,UFC 219: Cyborg vs. Holm,Dec 30th 2017
Carla Esparza,-230,Maryna Moroz,+170,UFC Fight Night 112: Chiesa vs. Lee,Jun 25th 2017
Carla Esparza,-210,Randa Markos,+160,UFC Fight Night 105: Lewis vs. Browne,Feb 19th 2017
Carla Esparza,-305,Juliana Lima,+225,UFC 197: Jones vs. Saint Preux,Apr 23rd 2016
Carla Esparza,-185,Joanna Jedrzejczyk,+145,UFC 185: Pettis vs. dos Anjos,Mar 14th 2015
Carla Esparza,-130,Rose Namajunas,-110,UFC: The Ultimate Fighter 20 Finale,Dec 12th 2014
Cesar Almeida,-333,Ihor Potieria,+250,UFC 307,Oct 5th 2024
Cesar Almeida,+120,Roman Kopylov,-163,UFC,Jun 2nd 2024
Cesar Almeida,-143,Dylan Budka,+116,UFC,Apr 6th 2024
Court McGee,+190,Tim Means,-230,UFC 307,Oct 5th 2024
Court McGee,+240,Alex Morono,-350,UFC,Apr 6th 2024
Court McGee,+140,Matt Brown,-160,UFC Fight Night: Smith vs Walker,May 13th 2023
Court McGee,+150,Jeremiah Wells,-175,UFC Fight Night: Kattar vs. Emmett,Jun 18th 2022
Court McGee,-120,Ramiz Brahimaj,+100,UFC Fight Night 201,Jan 15th 2022
Court McGee,+130,Claudio Silva,-150,UFC Fight Night 188: Font vs. Garbrandt,May 22nd 2021
Court McGee,+120,Carlos Condit,-140,UFC on ESPN 16: Holm vs. Aldana,Oct 3rd 2020
Court McGee,+185,Sean Brady,-215,UFC on ESPN 6: Reyes vs. Weidman,Oct 18th 2019
Court McGee,-185,Dhiego Lima,+145,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019
Court McGee,+135,Alex Garcia,-175,UFC Fight Night 138: Volkan vs. Smith,Oct 27th 2018
Court McGee,+160,Sean Strickland,-210,UFC Fight Night 120: Poirier vs. Pettis,Nov 11th 2017
Court McGee,-130,Ben Saunders,-110,UFC Fight Night 103: Rodriguez vs. Penn,Jan 15th 2017
Court McGee,-245,Dominique Steele,+175,UFC Fight Night 92: Rodriguez vs. Caceres,Aug 6th 2016
Court McGee,-140,Santiago Ponzinibbio,+100,UFC on FOX 19: Evans vs. Teixeira,Apr 16th 2016
Court McGee,-175,Marcio Alexandre Jr.,+135,UFC 194: Aldo vs. McGregor,Dec 12th 2015
Court McGee,-160,Ryan Laflare,+120,UFC on FOX 9: Johnson vs. Benavidez,Dec 14th 2013
Court McGee,-110,Robert Whittaker,-130,UFC Fight Night 27: Condit vs. Kampmann II,Aug 28th 2013
Court McGee,-230,Josh Neer,+170,UFC 157: Rousey vs. Carmouche,Feb 23rd 2013
Court McGee,-135,Nick Ring,-105,UFC 149: Faber vs. Barao,Jul 21st 2012
Court McGee,+130,Constantinos Philippou,-170,UFC on FX 2: Alves vs. Kampmann,Mar 2nd 2012
Court McGee,-175,Dongi Yang,+145,UFC Fight Night 25: Battle on the Bayou,Sep 17th 2011
Court McGee,-260,Ryan Jensen,+200,UFC 121: Lesnar vs. Velasquez,Oct 23rd 2010
Iasmin Lucindo,-120,Marina Rodriguez,-110,UFC 307,Oct 5th 2024
Iasmin Lucindo,-185,Karolina Kowalkiewicz,+154,UFC,May 5th 2024
Iasmin Lucindo,-210,Josefine Knutsson,+175,UFC Fight Night: Grasso vs. Shevchenko 2,Sep 16th 2023
Iasmin Lucindo,-200,Polyana Viana,+163,UFC Fight Night 226,Aug 12th 2023
Iasmin Lucindo,-300,Brogan Walker,+250,UFC Fight Night 223,Apr 22nd 2023
Iasmin Lucindo,-275,Brogan Walker-Sanchez,+225,UFC Fight Night 223,Apr 22nd 2023
Ihor Potieria,+250,Cesar Almeida,-333,UFC 307,Oct 5th 2024
Ihor Potieria,+310,Michel Pereira,-420,UFC,May 5th 2024
Ihor Potieria,+155,Robert Bryczek,-195,UFC,Feb 11th 2024
Ihor Potieria,+300,Rodolfo Bellato,-430,UFC Fight Night,Dec 2nd 2023
Ihor Potieria,+245,Carlos Ulberg,-285,UFC Fight Night: Smith vs Walker,May 13th 2023
Ihor Potieria,-240,Mauricio Rua,+205,UFC 283,Jan 21st 2023
Joaquin Buckley,-150,Stephen Thompson,+110,UFC 307,Oct 5th 2024
Joaquin Buckley,-148,Nursulton Ruziboev,+124,UFC,May 12th 2024
Joaquin Buckley,+136,Vicente Luque,-162,UFC,Mar 31st 2024
Joaquin Buckley,-175,Alex Morono,+130,UFC,Oct 8th 2023
Joaquin Buckley,-180,Andre Fialho,+155,UFC Fight Night 226,May 20th 2023
Joaquin Buckley,-125,Chris Curtis,+105,UFC 282,Dec 10th 2022
Joaquin Buckley,+155,Nassourdine Imavov,-180,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
Joaquin Buckley,+140,Albert Duraev,-160,UFC Fight Night: Kattar vs. Emmett,Jun 18th 2022
Joaquin Buckley,-150,Abdul Razak Alhassan,+130,UFC,Feb 19th 2022
Joaquin Buckley,-165,Abdul Razak Alhassan,+135,UFC Fight Night 201,Jan 15th 2022
Joaquin Buckley,-190,Antonio Arroyo,+165,UFC Fight Night: Smith vs. Spann,Sep 18th 2021
Joaquin Buckley,-275,Alessio Di Chirico,+235,UFC on ABC 1: Holloway vs. Kattar,Jan 16th 2021
Joaquin Buckley,-175,Jordan Wright,+150,UFC 255: Figueiredo vs. Perez,Nov 21st 2020
Joaquin Buckley,+185,Impa Kasanganay,-245,UFC on ESPN+ 37: Moraes vs. Sandhagen,Oct 10th 2020
Joaquin Buckley,+235,Kevin Holland,-275,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 8th 2020
Jose Aldo,+130,Mario Bautista,-175,UFC 307,Oct 5th 2024
Jose Aldo,-107,Jonathan Martinez,-117,UFC,May 5th 2024
Jose Aldo,-170,Merab Dvalishvili,+145,UFC 278: Usman vs. Edwards 2,Aug 20th 2022
Jose Aldo,-105,Rob Font,-115,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
Jose Aldo,-138,Pedro Munhoz,+115,UFC 265: Lewis vs. Gane,Aug 7th 2021
Jose Aldo,-125,Marlon Vera,+105,UFC Fight Night 183: Thompson vs. Neal,Dec 19th 2020
Jose Aldo,+205,Petr Yan,-240,UFC 251: Usman vs. Masvidal,Jul 11th 2020
Jose Aldo,-185,Alex Volkanovski,+145,UFC 237: Namajunas vs. Andrade,May 11th 2019
Jose Aldo,-120,Renato Moicano,-120,UFC on ESPN+ 2: Assuncao vs. Moraes 2,Feb 2nd 2019
Jose Aldo,-135,Jeremy Stephens,-105,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 28th 2018
Jose Aldo,+190,Max Holloway,-270,UFC 218: Holloway vs. Aldo 2,Dec 2nd 2017
Jose Aldo,-130,Max Holloway,+100,UFC 212: Aldo vs. Holloway,Jun 3rd 2017
Jose Aldo,-130,Frankie Edgar,+100,UFC 200: Tate vs. Nunes,Jul 9th 2016
Jose Aldo,+150,Conor McGregor,-180,UFC 194: Aldo vs. McGregor,Dec 12th 2015
Jose Aldo,-190,Chad Mendes,+150,UFC 179: Aldo vs. Mendes II,Oct 25th 2014
Jose Aldo,-600,Ricardo Lamas,+400,UFC 169: Barao vs. Faber,Feb 1st 2014
Jose Aldo,+135,Marlon Moraes,-175,UFC 245: Usman vs. Covington,Dec 14th 2019
Jose Aldo,-505,Chan Sung Jung,+335,UFC 163: Aldo vs. Jung,Aug 3rd 2013
Jose Aldo,-195,Frankie Edgar,+155,UFC 156: Aldo vs. Edgar,Feb 2nd 2013
Jose Aldo,-320,Chad Mendes,+240,UFC 142: Aldo vs. Mendes,Jan 14th 2012
Jose Aldo,-250,Kenny Florian,+190,UFC 136: Edgar vs. Maynard 3,Oct 8th 2011
Jose Aldo,-450,Mark Hominick,+330,UFC 129: St-Pierre vs. Shields,Apr 30th 2011
Julianna Pena,+130,Raquel Pennington,-175,UFC,Oct 6th 2024
Julianna Pena,+210,Amanda Nunes,-250,UFC 277: Pena vs. Nunes 2,Jul 30th 2022
Julianna Pena,+500,Amanda Nunes,-800,UFC 269,Dec 11th 2021
Julianna Pena,-140,Sara McMann,+120,UFC 257: Poirier vs. McGregor 2,Jan 23rd 2021
Julianna Pena,+160,Germaine de Randamie,-185,UFC on ESPN 16: Holm vs. Aldana,Oct 3rd 2020
Julianna Pena,-155,Nicco Montano,+115,UFC on ESPN+ 13: De Randamie vs. Ladd,Jul 13th 2019
Julianna Pena,+130,Valentina Shevchenko,-170,UFC on FOX 23: Shevchenko vs. Pena,Jan 28th 2017
Julianna Pena,+120,Cat Zingano,-160,UFC 200: Tate vs. Nunes,Jul 9th 2016
Julianna Pena,-180,Jessica Eye,+140,UFC 192: Cormier vs. Gustafsson,Oct 3rd 2015
Julianna Pena,-305,Milana Dudieva,+225,UFC Fight Night 63: Mendes vs. Lamas,Apr 4th 2015
Kayla Harrison,-649,Ketlen Vieira,+400,UFC 307,Oct 5th 2024
Kayla Harrison,-310,Holly Holm,+250,UFC 300,Apr 14th 2024
Ketlen Vieira,+400,Kayla Harrison,-649,UFC 307,Oct 5th 2024
Ketlen Vieira,-250,Macy Chiasson,+190,UFC,Jan 13th 2024
Ketlen Vieira,-200,Pannie Kianzad,+150,UFC 292,Jul 22nd 2023
Ketlen Vieira,-145,Raquel Pennington,+125,UFC Fight Night 218,Jan 14th 2023
Ketlen Vieira,+180,Holly Holm,-210,UFC Fight Night 2010,May 21st 2022
Ketlen Vieira,-160,Miesha Tate,+140,UFC Fight Night: Vieira vs. Tate,Nov 20th 2021
Ketlen Vieira,-275,Yana Kunitskaya,+235,UFC Fight Night 185: Blaydes vs. Lewis,Feb 20th 2021
Ketlen Vieira,-280,Sijara Eubanks,+240,UFC 253: Adesanya vs. Costa,Sep 26th 2020
Ketlen Vieira,-245,Irene Aldana,+195,UFC 245: Usman vs. Covington,Dec 14th 2019
Ketlen Vieira,-180,Cat Zingano,+140,UFC 222: Cyborg vs. Kunitskaya,Mar 3rd 2018
Ketlen Vieira,+185,Sara McMann,-265,UFC 215: Nunes vs. Shevchenko 2,Sep 9th 2017
Ketlen Vieira,+130,Ashlee Evans-Smith,-170,UFC on FOX 24: Johnson vs. Reis,Apr 15th 2017
Ketlen Vieira,-110,Kelly Faszholz,-130,UFC Fight Night 96: Lineker vs. Dodson,Oct 1st 2016
Kevin Holland,-163,Roman Dolidze,+120,UFC 307,Oct 5th 2024
Kevin Holland,-200,Michal Oleksiejczuk,+165,UFC,Jun 2nd 2024
Kevin Holland,-138,Michael Page,+105,UFC 299,Mar 10th 2024
Kevin Holland,-162,Jack Della Maddalena,+136,UFC,Sep 17th 2023
Kevin Holland,-186,Michael Chiesa,+144,UFC,Jul 30th 2023
Kevin Holland,-200,Santiago Ponzinibbio,+170,UFC 287,Apr 8th 2023
Kevin Holland,-110,Stephen Thompson,-110,UFC Fight Night 214,Dec 3rd 2022
Kevin Holland,+675,Khamzat Chimaev,-1000,UFC 279,Sep 10th 2022
Kevin Holland,-225,Daniel Rodriguez,+180,UFC 279,Sep 10th 2022
Kevin Holland,-310,Tim Means,+260,UFC Fight Night: Kattar vs. Emmett,Jun 18th 2022
Kevin Holland,-200,Alex Oliveira,+170,UFC Fight Night 204,Mar 5th 2022
Kevin Holland,-110,Kyle Daukaus,-110,UFC Fight Night: Santos vs. Walker,Oct 2nd 2021
Kevin Holland,+188,Marvin Vettori,-230,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
Kevin Holland,-175,Ronaldo Souza,+135,UFC 256: Figueiredo vs. Moreno,Dec 12th 2020
Kevin Holland,-800,Charlie Ontiveros,+550,UFC on ESPN+ 39: Hall vs. Silva,Oct 31st 2020
Kevin Holland,-265,Darren Stewart,+225,UFC on ESPN+ 36: Covington vs. Woodley,Sep 19th 2020
Kevin Holland,-275,Joaquin Buckley,+235,UFC on ESPN+ 32: Lewis vs. Oleinik,Aug 8th 2020
Kevin Holland,-150,Anthony Hernandez,+130,UFC on ESPN 8: Overeem vs. Harris,May 16th 2020
Kevin Holland,-230,Brendan Allen,+170,UFC on ESPN 6: Reyes vs. Weidman,Oct 18th 2019
Kevin Holland,-195,Alessio Di Chirico,+155,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,Jun 22nd 2019
Kevin Holland,-265,Gerald Meerschaert,+185,UFC on ESPN 2: Barboza vs. Gaethje,Mar 30th 2019
Kevin Holland,-270,John Phillips,+190,UFC Fight Night 141: Blaydes vs. Ngannou 2,Nov 24th 2018
Kevin Holland,+215,Thiago Santos,-275,UFC 227: Dillashaw vs. Garbrandt 2,Aug 4th 2018
Kevin Holland,+100,Derek Brunson,-120,UFC on ESPN 21: Brunson vs. Holland,Mar 20th 2021
Kevin Holland,-195,Daniel Rodriguez,+155,UFC on ESPN 9: Woodley vs. Burns,May 30th 2020
Khalil Rountree Jr.,+400,Alex Pereira,-535,UFC,Oct 6th 2024
Khalil Rountree Jr.,+145,Azamat Murzakanov,-175,UFC Fight Night,Dec 2nd 2023
Khalil Rountree Jr.,-225,Chris Daukaus,+175,UFC Fight Night 226,Aug 12th 2023
Khalil Rountree Jr.,+160,Dustin Jacoby,-185,UFC Fight Night 213,Oct 29th 2022
Marina Rodriguez,-110,Iasmin Lucindo,-120,UFC 307,Oct 5th 2024
