Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
Hunter Azure,-185,Cole Smith,+160,UFC on ESPN+ 34: Overeem vs. Sakai,Sep 5th 2020
Hunter Azure,-200,Brian Kelleher,+170,UFC on ESPN+ 29: Smith vs. Teixeira,May 13th 2020
Hunter Azure,+145,Brad Katona,-185,UFC on ESPN+ 16: Cowboy vs. Gaethje,Sep 14th 2019
Hunter Azure,+130,Jack Shore,-150,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
Bartosz Fabinski,-140,Andre Muniz,+120,UFC on ESPN+ 34: Overeem vs. Sakai,Sep 5th 2020
Bartosz Fabinski,+280,Michel Prazeres,-400,UFC Fight Night 140: Magny vs. Ponzinibbio,Nov 17th 2018
Bartosz Fabinski,+205,Emil Meek,-285,UFC Fight Night 134: Shogun vs. Smith,Jul 22nd 2018
Bartosz Fabinski,-230,Hector Urbina,+170,UFC Fight Night 78: Magny vs. Gastelum,Nov 21st 2015
Bartosz Fabinski,-155,Garreth McLellan,+115,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
Bartosz Fabinski,-150,Gerald Meerschaert,+130,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
Brandon Davis,-110,Mana Martinez,-110,UFC Fight Night 212,Oct 15th 2022
Brandon Davis,+250,Danaa Batgerel,-300,UFC Fight Night: Ladd vs. Dumont,Oct 16th 2021
Brandon Davis,-180,Giga Chikadze,+140,UFC on ESPN+ 18: Hermansson vs. Cannonier,Sep 28th 2019
Brandon Davis,+145,Kyung Ho Kang,-185,UFC 241: Cormier vs. Miocic 2,Aug 17th 2019
Brandon Davis,-105,Randy Costa,-135,UFC 236: Holloway vs. Poirier 2,Apr 13th 2019
Brandon Davis,+600,Zabit Magomedsharipov,-1050,UFC 228: Woodley vs. Till,Sep 8th 2018
Brandon Davis,+125,Enrique Barzola,-165,UFC Fight Night 129: Maia vs. Usman,May 19th 2018
Brandon Davis,-185,Kyle Bochniak,+145,UFC 220: Miocic vs. Ngannou,Jan 20th 2018
Brandon Jenkins,+220,Drakkar Klose,-260,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
Brandon Jenkins,+170,Zhu Rong,-200,UFC Fight Night: Smith vs. Spann,Sep 18th 2021
Charlie Campbell,-192,Trevor Peek,+160,UFC,Apr 6th 2024
Charlie Campbell,-350,Alex Reyes,+240,UFC Fight Night: Grasso vs. Shevchenko 2,Sep 16th 2023
Sarah Kaufman,-230,Valentina Shevchenko,+170,UFC on FOX 17: Dos Anjos vs. Cerrone,Dec 19th 2015
Sarah Kaufman,-245,Alexis Davis,+175,UFC 186: Johnson vs. Horiguchi,Apr 25th 2015
Sarah Kaufman,-270,Leslie Smith,+190,UFC: The Ultimate Fighter Nations Finale,Apr 16th 2014
Sarah Kaufman,-215,Jessica Eye,+165,UFC 166: Velasquez vs. Dos Santos III,Oct 19th 2013
Trey Ogden,+120,Loik Radzhabov,-163,UFC Fight Night,Jul 20th 2024
Trey Ogden,-105,Kurt Holobaugh,-115,UFC,Mar 24th 2024
Trey Ogden,+110,Nikolas Motta,-150,UFC,Nov 18th 2023
Trey Ogden,+240,Ignacio Bahamondes,-280,UFC 287,Apr 8th 2023
Trey Ogden,+160,Manuel Torres,-195,UFC Fight Night 222,Mar 25th 2023
Trey Ogden,-155,Daniel Zellhuber,+135,UFC 279,Sep 10th 2022
Trey Ogden,+200,Daniel Zellhuber,-240,UFC Fight Night 211,Sep 17th 2022
Gadzhi Omargadzhiev,+155,Abubakar Nurmagomedov,-180,UFC 281,Oct 22nd 2022
Gadzhi Omargadzhiev,-150,Caio Borralho,+130,UFC Fight Night: UFC Fight Night 206,Apr 16th 2022
Saimon Oliveira,+136,Daniel Marcos,-156,UFC 283,Jan 21st 2023
Saimon Oliveira,+145,Tony Gravely,-170,UFC 270,Jan 22nd 2022
Cristian Quinonez,-188,Kang Kyung-Ho,+140,UFC Fight Night 227,Jun 17th 2023
Tito Ortiz,+225,Forrest Griffin,-285,UFC 148: Silva vs. Sonnen 2,Jul 7th 2012
Tito Ortiz,+135,Antonio Rogerio Nogueira,-165,UFC 140: Jones vs. Machida,Dec 10th 2011
Tito Ortiz,+330,Rashad Evans,-450,UFC 133: Evans vs. Ortiz 2,Aug 6th 2011
Tito Ortiz,+270,Ryan Bader,-360,UFC 132: Cruz vs. Faber,Jul 2nd 2011
Tito Ortiz,+120,Matt Hamill,-150,UFC 121: Lesnar vs. Velasquez,Oct 23rd 2010
Tito Ortiz,+150,Forrest Griffin,-180,UFC 106: Ortiz vs Griffin 2,Nov 21st 2009
Tito Ortiz,+110,Lyoto Machida,-150,UFC 84: Ill Will,May 24th 2008
Jose Quinonez,-105,Louis Smolka,-135,UFC on ESPN 19: Hermansson vs. Vettori,Dec 5th 2020
Jose Quinonez,+115,Louis Smolka,-135,UFC Fight Night 182: Felder vs. dos Anjos,Nov 14th 2020
Jose Quinonez,-245,Carlos Huachin,+175,UFC on ESPN+ 17: Rodriguez vs. Stephens,Sep 21st 2019
Jose Quinonez,+185,Nathaniel Wood,-265,UFC on ESPN+ 5: Till vs. Masvidal,Mar 16th 2019
Jose Quinonez,-175,Diego Rivas,+135,UFC Fight Night 114: Pettis vs. Moreno,Aug 5th 2017
Jose Quinonez,+130,Joey Gomez,-170,UFC Fight Night 94: Johnson vs. Poirier,Sep 17th 2016
Jose Quinonez,+175,Leonardo Morales,-245,UFC Fight Night 68: Henderson vs. Boetsch,Jun 6th 2015
Jose Quinonez,-250,Alejandro Perez,+210,UFC 180: Werdum vs. Hunt,Nov 15th 2014
Jose Quinonez,+275,Sean O'Malley,-350,UFC 248: Adesanya vs. Romero,Mar 7th 2020
Jose Quinonez,-175,Teruto Ishihara,+145,UFC 221: Romero vs. Rockhold,Feb 10th 2018
Dong Hyun Ma,+120,Omar Morales,-150,UFC on ESPN+ 23: Edgar vs. The Korean Zombie,Dec 21st 2019
Dong Hyun Ma,+205,Scott Holtzman,-285,UFC on ESPN 5: Covington vs. Lawler,Aug 3rd 2019
Dong Hyun Ma,+170,Devonte Smith,-230,UFC 234: Adesanya vs. Silva,Feb 9th 2019
Dong Hyun Ma,-270,Takanori Gomi,+190,UFC Fight Night 117: Saint Preux vs. Okami,Sep 22nd 2017
Dong Hyun Ma,-110,Brendan O'Reilly,-130,UFC: The Ultimate Fighter 24 Finale,Dec 3rd 2016
Dong Hyun Ma,-155,Polo Reyes,+115,UFC 199: Rockhold vs. Bisping II,Jun 4th 2016
Dong Hyun Ma,+145,Dominique Steele,-185,UFC Fight Night 79: Henderson vs. Masvidal,Nov 28th 2015
Caio Machado,+154,Don'tale Mayes,-185,UFC,Apr 27th 2024
Caio Machado,+275,Mick Parkin,-345,UFC,Nov 18th 2023
Levan Makashvili,-280,Damon Jackson,+200,UFC on FOX 18: Johnson vs. Bader,Jan 30th 2016
Levan Makashvili,+160,Hacran Dias,-210,UFC Fight Night 70: Machida vs. Romero,Jun 27th 2015
John Makdessi,+140,Jamie Mullarkey,-188,UFC 293,Sep 10th 2023
John Makdessi,+170,Nasrat Haqparast,-200,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
John Makdessi,-215,Jesus Pinedo,+165,UFC on ESPN+ 6: Thompson vs. Pettis,Mar 23rd 2019
John Makdessi,-210,Ross Pearson,+160,UFC on FOX 30: Alvarez vs. Poirier 2,Jul 28th 2018
John Makdessi,+135,Abel Trujillo,-175,UFC on FOX 26: Lawler vs. Dos Anjos,Dec 16th 2017
John Makdessi,-110,Lando Vannata,-130,UFC 206: Holloway vs. Pettis,Dec 10th 2016
John Makdessi,-185,Mehdi Baghdad,+145,UFC Fight Night 90: Dos Anjos vs. Alvarez,Jul 7th 2016
John Makdessi,-175,Yancy Medeiros,+135,UFC 194: Aldo vs. McGregor,Dec 12th 2015
John Makdessi,+225,Donald Cerrone,-305,UFC 187: Johnson vs. Cormier,May 23rd 2015
John Makdessi,-185,Shane Campbell,+145,UFC 186: Johnson vs. Horiguchi,Apr 25th 2015
John Makdessi,-190,Alan Patrick,+150,UFC 169: Barao vs. Faber,Feb 1st 2014
