Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
Ailin Perez,-250,Darya Zheleznyakova,+205,UFC,Sep 28th 2024
Ailin Perez,-250,Joselyne Edwards,+175,UFC,Jun 1st 2024
Ailin Perez,-125,Lucie Pudilova,-105,UFC,Nov 18th 2023
Ailin Perez,-275,Ashlee Evans-Smith,+200,UFC Fight Night 225,Jul 15th 2023
Ailin Perez,+130,Hailey Cowan,-160,UFC Fight Night 220,Feb 25th 2023
Ailin Perez,-250,Zarah Fairn Dos Santos,+200,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
Ailin Perez,+125,Stephanie Egger,-145,UFC Fight Night: Gane vs. Tuivasa,Sep 3rd 2022
Bolaji Oki,-205,Chris Duncan,+170,UFC,Sep 28th 2024
Bolaji Oki,-198,Timothy Cuamba,+164,UFC,Feb 10th 2024
Brendan Allen,+140,Nassourdine Imavov,-188,UFC,Sep 28th 2024
Brendan Allen,-278,Chris Curtis,+225,UFC,Apr 6th 2024
Brendan Allen,-275,Paul Craig,+200,UFC,Nov 18th 2023
Brendan Allen,-200,Bruno Silva,+150,UFC Fight Night 228,Jun 24th 2023
Brendan Allen,-110,Andre Muniz,-110,UFC Fight Night 220,Feb 25th 2023
Brendan Allen,-125,Krzysztof Jotko,+105,UFC Vegas 57,Oct 1st 2022
Brendan Allen,-190,Jacob Malkoun,+165,UFC 275: Teixeira vs. Prochazka,Jun 12th 2022
Brendan Allen,-350,Sam Alvey,+285,UFC Vegas 47,Feb 6th 2022
Brendan Allen,-300,Chris Curtis,+250,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
Brendan Allen,-350,Roman Dolidze,+260,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
Brendan Allen,+185,Puna Soriano,-220,UFC on ESPN: Sandhagen vs. Dillashaw,Jul 24th 2021
Brendan Allen,+105,Sean Strickland,-125,UFC Fight Night 182: Felder vs. dos Anjos,Nov 14th 2020
Brendan Allen,-110,Ian Heinisch,-110,UFC on ESPN+ 40: Santos vs. Teixeira,Nov 7th 2020
Brendan Allen,-250,Kyle Daukaus,+210,UFC on ESPN 12: Poirier vs. Hooker,Jun 27th 2020
Brendan Allen,-140,Tom Breese,+110,UFC on ESPN+ 27: Benavidez vs. Figueiredo,Feb 29th 2020
Brendan Allen,+170,Kevin Holland,-230,UFC on ESPN 6: Reyes vs. Weidman,Oct 18th 2019
Brendan Allen,-205,Karl Roberson,+175,UFC 261: Usman vs. Masvidal 2,Apr 24th 2021
Bryan Battle,-150,Kevin Jousset,+110,UFC,Sep 28th 2024
Bryan Battle,-170,Ange Loosa,+142,UFC,Mar 17th 2024
Bryan Battle,-200,Aj Fletcher,+150,UFC on ESPN 53,Sep 23rd 2023
Bryan Battle,-125,Gabe Green,+105,UFC Fight Night: Smith vs Walker,May 13th 2023
Bryan Battle,+130,Rinat Fakhretdinov,-150,UFC Fight Night 217,Dec 17th 2022
Bryan Battle,-200,Takashi Sato,+170,UFC on ESPN: Santos vs. Hill,Aug 6th 2022
Bryan Battle,+115,Tresean Gore,-135,UFC Vegas 47,Feb 6th 2022
Bryan Battle,-129,Gilbert Urbina,-101,UFC on ESPN: Barboza vs. Chikadze,Aug 28th 2021
Chris Duncan,+170,Bolaji Oki,-205,UFC,Sep 28th 2024
Chris Duncan,+160,Manuel Torres,-192,UFC,Feb 25th 2024
Chris Duncan,+100,Yanal Ashmouz,-133,UFC 292,Jul 22nd 2023
Chris Duncan,+105,Omar Morales,-125,UFC 286,Mar 18th 2023
Chris Duncan,,Yanal Ashmouz,,UFC Fight Night 227,Jun 17th 2023
Da Woon Jung,+275,Oumar Sy,-400,UFC,Sep 28th 2024
Daniel Barez,-138,Victor Altamirano,+105,UFC,Sep 28th 2024
Daniel Barez,+100,Jafel Filho,-128,UFC 292,Jul 22nd 2023
Fares Ziam,+105,Matt Frevola,-138,UFC,Sep 28th 2024
Fares Ziam,-130,Claudio Puelles,+110,UFC,Feb 25th 2024
Fares Ziam,-105,Jai Herbert,-125,UFC 292,Jul 22nd 2023
