First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt
James,Wade,,"5' 10""",205 lbs.,--,,4,11,0,
Chris,Wade,,"5' 10""",155 lbs.,"70.0""",Orthodox,12,3,0,
Neil,Wain,Old School,"5' 10""",242 lbs.,--,Orthodox,13,4,0,
TJ,Waldburger,,"5' 11""",170 lbs.,"75.0""",Orthodox,16,9,0,
Chase,Waldon,,"6' 1""",185 lbs.,"75.0""",Orthodox,11,2,0,
Andre,Walker,,"5' 11""",205 lbs.,--,Southpaw,1,5,0,
Herschel,Walker,,"6' 1""",215 lbs.,--,Orthodox,2,0,0,
Donny,Walker,Eagle Eye,"5' 9""",135 lbs.,--,,15,10,0,
Johnny,Walker,,"6' 6""",205 lbs.,"82.0""",Orthodox,21,9,0,
Brogan,Walker,The Bear,"5' 4""",125 lbs.,"67.0""",Switch,8,4,0,
Valter,Walker,The Clean Monster,"6' 6""",265 lbs.,"78.0""",Orthodox,11,1,0,
Ben,Wall,Manimal,"5' 10""",155 lbs.,--,Orthodox,8,7,1,
Crafton,Wallace,Blaze,"6' 0""",185 lbs.,--,Orthodox,18,6,1,
Rodney,Wallace,Shonuff the Master,"5' 9""",205 lbs.,"72.0""",Switch,26,15,1,
Jeremy,Wallace,,"5' 9""",--,--,,4,6,0,
Randall,Wallace,Braveheart,"5' 11""",185 lbs.,"73.0""",Orthodox,15,6,0,
James,Wallace,Jesse,"5' 10""",155 lbs.,"69.0""",Orthodox,5,2,0,
Jim,Wallhead,Judo,"5' 10""",170 lbs.,--,Orthodox,29,11,0,
Cory,Walmsley,Hardcore,"6' 0""",205 lbs.,--,Orthodox,8,2,0,
Richard,Walsh,Filthy Rich,"6' 0""",170 lbs.,"73.0""",Orthodox,9,5,0,
Patrick,Walsh,The Beast of the East,"5' 11""",185 lbs.,--,,10,3,0,
Erick,Wanderlei,,"6' 1""",205 lbs.,--,Orthodox,3,3,0,
Dimitiri,Wanderley,,--,205 lbs.,--,Orthodox,5,2,0,
Andy,Wang,,"5' 6""",155 lbs.,--,Orthodox,7,8,1,
Sai,Wang,The Fire Kylin,"6' 0""",170 lbs.,--,Southpaw,20,6,1,
Anying,Wang,,"6' 0""",170 lbs.,--,Orthodox,2,1,0,
Wang,Cong,The Joker,"5' 6""",125 lbs.,"66.0""",Southpaw,5,0,0,
Joshua,Wang-Kim,Twin Dragon,"5' 9""",135 lbs.,"71.0""",Switch,5,2,0,
Curt,Warburton,,"6' 0""",155 lbs.,"73.0""",Orthodox,13,6,0,
Brennan,Ward,The Irish Bad Boy,"5' 10""",170 lbs.,"71.0""",,14,5,0,
Charlie,Ward,,"5' 11""",170 lbs.,--,Orthodox,3,3,0,
Terrion,Ware,Flash,"5' 8""",135 lbs.,"71.0""",Orthodox,17,9,0,
Joe,Warren,,"5' 6""",135 lbs.,--,Orthodox,15,6,0,
Brian,Warren,Mr. Unbreakable,"6' 0""",185 lbs.,--,Orthodox,18,17,1,
Merritt,Warren,,"5' 10""",155 lbs.,--,Southpaw,3,3,0,
Idris,Wasi,,"6' 0""",186 lbs.,--,,2,14,0,
Kengo,Watanabe,,"6' 4""",220 lbs.,--,Orthodox,8,13,3,
Kazuhisa,Watanabe,,"5' 6""",139 lbs.,--,,0,1,0,
Ron,Waterman,H20,"6' 2""",280 lbs.,--,Orthodox,16,6,2,
Andy,Waters,,"6' 0""",170 lbs.,--,,1,2,0,
Dominic,Waters,Sho Nuff,"6' 1""",170 lbs.,"79.0""",Orthodox,9,5,0,
Trey,Waters,The Truth,"6' 5""",170 lbs.,"77.0""",Orthodox,9,1,0,
Michelle,Waterson-Gomez,The Karate Hottie,"5' 3""",115 lbs.,"62.0""",Orthodox,18,13,0,
Sam,Watford,,--,155 lbs.,--,,2,2,0,
Blake,Watkins,,--,185 lbs.,--,,5,1,0,
Kyle,Watson,,"6' 0""",155 lbs.,--,Southpaw,13,8,1,
Maka,Watson,,--,155 lbs.,--,,4,2,0,
Walel,Watson,The Gazelle,"5' 11""",135 lbs.,"75.0""",Orthodox,14,10,0,
Tom,Watson,Kong,"6' 1""",185 lbs.,"73.0""",Orthodox,17,9,0,
Enrique,Watson,,--,185 lbs.,--,,3,1,0,
Brok,Weaver,Chata Tuska,"6' 0""",155 lbs.,"73.0""",Southpaw,15,6,0,
Jonavin,Webb,The Spyder,"5' 10""",170 lbs.,--,Orthodox,9,2,0,
Stephanie,Webber,,"5' 6""",135 lbs.,--,,2,2,0,
Royston,Wee,,"5' 7""",135 lbs.,"67.0""",Orthodox,4,1,0,
Darian,Weeks,,"5' 11""",170 lbs.,"72.0""",Orthodox,5,3,0,
Joshua,Weems,Wide Open,"5' 8""",135 lbs.,"69.0""",Orthodox,11,3,0,
Daniel,Weichel,The Weasel,"5' 10""",145 lbs.,"70.0""",,39,9,0,
Chris,Weidman,The All-American,"6' 2""",185 lbs.,"78.0""",Orthodox,16,7,0,
Mark,Weir,The Wizard,"6' 2""",185 lbs.,--,Southpaw,21,18,1,
Christian,Wellisch,The Hungarian Nightmare,"6' 2""",234 lbs.,"77.0""",Orthodox,8,5,0,
Malcolm,Wellmaker,,--,135 lbs.,--,,7,0,0,
Jeremiah,Wells,,"5' 9""",170 lbs.,"74.0""",Switch,12,4,1,
Fabricio,Werdum,Vai Cavalo,"6' 4""",231 lbs.,"77.0""",Orthodox,24,9,1,
Mike,Wessel,Juggernaut,"6' 0""",260 lbs.,--,Orthodox,15,8,0,
Dustin,West,,"5' 11""",170 lbs.,--,,6,6,0,
Sheldon,Westcott,,"6' 1""",170 lbs.,"71.0""",Southpaw,10,3,1,
Aaron,Wetherspoon,Slam,--,170 lbs.,--,,9,5,0,
Coty,Wheeler,Ox,"5' 6""",135 lbs.,"67.0""",Orthodox,14,5,0,
Vernon,White,Tiger,"6' 0""",205 lbs.,--,Southpaw,26,33,2,
Steve,White,,"5' 11""",175 lbs.,--,,1,4,0,
Alex,White,The Spartan,"6' 0""",155 lbs.,"71.0""",Southpaw,13,6,0,
Craig,White,The Thundercat,"6' 2""",170 lbs.,"76.0""",Orthodox,14,9,0,
Patrik,White,Primetime,"6' 0""",155 lbs.,"72.0""",Orthodox,9,2,0,
Robert,Whiteford,The Hammer,"5' 9""",145 lbs.,"69.0""",Southpaw,14,4,0,
Mike,Whitehead,,"6' 1""",205 lbs.,--,Orthodox,27,8,0,
Garett,Whiteley,Goodnight,"6' 0""",155 lbs.,"72.0""",Orthodox,7,3,0,
Mitch,Whitesel,,"5' 9""",185 lbs.,--,,17,27,0,
Emily,Whitmire,Spitfire,"5' 5""",125 lbs.,"63.0""",Orthodox,4,5,0,
Robert,Whittaker,The Reaper,"6' 0""",185 lbs.,"73.0""",Orthodox,27,7,0,
Josh,Wick,The White Mamba,"5' 9""",155 lbs.,"69.0""",Switch,12,6,0,
Adam,Wieczorek,Siwy,"6' 5""",250 lbs.,"81.0""",Orthodox,10,2,0,
Orlando,Wiet,The Gladiator,"5' 10""",170 lbs.,--,Southpaw,1,5,0,
Jonathan,Wiezorek,,"6' 3""",250 lbs.,--,Southpaw,11,2,0,
Justin,Wilcox,Silverback,"5' 6""",155 lbs.,--,Orthodox,14,7,0,
Joe,Wilk,The Nose,"5' 9""",145 lbs.,--,,19,11,0,
Aaron,Wilkinson,The Daywalker,"5' 10""",155 lbs.,--,Orthodox,11,7,0,
Mike,Wilkinson,The Warrior,"5' 7""",145 lbs.,"66.0""",Orthodox,9,4,0,
Rob,Wilkinson,Razor,"6' 3""",185 lbs.,"80.0""",Orthodox,11,2,0,
James,Wilks,Lightning,"6' 1""",170 lbs.,"75.0""",Orthodox,7,4,0,
Tedd,Williams,,"6' 1""",275 lbs.,--,Orthodox,7,1,0,
Pete,Williams,El Duro,"6' 3""",235 lbs.,--,Orthodox,12,6,0,
Rubin,Williams,Mr. Hollywood,"6' 1""",185 lbs.,--,Orthodox,0,1,0,
Carter,Williams,The Beast,"6' 1""",265 lbs.,--,Orthodox,4,5,0,
Patrick,Williams,The Animal,"5' 8""",135 lbs.,"73.0""",Orthodox,8,6,0,
Tim,Williams,The South Jersey Strangler,"6' 2""",185 lbs.,"76.0""",Orthodox,15,5,0,
Jordan,Williams,Bomaye,"6' 1""",185 lbs.,"75.0""",Southpaw,9,6,0,
Cole,Williams,Havoc,"6' 0""",170 lbs.,"73.0""",Orthodox,11,3,0,
Khaos,Williams,The OxFighter,"6' 0""",170 lbs.,"77.0""",Orthodox,15,3,0,
Karl,Williams,,"6' 3""",235 lbs.,"79.0""",Orthodox,10,1,0,
Karl,Willis,,--,--,--,,0,5,0,
Justin,Willis,Big Pretty,"6' 1""",264 lbs.,"78.0""",Southpaw,8,2,0,
Chris,Wilson,The Professor,"6' 1""",170 lbs.,"75.0""",Orthodox,18,10,0,
Greg,Wilson,,--,155 lbs.,--,,2,3,0,
Jonathan,Wilson,Johnny Bravo,"6' 2""",205 lbs.,"75.0""",Southpaw,7,3,0,
Sean,Wilson,P-Town,"5' 8""",145 lbs.,--,,36,29,0,
Westin,Wilson,,"6' 1""",145 lbs.,"73.0""",Southpaw,17,9,0,
Matt,Wiman,,"5' 10""",155 lbs.,"68.0""",Orthodox,16,10,0,
Eddie,Wineland,,"5' 7""",135 lbs.,"69.0""",Orthodox,24,16,1,
Deron,Winn,,"5' 6""",185 lbs.,"70.0""",Orthodox,7,3,0,
Andre,Winner,,"5' 11""",155 lbs.,"73.0""",Orthodox,21,11,2,
Eric,Wisely,Little Lee,"5' 8""",145 lbs.,--,Southpaw,26,9,1,
Keith,Wisniewski,The Polish Connection,"6' 0""",170 lbs.,--,Orthodox,28,15,1,
Jason,Witt,The Vanilla Gorilla,"5' 10""",170 lbs.,"70.0""",Orthodox,19,9,0,
Travis,Wiuff,The Diesel,"6' 3""",205 lbs.,--,Orthodox,75,21,0,
Ray,Wizard,,--,--,--,,0,1,0,
Karolina,Wojcik,Polish Assassin,"5' 2""",115 lbs.,--,Orthodox,9,2,0,
Danyelle,Wolf,,"5' 11""",145 lbs.,"70.0""",Orthodox,1,1,0,
Brandon,Wolff,,"5' 9""",170 lbs.,--,Orthodox,7,5,0,
Xue Do,Won,,"5' 7""",165 lbs.,--,,0,1,0,
Joanne,Wood,JoJo,"5' 6""",125 lbs.,"65.0""",Orthodox,17,8,0,
Nathaniel,Wood,The Prospect,"5' 6""",145 lbs.,"69.0""",Orthodox,20,6,0,
Val,Woodburn,The Animal,"5' 8""",170 lbs.,"74.0""",Orthodox,7,2,0,
Tyron,Woodley,The Chosen One,"5' 9""",170 lbs.,"74.0""",Orthodox,19,7,1,
Salvador,Woods,,"5' 11""",170 lbs.,--,,8,17,0,
Sean,Woodson,The Sniper,"6' 2""",145 lbs.,"78.0""",Orthodox,12,1,1,
Cal,Worsham,,"5' 11""",230 lbs.,--,Orthodox,13,10,0,
Hunter,Worsham,The Future,--,185 lbs.,--,,7,3,0,
Khama,Worthy,The Death Star,"5' 11""",155 lbs.,"74.0""",Orthodox,16,9,0,
Eric,Wray,,"6' 0""",170 lbs.,--,Orthodox,5,1,0,
Justin,Wren,The Viking,"6' 2""",265 lbs.,--,Orthodox,13,2,0,
JW,Wright,,--,130 lbs.,--,,1,0,0,
Chris,Wright,,--,--,--,,8,5,1,
Jordan,Wright,The Beverly Hills Ninja,"6' 2""",205 lbs.,"77.0""",Orthodox,12,5,0,
Marcin,Wrzosek,The Polish Zombie,"5' 9""",155 lbs.,--,,12,4,0,
Wu,Bob,Schrijber,Dirty,"6' 0""",240 lbs.,--,Orthodox,20,17,1,
Nate,Schroeder,,"6' 1""",230 lbs.,--,,11,10,0,
Lacey,Schuckman,,"5' 3""",125 lbs.,--,,11,10,0,
Mark,Schultz,,"5' 9""",200 lbs.,--,Orthodox,1,1,0,
Wesley,Schultz,Party Time,--,185 lbs.,--,,6,1,0,
Brian,Schwartz,,"6' 3""",170 lbs.,--,Orthodox,1,1,0,
Eric,Schwartz,,--,205 lbs.,--,,2,0,0,
Justin,Scoggins,,"5' 7""",125 lbs.,"66.0""",Southpaw,11,5,0,
Brad,Scott,Bear,"6' 1""",170 lbs.,"76.0""",Orthodox,11,6,0,
Greg,Scott,,"5' 9""",145 lbs.,--,,3,4,0,
Louis Lee,Scott,Lightning,--,135 lbs.,--,,8,0,0,
Mike,Seal,Crazy Boy,"6' 4""",185 lbs.,--,Orthodox,13,15,1,
Matt,Secor,,"6' 0""",170 lbs.,--,,8,4,0,
Kenneth,Seegrist,,"6' 0""",185 lbs.,--,Orthodox,4,7,0,
Neil,Seery,2Tap,"5' 4""",125 lbs.,"64.0""",Orthodox,16,13,0,
Rony,Sefo,,"5' 9""",225 lbs.,--,Orthodox,0,2,0,
Ray,Sefo,Sugarfoot,"6' 0""",240 lbs.,--,Orthodox,2,2,0,
Brendan,Seguin,,"6' 0""",185 lbs.,--,,23,19,1,
Tetsuya,Seki,,"5' 10""",155 lbs.,--,,14,8,1,
