First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,9,0,0,,4.73,54%,2.16,61%,N/A,0.68,33%,78%,2.0
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,4,0,,4.55,57%,3.70,54%,N/A,3.43,39%,63%,0.0
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,,4.43,46%,2.22,59%,N/A,4.89,50%,83%,0.0
Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,,1.84,44%,8.97,43%,N/A,0.00,0%,50%,0.0
Marko,Damiani,,"6' 0""",170 lbs.,--,,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Uriah,Hall,Prime Time,"6' 0""",185 lbs.,"79.0""",Orthodox,18,11,0,,3.23,48%,3.85,54%,N/A,0.54,38%,64%,0.1
Rami,Hamed,,--,170 lbs.,--,,12,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Bahatebole,Batebolati,Lion King,"5' 8""",170 lbs.,"71.0""",Southpaw,10,1,1,,4.02,45%,4.83,61%,N/A,1.34,66%,100%,0.0
Fabiano,Iha,,"5' 8""",155 lbs.,--,Orthodox,9,5,0,,1.73,47%,2.49,42%,N/A,2.88,40%,50%,2.9
Sergey,Ignatov,,"5' 9""",210 lbs.,--,Orthodox,0,1,0,,0.35,50%,3.25,42%,N/A,0.00,0%,0%,0.0
James,Gabert,,--,178 lbs.,--,,6,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Jeremy,Jackson,Scorpion,"5' 10""",170 lbs.,--,Orthodox,9,5,0,,0.71,27%,2.03,25%,N/A,1.52,40%,58%,0.0
Quinton,Jackson,Rampage,"6' 1""",205 lbs.,"73.0""",Orthodox,37,12,0,,3.25,54%,2.51,55%,N/A,1.52,56%,73%,0.1
Tokitaka,Nakanishi,Toky,"5' 6""",135 lbs.,"66.0""",Orthodox,12,3,0,,0.87,30%,1.53,46%,N/A,4.00,66%,0%,0.0
Muhammad,Naimov,Hillman,"5' 9""",145 lbs.,"70.0""",Orthodox,11,3,0,,3.18,43%,4.28,42%,N/A,1.80,30%,57%,0.0
Michel,Quinones,El Capo,"5' 10""",155 lbs.,"73.0""",Orthodox,8,3,0,,2.91,29%,5.98,48%,N/A,0.00,0%,36%,0.0
Rodrigo,Nascimento,Ze Colmeia,"6' 2""",246 lbs.,"80.0""",Orthodox,11,2,0,,4.05,49%,4.62,43%,N/A,1.23,37%,76%,0.6
Cristian,Quinonez,Problema,"5' 8""",135 lbs.,"70.0""",Orthodox,18,5,0,,4.19,40%,4.55,55%,N/A,1.37,37%,84%,0.0
Jose,Quinonez,Teco,"5' 8""",135 lbs.,"69.0""",Southpaw,9,5,0,,3.60,45%,3.00,64%,N/A,2.70,47%,42%,0.6
Achmed,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4,0,,0.75,39%,1.10,46%,N/A,3.00,100%,0%,0.8
Sean,O'Haire,,"6' 5""",270 lbs.,--,Orthodox,4,2,0,,8.28,57%,22.76,21%,N/A,0.00,0%,0%,0.0
Sean,O'Malley,Suga,"5' 11""",135 lbs.,"72.0""",Switch,18,1,0,,7.63,61%,3.52,62%,N/A,0.35,42%,62%,0.3
Ben,Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Noad,Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2,0,,2.79,46%,1.47,63%,N/A,2.37,26%,16%,2.4
Volkan,Oezdemir,No Time,"6' 2""",205 lbs.,"75.0""",Orthodox,20,7,0,,4.79,48%,3.96,55%,N/A,0.56,33%,80%,0.1
