Event,W/L,Fighter 1,Fighter 2,Kd,Str,Td,Sub,Weight class,Method,Round,Time
UFC Fight Night: Lemos vs. Jandiroba,,,,,,,,,,,
UFC Fight Night: Lemos vs. Jandiroba,,Amanda Lemos,Virna Jandiroba,,,,,Women's Strawweight,,,
UFC Fight Night: Lemos vs. Jandiroba,,Brad Tavares,JunYong Park,,,,,Middleweight,,,
UFC Fight Night: Lemos vs. Jandiroba,,Steve Garcia,SeungWoo Choi,,,,,Featherweight,,,
UFC Fight Night: Lemos vs. Jandiroba,,Kurt Holobaugh,Kaynan Kruschewsky,,,,,Lightweight,,,
UFC Fight Night: Lemos vs. Jandiroba,,Cody Durden,Bruno Silva,,,,,Flyweight,,,
UFC Fight Night: Lemos vs. Jandiroba,,Dooho Choi,Bill Algeo,,,,,Featherweight,,,
UFC Fight Night: Lemos vs. Jandiroba,,JeongYeong Lee,Hyder Amil,,,,,Featherweight,,,
UFC Fight Night: Lemos vs. Jandiroba,,Brian Kelleher,Cody Gibson,,,,,Bantamweight,,,
UFC Fight Night: Lemos vs. Jandiroba,,Miranda Maverick,Dione Barbosa,,,,,Women's Flyweight,,,
UFC Fight Night: Lemos vs. Jandiroba,,Loik Radzhabov,Trey Ogden,,,,,Lightweight,,,
UFC Fight Night: Lemos vs. Jandiroba,,Luana Carolina,Lucie Pudilova,,,,,Women's Flyweight,,,
UFC Fight Night: Lemos vs. Jandiroba,,Mohammed Usman,Thomas Petersen,,,,,Heavyweight,,,
UFC Fight Night: Nicolau vs. Perez,,,,,,,,,,,
UFC Fight Night: Nicolau vs. Perez,,Alex Perez,Matheus Nicolau,1,28,0,0,Flyweight,KO/TKO,2,2:16
UFC 302: Makhachev vs. Poirier,,,,,,,,,,,
UFC 302: Makhachev vs. Poirier,,Islam Makhachev,Dustin Poirier,0,88,5,2,Lightweight,SUB,5,2:42
UFC 302: Makhachev vs. Poirier,,Sean Strickland,Paulo Costa,0,182,0,0,Middleweight,S-DEC,5,5:00
UFC Fight Night: Nicolau vs. Perez,,Bogdan Guskov,Ryan Spann,1,31,0,0,Light Heavyweight,KO/TKO,2,3:16
UFC Fight Night: Nicolau vs. Perez,,Karine Silva,Ariane da Silva,0,27,5,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,,Jhonata Diniz,Austen Lane,1,20,0,0,Heavyweight,KO/TKO,2,2:12
UFC Fight Night: Nicolau vs. Perez,,David Onama,Jonathan Pearce,0,58,0,1,Featherweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,,Uros Medic,Tim Means,1,7,0,0,Welterweight,KO/TKO,1,2:09
UFC Fight Night: Nicolau vs. Perez,,Victor Henry,Rani Yahya,2,109,0,0,Bantamweight,KO/TKO,3,2:36
UFC Fight Night: Nicolau vs. Perez,,Austin Hubbard,Michal Figlak,0,88,3,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,,Don'Tale Mayes,Caio Machado,1,67,0,0,Heavyweight,U-DEC,3,5:00
UFC 302: Makhachev vs. Poirier,,Kevin Holland,Michal Oleksiejczuk,0,8,0,1,Middleweight,SUB,1,1:34
UFC 302: Makhachev vs. Poirier,,Niko Price,Alex Morono,0,108,5,0,Welterweight,U-DEC,3,5:00
