Event,Date,Location,W/L,Fighter 1,Fighter 2,Kd,Str,Td,Sub,Weight class,Method,Round,Time
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Amanda Lemos,Virna Jandiroba,,,,,Women's Strawweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Brad Tavares,JunYong Park,,,,,Middleweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Steve Garcia,SeungWoo Choi,,,,,Featherweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Kurt Holobaugh,Kaynan Kruschewsky,,,,,Lightweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Cody Durden,Bruno Silva,,,,,Flyweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Dooho Choi,Bill Algeo,,,,,Featherweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,JeongYeong Lee,Hyder Amil,,,,,Featherweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Brian Kelleher,Cody Gibson,,,,,Bantamweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Miranda Maverick,Dione Barbosa,,,,,Women's Flyweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Loik Radzhabov,Trey Ogden,,,,,Lightweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Luana Carolina,Lucie Pudilova,,,,,Women's Flyweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Mohammed Usman,Thomas Petersen,,,,,Heavyweight,,,
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Alexandre Pantoja,Steve Erceg,0,125,9,0,Flyweight,U-DEC,5,5:00
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Jose Aldo,Jonathan Martinez,0,77,1,0,Bantamweight,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Anthony Smith,Vitor Petrino,0,11,0,1,Light Heavyweight,SUB,1,2:00
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Michel Pereira,Ihor Potieria,0,6,0,1,Middleweight,SUB,1,0:54
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Caio Borralho,Paul Craig,1,36,0,0,Middleweight,KO/TKO,2,2:10
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Joanderson Brito,Jack Shore,0,30,1,0,Featherweight,KO/TKO,2,3:35
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Alex Pereira,Jamahal Hill,1,24,0,0,Light Heavyweight,KO/TKO,1,3:14
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Zhang Weili,Yan Xiaonan,0,106,6,2,Women's Strawweight,U-DEC,5,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Max Holloway,Justin Gaethje,1,181,0,0,Lightweight,KO/TKO,5,4:59
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Arman Tsarukyan,Charles Oliveira,0,49,2,0,Lightweight,S-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Bo Nickal,Cody Brundage,0,8,3,2,Middleweight,SUB,2,3:38
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Jiri Prochazka,Aleksandar Rakic,0,69,1,0,Light Heavyweight,KO/TKO,2,3:17
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Iasmin Lucindo,Karolina Kowalkiewicz,0,83,2,0,Women's Strawweight,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Myktybek Orolbai,Elves Brener,1,65,5,0,Lightweight,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Drakkar Klose,Joaquim Silva,0,70,0,0,Lightweight,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Mauricio Ruffy,Jamie Mullarkey,1,25,0,0,Lightweight,KO/TKO,1,4:42
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Dione Barbosa,Ernesta Kareckaite,0,39,2,1,Women's Flyweight,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Ismael Bonfim,Vinc Pichel,0,111,1,0,Lightweight,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 04, 2024","Rio de Janeiro, Rio de Janeiro, Brazil",,Alessandro Costa,Kevin Borjas,1,46,0,0,Flyweight,KO/TKO,2,1:35
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Aljamain Sterling,Calvin Kattar,0,39,8,0,Featherweight,U-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Kayla Harrison,Holly Holm,0,51,2,1,Women's Bantamweight,SUB,2,1:47
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Diego Lopes,Sodiq Yusuff,2,26,0,0,Featherweight,KO/TKO,1,1:29
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Renato Moicano,Jalin Turner,0,36,2,0,Lightweight,KO/TKO,2,4:11
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Jessica Andrade,Marina Rodriguez,0,89,1,0,Women's Strawweight,S-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Bobby Green,Jim Miller,1,186,1,0,Lightweight,U-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Deiveson Figueiredo,Cody Garbrandt,0,13,1,2,Bantamweight,SUB,2,4:02
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Rose Namajunas,Amanda Ribas,0,93,1,0,Women's Flyweight,U-DEC,5,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Karl Williams,Justin Tafa,0,40,7,1,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Edmen Shahbazyan,AJ Dobson,1,27,1,0,Middleweight,KO/TKO,1,4:33
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Payton Talbott,Cameron Saaiman,1,79,0,0,Bantamweight,KO/TKO,2,0:21
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Youssef Zalal,Billy Quarantillo,0,33,2,2,Featherweight,SUB,2,1:50
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Fernando Padilla,Luis Pajuelo,1,34,0,1,Featherweight,SUB,1,2:45
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Lerone Murphy,Edson Barboza,0,220,4,0,Featherweight,U-DEC,5,5:00
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Khaos Williams,Carlston Harris,1,12,0,0,Welterweight,KO/TKO,1,1:30
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Themba Gorimbo,Ramiz Brahimaj,0,43,5,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Adrian Yanez,Vinicius Salvador,1,36,0,0,Bantamweight,KO/TKO,1,2:47
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Angela Hill,Luana Pinheiro,0,28,2,1,Women's Strawweight,SUB,2,4:12
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Tom Nolan,Victor Martinez,0,33,0,0,Lightweight,KO/TKO,1,3:50
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Trey Ogden,Kurt Holobaugh,0,35,3,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Julian Erosa,Ricardo Ramos,0,4,0,1,Featherweight,SUB,1,2:15
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Miles Johns,Cody Gibson,0,25,2,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Jarno Errens,Steven Nguyen,1,105,0,0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Daria Zhelezniakova,Montserrat Rendon,0,57,0,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Andre Lima,Igor Severino,0,30,1,2,Flyweight,DQ,2,2:52
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024","Las Vegas, Nevada, USA",,Mick Parkin,Mohammed Usman,0,72,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Oumar Sy,Tuco Tokkos,0,0,2,1,Light Heavyweight,SUB,1,3:43
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Melissa Gatto,Tamires Vidal,0,30,2,1,Women's Bantamweight,KO/TKO,3,0:37
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Abus Magomedov,Warlley Alves,0,22,6,0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Ariane Carnelossi,Piera Rodriguez,0,16,0,0,Women's Strawweight,DQ,2,3:16
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Alatengheili,Kleydson Rodrigues,0,18,3,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024","Las Vegas, Nevada, USA",,Vanessa Demopoulos,Emily Ducote,0,109,0,0,Women's Strawweight,S-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Alex Perez,Matheus Nicolau,1,28,0,0,Flyweight,KO/TKO,2,2:16
