Event,Date,Location,W/L,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Amanda Lemos,Virna Jandiroba,,,,,,,,,Women's Strawweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Brad Tavares,JunYong Park,,,,,,,,,Middleweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Steve Garcia,SeungWoo Choi,,,,,,,,,Featherweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Kurt Holobaugh,Kaynan Kruschewsky,,,,,,,,,Lightweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Cody Durden,Bruno Silva,,,,,,,,,Flyweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Dooho Choi,Bill Algeo,,,,,,,,,Featherweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,JeongYeong Lee,Hyder Amil,,,,,,,,,Featherweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Brian Kelleher,Cody Gibson,,,,,,,,,Bantamweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Miranda Maverick,Dione Barbosa,,,,,,,,,Women's Flyweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Loik Radzhabov,Trey Ogden,,,,,,,,,Lightweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Luana Carolina,Lucie Pudilova,,,,,,,,,Women's Flyweight,,,
UFC Fight Night: Lemos vs. Jandiroba,"July 20, 2024","Las Vegas, Nevada, USA",,Mohammed Usman,Thomas Petersen,,,,,,,,,Heavyweight,,,
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Alex Perez,Matheus Nicolau,1,0,28,22,0,0,0,0,Flyweight,KO/TKO,2,2:16
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Bogdan Guskov,Ryan Spann,1,0,31,15,0,1,0,1,Light Heavyweight,KO/TKO,2,3:16
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Karine Silva,Ariane da Silva,0,0,27,42,5,0,0,0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Jhonata Diniz,Austen Lane,1,0,20,17,0,1,0,0,Heavyweight,KO/TKO,2,2:12
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,David Onama,Jonathan Pearce,0,0,58,57,0,5,1,1,Featherweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Uros Medic,Tim Means,1,0,7,7,0,0,0,0,Welterweight,KO/TKO,1,2:09
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Victor Henry,Rani Yahya,2,0,109,54,0,0,0,0,Bantamweight,KO/TKO,3,2:36
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Austin Hubbard,Michal Figlak,0,0,88,92,3,0,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Don'Tale Mayes,Caio Machado,1,0,67,76,0,0,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Ketlen Souza,Marnic Mann,0,0,80,31,1,2,0,1,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Chris Padilla,James Llontop,0,0,12,19,3,0,1,0,Lightweight,SUB,1,4:33
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Ivana Petrovic,Liang Na,0,0,36,24,3,1,1,0,Women's Flyweight,SUB,3,1:29
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024","Las Vegas, Nevada, USA",,Maheshate,Gabriel Benitez,0,0,97,121,0,0,0,0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Manon Fiorot,Erin Blanchfield,0,0,172,130,1,0,0,1,Women's Flyweight,U-DEC,5,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Joaquin Buckley,Vicente Luque,0,0,55,21,0,0,0,0,Welterweight,KO/TKO,2,3:17
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Chris Weidman,Bruno Silva,1,0,75,30,1,0,0,0,Middleweight,U-DEC,3,2:18
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Nursulton Ruziboev,Sedriques Dumas,1,0,12,1,0,0,0,0,Middleweight,KO/TKO,1,3:18
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Kyle Nelson,Bill Algeo,0,0,32,30,0,0,0,0,Featherweight,KO/TKO,1,4:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Chidi Njokuani,Rhys McKee,0,0,64,30,0,0,0,0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Nate Landwehr,Jamall Emmers,1,0,37,39,0,0,0,0,Featherweight,KO/TKO,1,4:43
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Virna Jandiroba,Loopy Godinez,0,0,30,38,2,0,3,0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Julio Arce,Herbert Burns,2,0,29,15,0,0,0,0,Featherweight,KO/TKO,2,2:00
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Dennis Buzukja,Connor Matthews,1,0,83,60,0,1,0,0,Featherweight,KO/TKO,3,0:22
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Ibo Aslan,Anton Turkalj,1,0,74,55,0,0,0,0,Light Heavyweight,KO/TKO,3,1:32
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Jacob Malkoun,Andre Petroski,0,0,20,13,0,1,0,0,Middleweight,KO/TKO,2,0:39
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024","Atlantic City, New Jersey, USA",,Caolan Loughran,Angel Pacheco,0,0,140,88,3,0,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Brendan Allen,Chris Curtis,0,0,112,124,6,0,0,0,Middleweight,S-DEC,5,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Damon Jackson,Alexander Hernandez,0,1,42,32,3,0,0,0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Chepe Mariscal,Morgan Charriere,0,0,71,49,1,2,0,1,Featherweight,S-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Ignacio Bahamondes,Christos Giagos,1,0,40,17,0,0,0,0,Lightweight,KO/TKO,1,3:34
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Charlie Campbell,Trevor Peek,0,0,54,47,4,2,0,0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Alex Morono,Court McGee,0,0,38,60,0,1,1,0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Lukasz Brzeski,Valter Walker,0,0,58,33,0,4,0,0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Norma Dumont,Germaine de Randamie,0,0,11,16,6,0,0,0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Victor Hugo,Pedro Falcao,1,0,68,42,0,1,0,0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Jean Matsumoto,Dan Argueta,0,0,19,14,2,9,1,0,Bantamweight,SUB,2,4:59
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Cesar Almeida,Dylan Budka,0,0,29,1,0,3,0,0,Middleweight,KO/TKO,2,2:13
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024","Las Vegas, Nevada, USA",,Nora Cornolle,Melissa Mullins,1,0,36,11,0,1,0,0,Women's Bantamweight,KO/TKO,2,3:06
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Alex Pereira,Jamahal Hill,1,0,24,12,0,0,0,0,Light Heavyweight,KO/TKO,1,3:14
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Zhang Weili,Yan Xiaonan,0,1,106,43,6,3,2,0,Women's Strawweight,U-DEC,5,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Max Holloway,Justin Gaethje,1,0,181,103,0,0,0,0,Lightweight,KO/TKO,5,4:59
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Arman Tsarukyan,Charles Oliveira,0,0,49,19,2,0,0,4,Lightweight,S-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Bo Nickal,Cody Brundage,0,0,8,4,3,0,2,0,Middleweight,SUB,2,3:38
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Jiri Prochazka,Aleksandar Rakic,0,0,69,58,1,0,0,0,Light Heavyweight,KO/TKO,2,3:17
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Aljamain Sterling,Calvin Kattar,0,0,39,8,8,0,0,0,Featherweight,U-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Kayla Harrison,Holly Holm,0,0,51,2,2,0,1,0,Women's Bantamweight,SUB,2,1:47
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Diego Lopes,Sodiq Yusuff,2,0,26,2,0,0,0,0,Featherweight,KO/TKO,1,1:29
UFC 300: Pereira vs. Hill,"April 13, 2024","Las Vegas, Nevada, USA",,Renato Moicano,Jalin Turner,0,1,36,16,2,0,0,0,Lightweight,KO/TKO,2,4:11
