Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Renato Moicano,Benoit Saint Denis,,,,,,,,,Lightweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Nassourdine Imavov,Brendan Allen,,,,,,,,,Middleweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,William Gomis,Joanderson Brito,,,,,,,,,Featherweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Kevin Jousset,Bryan Battle,,,,,,,,,Welterweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Morgan Charriere,Gabriel Miranda,,,,,,,,,Featherweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Fares Ziam,Matt Frevola,,,,,,,,,Lightweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Ion Cutelaba,Ivan Erslan,,,,,,,,,Light Heavyweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Oumar Sy,Da Woon Jung,,,,,,,,,Light Heavyweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Ludovit Klein,Roosevelt Roberts,,,,,,,,,Lightweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Daria Zhelezniakova,Ailin Perez,,,,,,,,,Women's Bantamweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Daniel Barez,Victor Altamirano,,,,,,,,,Flyweight,,,
UFC Fight Night: Moicano vs. Saint Denis,"September 28, 2024","Paris, Ile-de-France, France",,,Bolaji Oki,Chris Duncan,,,,,,,,,Lightweight,,,
