Event,Date,Location,W/L 1,W/L 2,Fighter 1,Fighter 2,Kd 1,Kd 2,Str 1,Str 2,Td 1,Td 2,Sub 1,Sub 2,Weight class,Method,Round,Time
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",,,Sean O'Malley,Merab Dvalishvili,,,,,,,,,Bantamweight,,,
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",,,Alexa Grasso,Valentina Shevchenko,,,,,,,,,Women's Flyweight,,,
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",,,Brian Ortega,Diego Lopes,,,,,,,,,Featherweight,,,
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",,,Daniel Zellhuber,Esteban Ribovics,,,,,,,,,Lightweight,,,
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",,,Ronaldo Rodriguez,Ode Osbourne,,,,,,,,,Flyweight,,,
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",,,Irene Aldana,Norma Dumont,,,,,,,,,Women's Bantamweight,,,
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",,,Manuel Torres,Ignacio Bahamondes,,,,,,,,,Lightweight,,,
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",,,Yazmin Jauregui,Ketlen Souza,,,,,,,,,Women's Strawweight,,,
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",,,Edgar Chairez,Joshua Van,,,,,,,,,Flyweight,,,
UFC 306: Riyadh Season Noche UFC,"September 14, 2024","Las Vegas, Nevada, USA",,,Raul Rosas Jr.,Aoriqileng,,,,,,,,,Bantamweight,,,
