SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:
2.28,32%,6.25,44%,N/A,1.01,25%,33%,0.0
4.30,59%,3.46,45%,N/A,6.62,49%,63%,3.0
5.02,49%,4.79,57%,N/A,0.63,20%,33%,0.6
3.26,44%,3.63,53%,N/A,0.50,16%,30%,0.0
0.55,30%,1.74,57%,N/A,0.00,0%,0%,2.1
3.68,34%,5.64,50%,N/A,1.23,80%,83%,0.3
3.60,37%,3.73,37%,N/A,0.00,0%,33%,0.0
4.19,40%,4.55,55%,N/A,1.37,37%,84%,0.0
1.28,42%,1.56,48%,N/A,2.36,63%,37%,2.8
2.64,32%,2.57,64%,N/A,0.56,16%,43%,0.3
2.43,50%,4.05,37%,N/A,12.16,100%,100%,0.0
4.20,39%,6.13,51%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.13,30%,4.56,46%,N/A,0.00,0%,33%,0.0
3.60,45%,3.00,64%,N/A,2.70,47%,42%,0.6
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.50,43%,4.60,49%,N/A,0.77,100%,0%,0.0
0.57,45%,0.96,66%,N/A,5.73,60%,0%,1.0
3.62,49%,3.97,55%,N/A,0.88,38%,51%,0.2
3.96,47%,2.80,59%,N/A,2.18,78%,62%,0.0
1.43,42%,1.07,54%,N/A,3.00,42%,0%,1.0
2.92,37%,2.22,57%,N/A,2.32,46%,72%,0.4
2.84,41%,4.10,54%,N/A,1.27,53%,33%,0.0
1.71,56%,3.42,46%,N/A,0.00,0%,18%,0.0
2.60,42%,3.65,51%,N/A,0.91,21%,47%,0.9
1.16,60%,1.35,26%,N/A,1.45,50%,50%,0.0
6.03,57%,8.20,52%,N/A,0.00,0%,66%,0.0
0.26,4%,3.86,42%,N/A,0.00,0%,0%,0.0
4.65,44%,4.89,60%,N/A,0.00,0%,66%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.16,26%,3.43,42%,N/A,0.00,0%,100%,0.0
3.83,55%,3.18,51%,N/A,4.30,43%,80%,3.1
1.41,25%,2.80,51%,N/A,2.82,30%,0%,0.0
2.62,42%,2.36,62%,N/A,3.08,42%,71%,0.2
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
1.27,39%,1.27,67%,N/A,1.00,100%,0%,0.0
4.38,48%,3.68,60%,N/A,1.89,45%,72%,0.6
3.16,16%,3.16,83%,N/A,0.00,0%,0%,0.0
0.68,50%,0.68,0%,N/A,5.07,66%,0%,0.0
1.44,27%,5.45,34%,N/A,0.00,0%,0%,0.0
3.41,40%,4.27,38%,N/A,0.00,0%,81%,0.0
2.59,58%,2.68,41%,N/A,3.31,50%,23%,0.4
0.00,0%,10.59,35%,N/A,0.00,0%,0%,0.0
8.20,50%,13.00,45%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.57,57%,3.12,57%,N/A,0.75,16%,83%,0.0
3.56,35%,3.80,57%,N/A,1.16,19%,82%,0.2
4.80,69%,0.40,78%,N/A,7.50,100%,33%,0.0
2.38,28%,7.72,43%,N/A,0.00,0%,0%,0.0
5.01,54%,2.60,60%,N/A,1.59,52%,46%,0.6
3.40,66%,0.80,42%,N/A,0.00,0%,50%,1.0
0.36,15%,3.28,32%,N/A,0.90,100%,42%,1.8
3.93,66%,8.85,43%,N/A,0.00,0%,0%,0.0
4.05,39%,5.25,55%,N/A,1.03,25%,69%,0.1
2.50,71%,0.17,84%,N/A,7.51,85%,0%,2.5
1.21,21%,7.17,40%,N/A,0.00,0%,0%,0.0
0.00,0%,1.93,30%,N/A,4.13,100%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.15,56%,2.40,53%,N/A,3.38,56%,100%,0.8
3.41,80%,0.80,0%,N/A,3.01,100%,0%,3.0
0.84,36%,1.89,50%,N/A,4.74,50%,100%,3.2
2.60,36%,2.20,61%,N/A,1.00,100%,55%,0.0
4.21,43%,2.57,61%,N/A,3.03,66%,77%,0.2
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
3.70,42%,4.73,55%,N/A,3.00,40%,100%,0.0
2.60,76%,2.87,32%,N/A,1.00,20%,42%,0.0
2.44,36%,2.66,55%,N/A,2.40,25%,45%,1.8
3.12,51%,2.26,57%,N/A,3.17,29%,57%,0.6
2.73,52%,3.64,47%,N/A,0.65,20%,75%,0.0
1.97,50%,1.99,54%,N/A,4.23,50%,35%,1.2
5.32,43%,6.23,56%,N/A,0.51,18%,82%,0.5
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
2.40,31%,3.47,42%,N/A,0.00,0%,25%,0.0
4.39,46%,4.53,53%,N/A,2.31,34%,78%,0.1
0.54,16%,0.00,100%,N/A,0.00,0%,0%,8.0
1.48,28%,2.09,51%,N/A,1.36,20%,33%,0.0
4.08,41%,3.77,58%,N/A,0.70,50%,71%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
4.55,43%,3.64,57%,N/A,1.98,35%,93%,0.2
4.86,32%,15.48,28%,N/A,0.00,0%,0%,0.0
4.51,51%,4.00,65%,N/A,1.00,21%,50%,0.0
2.30,33%,1.93,62%,N/A,1.67,42%,50%,1.7
0.43,18%,4.07,13%,N/A,0.00,0%,33%,0.0
3.09,57%,2.10,51%,N/A,5.15,30%,100%,0.6
3.08,33%,4.78,51%,N/A,0.00,0%,82%,0.0
0.80,41%,1.13,54%,N/A,0.00,0%,50%,1.0
0.67,16%,0.00,0%,N/A,0.00,0%,0%,0.0
3.75,50%,1.21,68%,N/A,1.59,60%,59%,1.1
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.00,0%,19.31,40%,N/A,0.00,0%,0%,0.0
3.01,43%,2.97,61%,N/A,3.63,31%,68%,0.0
1.70,33%,0.49,80%,N/A,0.00,0%,50%,0.0
0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
0.50,62%,6.95,27%,N/A,0.00,0%,0%,0.0
3.71,44%,2.78,47%,N/A,0.00,0%,0%,0.0
4.42,33%,4.89,51%,N/A,0.70,24%,42%,0.6
4.96,41%,4.34,57%,N/A,0.36,26%,48%,0.4
