First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Tom,Aaron,,--,155 lbs.,--,,5,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,,1.71,36%,3.11,63%,N/A,0.00,0%,33%,0.0
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,,3.00,20%,5.67,46%,N/A,0.00,0%,66%,0.0
Mansur,Abdul-Malik,,--,185 lbs.,--,,5,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,,1.35,30%,3.55,38%,N/A,1.07,33%,66%,0.0
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,,7.09,55%,4.06,34%,N/A,0.91,66%,57%,0.0
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,,3.29,38%,4.41,57%,N/A,0.00,0%,77%,0.0
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,,2.41,44%,3.02,55%,N/A,1.01,23%,45%,0.1
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,,3.17,41%,5.93,44%,N/A,0.00,0%,0%,0.0
Cyborg,Abreu,,--,--,--,,0,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,,3.90,52%,6.28,44%,N/A,0.00,0%,0%,0.0
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,,3.79,31%,3.98,68%,N/A,2.13,42%,100%,0.7
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,,2.05,40%,2.90,55%,N/A,0.64,20%,80%,0.0
Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0,,3.92,53%,2.08,58%,N/A,1.97,34%,67%,1.3
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,,3.52,36%,2.85,62%,N/A,0.33,20%,81%,0.0
Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0,,2.16,39%,2.76,57%,N/A,1.07,50%,45%,0.3
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0,,3.87,52%,3.13,59%,N/A,3.00,75%,0%,0.0
Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,2,0,,5.73,51%,4.96,48%,N/A,0.00,0%,100%,0.0
Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1,,0.76,45%,1.97,27%,N/A,2.28,11%,0%,0.0
Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,4,1,,4.38,43%,4.32,51%,N/A,1.00,37%,42%,0.0
Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0,,0.83,25%,5.00,33%,N/A,0.00,0%,0%,0.0
Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0,,2.13,26%,1.87,60%,N/A,0.50,16%,100%,0.5
Levi,Avera,,"6' 1""",170 lbs.,--,,18,15,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0
Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,3,0,,2.59,43%,2.86,50%,N/A,0.54,33%,50%,0.3
Chris,Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0,,2.37,30%,4.17,48%,N/A,0.00,0%,46%,0.0
Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0,,3.53,37%,3.59,58%,N/A,0.00,0%,50%,0.3
Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0,,2.34,47%,3.36,43%,N/A,2.37,80%,50%,1.8
