First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,DOB
Tom,Aaron,,--,155 lbs.,--,,5,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jul 13, 1978"
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0,,3.87,52%,3.13,59%,N/A,3.00,75%,0%,0.0,"Jan 22, 1993"
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,,3.00,20%,5.67,46%,N/A,0.00,0%,66%,0.0,"Feb 01, 1994"
Mansur,Abdul-Malik,,--,185 lbs.,--,,5,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Oct 07, 1997"
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,,3.29,38%,4.41,57%,N/A,0.00,0%,77%,0.0,"Jul 03, 1983"
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,,1.71,36%,3.11,63%,N/A,0.00,0%,33%,0.0,--
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,,1.35,30%,3.55,38%,N/A,1.07,33%,66%,0.0,--
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,,3.17,41%,5.93,44%,N/A,0.00,0%,0%,0.0,"Jan 13, 1988"
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,,2.41,44%,3.02,55%,N/A,1.01,23%,45%,0.1,"Sep 02, 1981"
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,,7.09,55%,4.06,34%,N/A,0.91,66%,57%,0.0,"Jan 16, 1992"
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,,3.90,52%,6.28,44%,N/A,0.00,0%,0%,0.0,"Jun 22, 1991"
Cyborg,Abreu,,--,--,--,,0,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Dec 20, 1980"
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,,2.05,40%,2.90,55%,N/A,0.64,20%,80%,0.0,"Dec 24, 1992"
