First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,DOB
Kenny,Ento,Tha' Dragon,"6' 2""",192 lbs.,--,,14,15,0,,8.41,79%,0.00,100%,N/A,5.49,100%,0%,11.0,--
Tom,Aaron,,--,155 lbs.,--,,5,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jul 13, 1978"
Efrain,Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"71.0""",Orthodox,28,12,0,,2.92,44%,2.30,63%,N/A,1.31,40%,66%,0.8,"Jan 15, 1986"
Taylor,Callens,,"5' 10""",155 lbs.,--,,6,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"May 21, 1991"
Yan,Cabral,,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,,2.02,47%,1.98,62%,N/A,2.89,35%,37%,1.2,"May 13, 1983"
Richard,Dalton,,"6' 1""",205 lbs.,--,Orthodox,4,3,1,,1.20,69%,3.27,25%,N/A,1.00,11%,0%,0.0,--
Niklas,Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11,3,0,,1.12,41%,3.65,40%,N/A,2.92,80%,72%,2.2,"Aug 22, 1989"
Ignacio,Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,16,5,0,,7.17,47%,4.41,57%,N/A,0.00,0%,85%,0.3,"Aug 27, 1997"
John,Halverson,The Hurricane,"5' 9""",155 lbs.,--,Southpaw,16,8,0,,2.94,43%,5.29,47%,N/A,0.00,0%,66%,2.0,"Sep 08, 1972"
Seo Hee,Ham,,"5' 2""",115 lbs.,"62.0""",Southpaw,17,8,0,,4.20,39%,5.15,61%,N/A,0.00,0%,66%,0.2,"Mar 08, 1987"
Frank,Hamaker,,--,--,--,,1,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Veronica,Hardy,,"5' 4""",125 lbs.,"64.0""",Southpaw,9,4,1,,3.13,45%,3.75,47%,N/A,1.08,41%,60%,0.3,"Oct 30, 1995"
Dan,Hardy,The Outlaw,"6' 0""",170 lbs.,"74.0""",Orthodox,25,10,0,,2.46,35%,3.44,51%,N/A,0.73,35%,35%,0.4,"May 17, 1982"
George,Hardwick,King,"5' 10""",155 lbs.,"72.0""",Orthodox,12,2,0,,3.60,38%,4.60,71%,N/A,0.00,0%,83%,0.0,"Dec 06, 1996"
Chris,Haseman,The Hammer,"5' 11""",205 lbs.,--,Orthodox,20,17,0,,0.93,70%,4.67,28%,N/A,0.00,0%,40%,2.0,"Jun 02, 1969"
Hidehiko,Hasegawa,,"5' 9""",170 lbs.,--,,19,20,6,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jul 13, 1978"
Patrick,Kaase,Kamikaze,"5' 9""",185 lbs.,--,,1,2,0,,4.40,67%,0.53,50%,N/A,0.00,0%,50%,0.0,--
Emily,Kagan,,"5' 3""",115 lbs.,--,,3,3,0,,2.60,36%,5.29,38%,N/A,1.86,14%,50%,0.0,"Jul 14, 1981"
Logan,Nail,,--,185 lbs.,--,,1,1,0,,1.93,51%,2.27,39%,N/A,0.00,0%,37%,0.0,"Jun 20, 1989"
Koya,Kanda,Bushido,"5' 9""",145 lbs.,"75.0""",Southpaw,12,5,0,,3.63,41%,2.90,53%,N/A,2.00,18%,100%,0.0,"Dec 20, 1995"
Raquel,Pa'aluhi,Rocky,"5' 7""",135 lbs.,--,,6,5,0,,1.71,56%,3.42,46%,N/A,0.00,0%,18%,0.0,--
Achmed,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4,0,,0.75,39%,1.10,46%,N/A,3.00,100%,0%,0.8,"Apr 24, 1978"
Martin,Kampmann,The Hitman,"6' 0""",170 lbs.,"72.0""",Orthodox,20,7,0,,3.22,42%,3.28,62%,N/A,1.86,41%,78%,2.0,"Apr 17, 1982"
Tina,Lahdemaki,Jelly Bean,"5' 2""",115 lbs.,--,Orthodox,5,1,0,,1.93,20%,4.67,57%,N/A,0.00,0%,16%,0.0,"May 28, 1988"
Ben,Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Sep 04, 1986"
Noad,Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2,0,,2.79,46%,1.47,63%,N/A,2.37,26%,16%,2.4,"Jun 08, 1984"
Corinne,Laframboise,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,5,0,,3.16,68%,1.89,47%,N/A,3.16,100%,33%,0.0,"May 25, 1989"
Valesca,Machado,Tina Black,"5' 4""",115 lbs.,"63.0""",Orthodox,8,3,0,,2.40,32%,2.87,64%,N/A,0.00,0%,76%,0.0,"May 06, 1996"
Caio,Machado,Bigfoot,"6' 4""",250 lbs.,"78.0""",Southpaw,8,3,1,,6.07,58%,2.73,63%,N/A,0.00,0%,82%,0.0,"Jul 20, 1994"
Clayton,MacFarlane,,--,170 lbs.,--,,4,1,0,,1.33,52%,1.82,55%,N/A,1.05,33%,37%,0.0,--
Ilima,Macfarlane,,"5' 4""",125 lbs.,--,,6,0,0,,4.13,43%,2.93,65%,N/A,0.00,0%,50%,1.0,--
Victor,Madrigal,Periquito,"5' 7""",135 lbs.,"71.0""",Orthodox,15,5,0,,2.31,38%,9.56,50%,N/A,0.00,0%,0%,0.0,"Aug 16, 1990"
Ryan,Madigan,,"6' 0""",170 lbs.,--,Orthodox,5,3,0,,0.00,0%,3.35,47%,N/A,0.00,0%,0%,0.0,--
Jon,Madsen,,"6' 0""",240 lbs.,"72.0""",Orthodox,8,2,0,,2.46,41%,1.18,81%,N/A,1.32,71%,70%,0.0,"Feb 12, 1980"
Shara,Magomedov,Bullet,"6' 2""",185 lbs.,"73.0""",Orthodox,14,0,0,,6.88,66%,3.72,41%,N/A,0.00,0%,71%,0.0,"May 16, 1994"
Zabit,Magomedsharipov,,"6' 1""",145 lbs.,"73.0""",Orthodox,18,1,0,,4.89,48%,3.00,64%,N/A,5.22,56%,77%,0.8,"Mar 01, 1991"
Nayara,Maia,Capita,"5' 5""",125 lbs.,"66.0""",Orthodox,7,1,1,,0.60,36%,3.33,43%,N/A,1.00,33%,0%,1.0,"Jul 25, 1990"
Don,Madge,Magic Man,"6' 0""",155 lbs.,"72.0""",Southpaw,9,3,1,,2.08,52%,0.74,67%,N/A,2.22,25%,80%,0.7,"Nov 12, 1990"
Jeremy,Malaterre,,"5' 11""",155 lbs.,--,,4,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Fabio,Maldonado,Caipira de Aco,"6' 1""",205 lbs.,"75.0""",Orthodox,23,11,0,,5.29,58%,4.31,53%,N/A,0.44,57%,61%,0.6,"Mar 17, 1980"
Jennifer,Maia,,"5' 4""",125 lbs.,"64.0""",Orthodox,21,10,1,,4.35,38%,4.52,55%,N/A,0.42,27%,58%,0.1,"Oct 06, 1988"
Azat,Maksum,Qazaq,"5' 7""",125 lbs.,"70.0""",Southpaw,17,1,0,,2.80,23%,5.23,55%,N/A,2.00,22%,66%,0.5,"Feb 02, 1995"
Chris,Manuel,,"5' 9""",135 lbs.,--,Orthodox,9,7,2,,2.53,40%,2.67,66%,N/A,1.00,20%,100%,0.0,"Jul 21, 1987"
Dylan,Mantello,The Quiet Man,"6' 1""",155 lbs.,"73.0""",Orthodox,8,3,0,,5.93,56%,9.42,53%,N/A,0.00,0%,0%,0.0,"Nov 19, 1992"
Nate,Maness,Mayhem,"5' 10""",125 lbs.,"72.0""",Orthodox,16,3,0,,3.14,50%,3.88,42%,N/A,0.68,75%,80%,0.7,"Jun 27, 1991"
Eliot,Marshall,Fire,"6' 2""",205 lbs.,"77.0""",Orthodox,10,4,0,,1.93,27%,2.39,67%,N/A,0.47,33%,79%,0.9,"Jul 07, 1980"
Marnic,Mann,The Sawed-Off Savage,"5' 0""",115 lbs.,"64.0""",Southpaw,6,3,0,,1.47,41%,5.08,31%,N/A,1.90,33%,25%,0.4,"Mar 05, 1993"
Ronny,Markes,,"6' 1""",185 lbs.,"75.0""",Orthodox,17,5,0,,2.17,53%,2.43,45%,N/A,3.13,40%,100%,0.5,"Apr 21, 1988"
Rory,Markham,,"6' 0""",170 lbs.,"71.0""",Orthodox,17,6,0,,1.98,21%,10.27,45%,N/A,0.00,0%,0%,0.0,"Mar 25, 1982"
Randa,Markos,Quiet Storm,"5' 4""",115 lbs.,"63.0""",Orthodox,11,12,1,,2.97,43%,3.10,58%,N/A,1.12,28%,52%,0.2,"Aug 10, 1985"
Andrew,Martinez,Mickey D,"5' 9""",215 lbs.,--,,9,6,0,,3.40,31%,2.30,47%,N/A,1.50,50%,0%,0.0,--
Poppies,Martinez,The Tachi Kid,"5' 9""",145 lbs.,--,,29,11,0,,2.88,50%,2.16,51%,N/A,1.54,33%,50%,9.2,"Aug 19, 1983"
Wagner da Conceicao,Martins,Zuluzinho,"6' 7""",390 lbs.,--,Orthodox,9,8,0,,1.91,37%,5.43,42%,N/A,2.20,100%,100%,0.0,"May 19, 1978"
Lucas,Martins,Mineiro,"6' 0""",145 lbs.,"72.0""",Southpaw,19,3,0,,2.87,35%,4.14,60%,N/A,0.00,0%,76%,0.5,"Nov 11, 1988"
Jonathan,Martinez,Dragon,"5' 8""",135 lbs.,"70.0""",Southpaw,19,5,0,,4.54,49%,3.87,57%,N/A,0.41,35%,68%,0.1,"Apr 20, 1994"
David,Martinez,Black Spartan,--,135 lbs.,--,,10,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Aug 03, 1998"
Juliette,Martinez,The Ninja Ferret,--,115 lbs.,--,,7,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Sep 14, 2004"
Adriano,Martins,,"5' 10""",155 lbs.,"72.0""",Southpaw,28,9,0,,1.80,38%,2.14,65%,N/A,0.83,80%,81%,0.4,"Dec 16, 1982"
Scott,McAfee,,"5' 8""",155 lbs.,--,Orthodox,14,7,0,,0.00,0%,1.33,50%,N/A,0.00,0%,0%,0.0,"Aug 23, 1983"
Francesco,Mazzeo,,--,205 lbs.,--,,4,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Sep 23, 1997"
Kris,McCray,Savage,"6' 0""",170 lbs.,"76.0""",Orthodox,8,5,0,,2.69,45%,2.57,54%,N/A,2.88,55%,38%,0.0,"Sep 24, 1981"
Conor,McGregor,The Notorious,"5' 9""",155 lbs.,"74.0""",Southpaw,22,6,0,,5.32,49%,4.66,54%,N/A,0.67,55%,66%,0.1,"Jul 14, 1988"
Sabina,Mazo,Colombian Queen,"5' 7""",125 lbs.,"70.0""",Orthodox,9,4,0,,6.10,43%,4.35,57%,N/A,0.65,80%,59%,0.2,"Mar 25, 1997"
Sean,McCorkle,,"6' 7""",265 lbs.,"81.0""",Orthodox,17,7,0,,0.85,44%,2.48,52%,N/A,2.12,40%,33%,4.2,"Jul 17, 1976"
